Site Name,Site Address,Site City,Site State,Site Zip Code,County
Hawaii Community Correctional Center,60 Punahele St,Hilo,HI,96720-2031,Hawaii
Oahu Community Correctional Center,2199 Kamehameha Hwy,Honolulu,HI,96819-2307,Honolulu
Maui Community Correctional Center,600 Waiale Rd,Wailuku,HI,96793-2339,Maui
Halawa Correctional Facility,99-902 Moanalua Rd,Aiea,HI,96701-3252,Honolulu
MOLOKAI GENERAL HOSPITAL,280 Home Olu Pl,Kaunakakai,HI,96748,Maui
Wahiawa Center for Community Health - Admin,302 California Ave Ste 217,Wahiawa,HI,96786-1841,Honolulu
Wahiawa Health,302 California Ave STE 106,Wahiawa,HI,96786-1841,Honolulu
Wahiawa Health - Behavioral Health,302 California Ave STE 214,Wahiawa,HI,96786-1841,Honolulu
"Wahiawa Health - Finance, Billing/Coding, HR",302 California Ave STE 208,Wahiawa,HI,96786-1841,Honolulu
Wahiawa Health - Mobile,302 California Ave STE 106,Wahiawa,HI,96786-1841,Honolulu
Wahiawa Health - Pediatrics,302 California Ave STE 215,Wahiawa,HI,96786-1841,Honolulu
HANA COMMUNITY HEALTH CENTER,4590 Hana Hwy,Hana,HI,96713,Maui
HANA HIGH AND ELEMENTARY SCHOOL,4111 Hana Hwy,Hana,HI,96713,Maui
THE CLINIC AT KAHUKU MEDICAL CENTER,56-117 Pualalea St,Kahuku,HI,96731-2052,Honolulu
Lanai Community Health Center,333 6th St,Lanai City,HI,96763,Maui
Temporary Site - Lahaina Satellite,1830 Honoapiilani Hwy,Lahaina,HI,96761-1856,Maui
CASTLE HEALTH CLINIC OF LAIE,55-510 Kamehameha Hwy STE 5,Laie,HI,96762-1119,Honolulu
ADMINISTRATION,938 Austin Ln,Honolulu,HI,96817-5765,Honolulu
BEHAVIORAL HEALTH/MEDICAL/HEALTH EDUCATION/ADM...,952 N King St,Honolulu,HI,96817-4556,Honolulu
KAAAHI CLINIC,546 Kaaahi St,Honolulu,HI,96817-4630,Honolulu
KALIHI-PALAMA HEALTH CENTER,915 N King St,Honolulu,HI,96817-4544,Honolulu
KOHOU CLINIC,904 Kohou St,Honolulu,HI,96817-4420,Honolulu
KPHC DOWNTOWN,89 S King St,Honolulu,HI,96813-4315,Honolulu
KPHC Punawai Clinic,431 Kuwili St FL 2,Honolulu,HI,96817-5051,Honolulu
OPTOMETRY/ADMIN,888 N King St,Honolulu,HI,96817-4595,Honolulu
Hau`ula,54-316 Kamehameha Hwy,Hauula,HI,96717-9539,Honolulu
Kahuku,56-119 Pualalea St,Kahuku,HI,96731-2052,Honolulu
Mobile Medical & Dental Unit,56-119 Pualalea St,Kahuku,HI,96731-2052,Honolulu
Red Raider Health Center,56-490 Kamehameha Hwy,Kahuku,HI,96731-2200,Honolulu
HAUIKI HOMES PUBLIC HOUSING,1574 Meyers St,Honolulu,HI,96819-2513,Honolulu
KALIHI VALLEY HOMES PUB. HOUSING,2243 Kalaunu St,Honolulu,HI,96819-2784,Honolulu
KKV Mobile Clinic 1,2239 N School St,Honolulu,HI,96819-2539,Honolulu
KKV Wellness Center,2229 N School St,Honolulu,HI,96819-2588,Honolulu
Kokua Kalihi Valley Gulick Elder Center,1846 Gulick Ave,Honolulu,HI,96819-4212,Honolulu
KOKUA KALIHI VALLEY MAIN CLINIC,2239 N School St,Honolulu,HI,96819-2539,Honolulu
KUHIO PARK TERRACE PUB. HOUSING,1475 Linapuni St BLDG A,Honolulu,HI,96819-3569,Honolulu
Mobile Clinic 2,2239 N School St,Honolulu,HI,96819-2539,Honolulu
Ewa - West O`ahu Community Health Center,91-1841 Fort Weaver Rd,Ewa Beach,HI,96706-1909,Honolulu
James and Abigail Campbell Clinic,89-102 Farrington Hwy UNIT 3000,Waianae,HI,96792-4160,Honolulu
Kamaile Olakino Maika'i Health Center,85-180 Ala Akau St,Waianae,HI,96792-2323,Honolulu
LEEWARD PEDIATRICS,87-2070 Farrington Hwy,Waianae,HI,96792-3757,Honolulu
MALAMA RECOVERY SERVICES,89-188 Farrington Hwy,Waianae,HI,96792-4124,Honolulu
MOBILE SERVICE VAN,86-260 Farrington Hwy,Waianae,HI,96792-3128,Honolulu
Nanakuli High & Intermediate School,89-980 Nanakuli Ave,Waianae,HI,96792-3999,Honolulu
