Site Name,Site Address,Site City,Site State,Site Zip Code,County
Meskwaki Health Center,1646 305th St,Tama,IA,52339-9698,Tama
Keokuk County Clinic,100 W Main St,Richland,IA,52585-9212,Keokuk
RHCHC - Jefferson County Clinic,2000 S Main St,Fairfield,IA,52556-9572,Jefferson
RHCHC Administrative Offices,116 W Main St,Ottumwa,IA,52501-2540,Wapello
RHCHC BH Sigourney Site,300 W Kelley St,Sigourney,IA,52591-1104,Keokuk
RHCHC Cardinal Community School,4045 Ashland Rd,Eldon,IA,52554-8037,Wapello
RHCHC Fairfield High School,605 E Broadway Ave,Fairfield,IA,52556-2900,Jefferson
RHCHC Fairfield Middle School,404 W Fillmore Ave,Fairfield,IA,52556-4005,Jefferson
RHCHC Mahaska County Clinic,1417 A Ave E,Oskaloosa,IA,52577-4280,Mahaska
RHCHC Ottumwa High School,501 E 2nd St,Ottumwa,IA,52501-3032,Wapello
RHCHC Pekin Community Schools,1062 Birch Ave,Packwood,IA,52580-8542,Jefferson
RHCHC Pence Elementary,1000 S 6th St,Fairfield,IA,52556-3940,Jefferson
RHCHC Sigourney Elementary School,509 S Jefferson St,Sigourney,IA,52591-1521,Keokuk
RHCHC Sigourney Junior-Senior High School,907 E Pleasant Valley St,Sigourney,IA,52591-1866,Keokuk
RHCHC Washington Elementary,406 E Madison Ave,Fairfield,IA,52556-3645,Jefferson
RHCHC-Wapello County Behavioral Health Clinic,216 S Market St,Ottumwa,IA,52501-2923,Wapello
RIVER HILLS COMMUNITY HEALTH CENTER,201 S Market St,Ottumwa,IA,52501-2924,Wapello
"River Hills Community Health Center, Centerville",1015 N 18th St STE A,Centerville,IA,52544-1170,Appanoose
"Proteus, Inc. - Des Moines site",1221 Center St STE 16,Des Moines,IA,50309-1014,Polk
"Proteus, Inc. - Fort Dodge Site",107 N 7th St,Fort Dodge,IA,50501-3830,Webster
"Proteus, Inc. - Iowa City Site",1548 S Gilbert St,Iowa City,IA,52240-4304,Johnson
"REGIONAL FAMILY HEALTH, STRAWBERRY POINT",111 W Mission St,Strawberry Point,IA,52076-4400,Clayton
Peoples Clinic - Clarksville School,318 N Mather St,Clarksville,IA,50619-7884,Butler
Peoples Clinic Butler County,118 S Main St,Clarksville,IA,50619-2008,Butler
PEOPLES COMMUNITY HEALTH CLINIC,905 Franklin St,Waterloo,IA,50703-4407,Black Hawk
Success Street - Carver Academy,1505 Logan Ave,Waterloo,IA,50703-1910,Black Hawk
Success Street - East High School,214 High St,Waterloo,IA,50703-3908,Black Hawk
Success Street - West High School,425 1/2 E Ridgeway Ave,Waterloo,IA,50702-5043,Black Hawk
CHI HEALTH CLINIC CORNING,601 Rosary Dr,Corning,IA,50841-1683,Adams
COMMUNITY HEALTH CENTER OF DAYTON,24 S Main St,Dayton,IA,50530-7698,Webster
Community Health Center of Eagle Grove,306 W Broadway St,Eagle Grove,IA,50533-1712,Wright
COMMUNITY HEALTH CENTER OF FORT DODGE,126 N 10th St,Fort Dodge,IA,50501-3915,Webster
Community Health Center of Mason City,404 N Federal Ave,Mason City,IA,50401-3214,Cerro Gordo
ST ANSGAR CLINIC,140 W 4th St STE 1,Saint Ansgar,IA,50472-1352,Mitchell
