Site Name,Site Address,Site City,Site State,Site Zip Code,County
Benewah Medical Center,427 12th St,Plummer,ID,83851-4000,Benewah
Benewah Medical Center dba Marimn Health Welln...,PO BOX 700,Plummer,ID,83851-0700,Benewah
Coeur Center,S Highway 95,Worley,ID,83876,Kootenai
Coeur dAlene Tribal School,30 Moctelme St,Desmet,ID,83824,Benewah
Early Childhood Learning Center (ECLC),350 Annie Antelope Ave,Plummer,ID,83851-5000,Benewah
Marimn Health Mobile Medical Unit,427 12th St,Plummer,ID,83851-4000,Benewah
Plummer-Worley Joint School District #44,1345 E St,Plummer,ID,83851-6002,Benewah
Adams County Health Center,205 N Berkley St,Council,ID,83612-5015,Adams
WEISER MEMORIAL HOSPITAL FAMILY MEDICAL PRACTICE,360 E Liberty St,Weiser,ID,83672-2261,Washington
Pocatello Women's Correctional Center,1451 Fore Rd,Pocatello,ID,83204-4300,Bannock
Idaho Correctional Institution - Orofino,381 Hospital Dr,Orofino,ID,83544-9034,Clearwater
Bear Lake Community Health Center - Montpelier,152 S 4th St,Montpelier,ID,83254-1538,Bear Lake
Bonners Ferry High School,6485 Tamarack Ln,Bonners Ferry,ID,83805-8539,Boundary
Boundary County Middle School,6577 Main St,Bonners Ferry,ID,83805-8786,Boundary
Clark Fork Junior-High School,502 N Main St,Clark Fork,ID,83811-4406,Bonner
Farmin Stidwell Elementary School,1626 Spruce St,Sandpoint,ID,83864-2131,Bonner
Hope Elementary School,255 Hope School Rd,Hope,ID,83836-9829,Bonner
"Kaniksu Community Health, Bonners Ferry",6615 Comanche St,Bonners Ferry,ID,83805-7523,Boundary
"Kaniksu Community Health, Priest River",6509 Highway 2 STE 101,Priest River,ID,83856-6609,Bonner
KCH Corporate Office,301 Cedar St,Sandpoint,ID,83864-1425,Bonner
Kootenai Elementary School,301 Sprague St,Kootenai,ID,83840-0280,Bonner
Lake Pend Oreille High School,1005 N Boyer Ave,Sandpoint,ID,83864-2406,Bonner
Northside Elementary School,7881 Colburn Culver Rd,Sandpoint,ID,83864-4714,Bonner
RURAL MOBILE CLINIC BONNER CNTY,6615 Comanche St,Bonners Ferry,ID,83805-7523,Boundary
Sagle Elementary School,550 Sagle Rd,Sagle,ID,83860-9209,Bonner
Sandpoint Clinic,810 Sixth Ave,Sandpoint,ID,83864-5396,Bonner
Sandpoint High School,410 S Division Ave,Sandpoint,ID,83864-1777,Bonner
Sandpoint Middle School,310 S Division Ave,Sandpoint,ID,83864-1768,Bonner
Southside Elementary School,1 Southside School Rd,Cocolalla,ID,83813-9745,Bonner
Washington Elementary School,420 S Boyer Ave,Sandpoint,ID,83864-1102,Bonner
Full Circle Health - Boise Pediatrics,8610 W Overland Rd,Boise,ID,83709-1645,Ada
Full Circle Health - Caldwell,315 E Elm St # 201,Caldwell,ID,83605-4857,Canyon
Full Circle Health - Emerald,6565 W Emerald St,Boise,ID,83704-8737,Ada
Full Circle Health - Idaho Street,325 W Idaho St,Boise,ID,83702-6040,Ada
Full Circle Health - Kuna,708 E Wythe Creek Ct STE 103,Kuna,ID,83634-5005,Ada
Full Circle Health - Meridian,2275 S Eagle Rd STE 120,Meridian,ID,83642-2620,Ada
Full Circle Health - Nampa North,9850 W St Luke&#39;s Drive  # 329,Nampa,ID,83687-7912,Canyon
Full Circle Health - Raymond,777 N Raymond St,Boise,ID,83704-9251,Ada
Full Circle Health – Nampa South,215 E Hawaii Ave STE 140,Nampa,ID,83686-6011,Canyon
Full Circle Health-Emerald Admin,6550 W Emerald St STE 116,Boise,ID,83704-8780,Ada
SYRINGA PRIMARY CARE CLINIC,722 W North St,Grangeville,ID,83530-1350,Idaho
CENTURY HIGH SCHOOL,7801 W Diamond Back Dr,Pocatello,ID,83204-7347,Bannock
CLAUDE A. WILCOX ELEMENTARY SCHOOL,427 Lark Ln,Pocatello,ID,83201-5504,Bannock
GREENACRES ELEMENTARY SCHOOL,1250 E Oak St,Pocatello,ID,83201-3940,Bannock
HAWTHORNE MIDDLE SCHOOL,1025 W Eldredge Rd,Pocatello,ID,83201-5527,Bannock
HEALTH WEST - ABERDEEN CHC,330 N Main St,Aberdeen,ID,83210-4928,Bingham
