Site Name,Site Address,Site City,Site State,Site Zip Code,County
Alton Mental Health Center,4500 College Ave,Alton,IL,62002-5012,Madison
FCI-Greenville,US-40,Greenville,IL,62246,Bond
FCI-Pekin,2600 S 2nd St,Pekin,IL,61554-8297,Tazewell
MCC-Chicago,71 W Van Buren St,Chicago,IL,60605-1004,Cook
CF- Hill Correctional Center,600 S Linwood Rd,Galesburg,IL,61401-9016,Knox
Pontiac Correctional Center,700 W Lincoln St,Pontiac,IL,61764-2323,Livingston
Big Muddy River Correctional Center,251 N IL Highway 37,Ina,IL,62846-2419,Jefferson
Lawrence Correctional Center,10940 Lawrence Rd,Sumner,IL,62466-4915,Richland
Legacy Medical Care - Addison,2055 W Army Trail Rd STE 104,Addison,IL,60101-1478,DuPage
Legacy Medical Care - Arlington Heights,3030 W Salt Creek Ln STE 200,Arlington Heights,IL,60005-5002,Cook
Legacy Medical Care - Elgin,860 Summit St STE 231,Elgin,IL,60120-4339,Cook
Legacy Medical Care - Elgin,860 Summit St STE 241,Elgin,IL,60120-4339,Cook
Legacy Medical Care - Hanover Park,6620 Barrington Rd,Hanover Park,IL,60133-3935,Cook
Legacy Medical Center- East Dundee,151 Dundee Ave BLDG,East Dundee,IL,60118-1648,Kane
CARLE ROSSVILLE,619 N Chicago St,Rossville,IL,60963-1012,Vermilion
CARLE DANVILLE ON FAIRCHILD,311 W Fairchild St,Danville,IL,61832-3876,Vermilion
HOOPESTON MEDICAL CENTER,801 E Orange St,Hoopeston,IL,60942-1802,Vermilion
"10225 Grand Avenue, Franklin Park, IL 60131",10225 Grand Ave,Franklin Park,IL,60131-3138,Cook
135 Irving Park Road,135 E Irving Park Rd,Streamwood,IL,60107-2950,Cook
1435 N Randall Rd,1435 N Randall Rd STE 408,Elgin,IL,60123-2305,Kane
1515 E Lake St,1515 E Lake St STE 202,Hanover Park,IL,60133-7152,DuPage
165 E Plank Rd,165 E Plank Rd,Sycamore,IL,60178-8757,DeKalb
2550 N Annie Glidden Rd,2550 N Annie Glidden Rd,Dekalb,IL,60115-1389,DeKalb
300 McHenry Rd,300 McHenry Rd,Wheeling,IL,60090-2696,Cook
3100 W. Higgins Road,3100 W Higgins Rd Ste 100,Hoffman Estates,IL,60169-2093,Cook
"3150 W. Higgins Road, Suites 125 and 130, Hoff...","3150 W Higgins Rd, Ste 125",Hoffman Estates,IL,60169-7255,Cook
3901 Mercy Dr,3901 Mercy Dr,Mchenry,IL,60050-3151,McHenry
450 Dundee Ave,450 Dundee Ave,Elgin,IL,60120-4205,Kane
MEMORIAL MEDICAL CLINIC COLCHESTER,110 E Market St,Colchester,IL,62326-1271,McDonough
CARLE WATSEKA,1490 E Walnut St STE C,Watseka,IL,60970-1830,Iroquois
CARLE MILFORD,322 N Chicago St,Milford,IL,60953-1012,Iroquois
CARLE CISSNA PARK,141 W Garfield Ave,Cissna Park,IL,60924,Iroquois
Hamdard Health Addison,228 E Lake St,Addison,IL,60101-2889,DuPage
Hamdard Health Rogers Park,1542 W Devon Ave,Chicago,IL,60660-1344,Cook
Hamdard- Health Bensenville,1240 Il Route 83,Bensenville,IL,60106-1034,DuPage
JCH MEDICAL GROUP JERSEYVILLE,270 Maple Summit Rd,Jerseyville,IL,62052-2004,Jersey
