Site Name,Site Address,Site City,Site State,Site Zip Code,County
FCC-Terre Haute,4700 Bureau Rd S,Terre Haute,IN,47802-8246,Vigo
Fayette County Medical Center,2025 Virginia Ave,Connersville,IN,47331-2971,Fayette
Neighborhood Health Center - Union County Medi...,950 N Market St,Liberty,IN,47353-8496,Union
Neighborhood Health Center Mobile Health Services,101 S 10th St,Richmond,IN,47374-5547,Wayne
"Neighborhood Health Center, Inc.",101 S 10th St,Richmond,IN,47374-5547,Wayne
NHC Administration Office,808 S A St,Richmond,IN,47374-5574,Wayne
215 Middlebury Street,215 Middlebury St,Goshen,IN,46528-2956,Elkhart
Maple City Dental,814 N 3rd St,Goshen,IN,46528-7100,Elkhart
Northside Community Health Center,213 Middlebury St,Goshen,IN,46528-2956,Elkhart
Vista Community Health Center,808 N 3rd St,Goshen,IN,46528-7100,Elkhart
Westend Community Health Center,2606 Peddlers Village Rd,Goshen,IN,46526-1004,Elkhart
HEART CITY HEALTH CENTER,236 Simpson Ave,Elkhart,IN,46516-4666,Elkhart
Heart City Health Center SCENIC HEALTH,148 W Hively Ave,Elkhart,IN,46517-2191,Elkhart
Heart City Health Dental,2100 Superior St,Elkhart,IN,46516-4704,Elkhart
Heart City Womens Health,1545 Cassopolis St,Elkhart,IN,46514-3128,Elkhart
Aspire Indiana Health - Carmel,697 Pro Med Ln,Carmel,IN,46032-5323,Hamilton
Aspire Indiana Health - DeHaven,2020 Brown St,Anderson,IN,46016-4218,Madison
Aspire Indiana Health - Elwood,10731 IN-13,Elwood,IN,46036,Grant
Aspire Indiana Health - Hoak,2009 Brown St,Anderson,IN,46016-4216,Madison
Aspire Indiana Health - Lebanon,1600 W Main St,Lebanon,IN,46052-2388,Boone
Aspire Indiana Health - Madison-Grant,11640 S E 00 W,Fairmount,IN,46928-9318,Grant
Aspire Indiana Health - May House,6775 W State Road 32,Anderson,IN,46011-8765,Madison
Aspire Indiana Health - Mobile Clinic,215 W 19th St,Anderson,IN,46016-4204,Madison
Aspire Indiana Health - Mockingbird Hill,4038 Ridgeview Rd Ste 1,Anderson,IN,46013-9715,Madison
Aspire Indiana Health - Noblesville,17840 Cumberland Rd,Noblesville,IN,46060-5409,Hamilton
Aspire Indiana Health - Progress House,201 Shelby St,Indianapolis,IN,46202-3943,Marion
Aspire Indiana Health - Willowbrook,2506 Willowbrook Pkwy,Indianapolis,IN,46205-1564,Marion
Aspire Indiana Health Admin,9615 E 148th St STE 1,Noblesville,IN,46060-4371,Hamilton
Knox Winamac Community Health Centers Mobile M...,1002 S Edgewood Dr,Knox,IN,46534-8226,Starke
Knox/Winamac Community Health Centers,1002 S Edgewood Dr,Knox,IN,46534-8226,Starke
"ST VINCENT MEDICAL GROUP, INC",409 SE Greenville Ave,Winchester,IN,47394-9464,Randolph
IHC at Jackson County Juvenile Home,416 E Walnut St,Brownstown,IN,47220-1515,Jackson
IHC at Kokomo,3118 S Lafountain St,Kokomo,IN,46902-3710,Howard
IHC at Marion,925 S Nebraska St,Marion,IN,46953-1874,Grant
