Site Name,Site Address,Site City,Site State,Site Zip Code,County
Elizabeth Layton Center - Ottawa,2537 Eisenhower Rd,Ottawa,KS,66067-9482,Franklin
Haskell Indian Health Center,2415 Massachusetts St,Lawrence,KS,66046-4827,Douglas
LABETTE HEALTH INDEPENDENCE CLINIC,510 Peter Pan Rd STE B-1,Independence,KS,67301-7301,Montgomery
MINNEOLA COMMUNITY CLINIC,PO BOX 127,Minneola,KS,67865-0127,Clark
KONZA PRAIRIE COMMUNITY HEALTH CENTER,361 Grant Ave,Junction City,KS,66441-4201,Geary
Konza Prairie Community Health Center Chapman ...,111 E 5th St,Chapman,KS,67431-2517,Dickinson
Konza Prairie Community Health Center Riley Co...,2030 Tecumseh Rd STE 100,Manhattan,KS,66502-3512,Riley
LANE COUNTY MEDICAL CLINIC,444 W Long St,Dighton,KS,67839-5700,Lane
"Center for Health and Wellness, Inc.",2707 E 21st St N,Wichita,KS,67214-2249,Sedgwick
RAWLINS CLINIC/ATWOOD,707 Grant St,Atwood,KS,67730-1526,Rawlins
LABETTE HEALTH FAMILY PRACTICE CLINIC,1902 S US Highway 59 BLDG E # 101,Parsons,KS,67357-4948,Labette
HOLTON FAMILY HEALTH CLINIC,1603 W 4th St,Holton,KS,66436-1153,Jackson
Salina Family Eye Care Center,2676 Planet Ave,Salina,KS,67401-7604,Saline
SALINA FAMILY HEALTHCARE CENTER,651 E Prescott Rd,Salina,KS,67401-7408,Saline
SHEF Mobile Unit,3030 Enterprise Dr,Salina,KS,67401-8441,Saline
SHEF Mobile Unit 2,651 E Prescott Rd,Salina,KS,67401-7408,Saline
NMRMC FAMILY MEDICINE,1501 W 7th St,Chanute,KS,66720-2551,Neosho
CHEYENNE COUNTY CLINIC,221 W 4th St,Bird City,KS,67731-3247,Cheyenne
RUSH COUNTY MEDICAL CLINIC,801 Locust St,La Crosse,KS,67548-9673,Rush
ANDERSON CO HOSP FAM CARE CTR,PO BOX 309,Garnett,KS,66032-0309,Anderson
Heartland at Panda Pediatrics,1803 W 6th St,Lawrence,KS,66044-1710,Douglas
Heartland Community Health Center - 6th Street,1312 W 6th St,Lawrence,KS,66044-2219,Douglas
Comanche Middle School School Based Behavioral...,1601 1st Ave,Dodge City,KS,67801-3617,Ford
Dodge City Admin Office,701 E Comanche Ln Ste B,Dodge City,KS,67801-4500,Ford
Dodge City High School School Based Program,2201 W Ross Blvd,Dodge City,KS,67801-8425,Ford
Dodge City Middle School School Based Behavior...,2000 6th Ave,Dodge City,KS,67801-2605,Ford
Garden City Administration Office,1607 Buffalo Jones Ave,Garden City,KS,67846-4839,Finney
