Site Name,Site Address,Site City,Site State,Site Zip Code,County
USP - Big Sandy,1197 Airport Rd,Inez,KY,41224-6500,Martin
FCI - Ashland,State Route 716,Ashland,KY,41102,Boyd
ST CLAIRE REGIONAL FAMILY MEDICINE-SANDY HOOK,390 S Ky 7,Sandy Hook,KY,41171-6830,Elliott
KentuckyCare - 021,75 E Court St,Bardwell,KY,42023-8483,Carlisle
KentuckyCare - 112,120 N 4th St,Barlow,KY,42024-9579,Ballard
KentuckyCare - 128,312 S 8th St,Murray,KY,42071-2428,Calloway
KentuckyCare - 150,1372 US Highway 60 E,Burna,KY,42028-9239,Livingston
KentuckyCare - 151,850 Cutoff Rd,Smithland,KY,42081-8914,Livingston
KentuckyCare - 153,750 US Highway 60 W,Smithland,KY,42081-8983,Livingston
Kentuckycare - 39,308 S Washington St STE 200,Clinton,KY,42031-1347,Hickman
KentuckyCare - 44,3360 Wayne Sullivan Dr,Paducah,KY,42003,McCracken
KentuckyCare - 63,110 Kings Dr,Mayfield,KY,42066-3602,Graves
KentuckyCare-43,125 S 20th St,Paducah,KY,42001-7100,McCracken
ST CLAIRE REGIONAL FAMILY MEDICINE-FRENCHBURG,732 Highway 36,Frenchburg,KY,40322,Menifee
SALEM MEDICAL CLINIC,141 Hospital Dr,Salem,KY,42078-8043,Livingston
ACCESS FAMILY HEALTH CENTER,315 Hospital Dr STE 2,Barbourville,KY,40906-7917,Knox
Audubon Area Community Care Clinic,1620 Frederica St,Owensboro,KY,42301-4807,Daviess
Audubon Area Community Care Clinic - Cravens E...,2741 Cravens Ave,Owensboro,KY,42301-1666,Daviess
Audubon Area Community Care Clinic - Emerson A...,1335 W 11th St,Owensboro,KY,42301-2073,Daviess
Audubon Area Community Care Clinic - Estes Ele...,1675 Leitchfield Rd,Owensboro,KY,42303-0935,Daviess
Audubon Area Community Care Clinic - Foust Ele...,601 Foust Ave,Owensboro,KY,42301-1961,Daviess
Audubon Area Community Care Clinic - Newton Pa...,510 W Byers Ave,Owensboro,KY,42303-6327,Daviess
Audubon Area Community Care Clinic - Owensboro...,1800 Frederica St,Owensboro,KY,42301-4815,Daviess
Audubon Area Community Care Clinic - Owensboro...,2631 S Griffith Ave,Owensboro,KY,42301-5318,Daviess
Audubon Area Community Care Clinic - Owensboro...,1300 Booth Ave,Owensboro,KY,42301-4540,Daviess
Audubon Area Community Care Clinic - Sutton El...,2060 Lewis Ln,Owensboro,KY,42301-4463,Daviess
"Audubon Area Community Care Clinic, Inc.",750 Salem Dr STE 2,Owensboro,KY,42303-7758,Daviess
BARBOURVILLE FAMILY HEALTH CENTER,215 N Allison Ave,Barbourville,KY,40906-1336,Knox
Big Sandy Community Health Center,246 Ky Route 979,Harold,KY,41635-9046,Floyd
"BIG SANDY HEALTH CARE, INC.",1709 Ky Route 321,Prestonsburg,KY,41653,Floyd
