Site Name,Site Address,Site City,Site State,Site Zip Code,County
FCC-Pollock,1000 Airbase Rd,Pollock,LA,71467-3521,Grant
ICE - Jena,830 Pinehill Rd,Jena,LA,71342-4137,LaSalle
David Wade Correctional Center,670 Bell Hill Rd,Homer,LA,71040-2150,Claiborne
Rayburn Correctional Center,27268 Highway 21,Angie,LA,70426-3030,Washington
Elayn Hunt Correctional Center,6925 Highway 74,Saint Gabriel,LA,70776-4706,Iberville
Louisiana Correctional Institute for Women,7205 LA-74,Saint Gabriel,LA,70776-4827,Iberville
REDDY FAMILY MEDICAL OF NAPOLEONVILLE,154 Highway 1008,Napoleonville,LA,70390-2009,Assumption
Priority Health Care - Administration,"4700 Wichers Dr, Ste 306",Marrero,LA,70072-3054,Jefferson
Priority Health Care Gretna,12 Westbank Expy,Gretna,LA,70053-3647,Jefferson
Priority Health Care Pediatric Clinic,4700 Wichers Dr STE 307,Marrero,LA,70072-3054,Jefferson
Priority Health Care-Marrero,4700 Wichers Dr STE 304,Marrero,LA,70072-3054,Jefferson
Renew Hope Center,12A Westbank Expy STE 100,Gretna,LA,70053-3659,Jefferson
ELTON RURAL HEALTH CLINIC,907 Main St,Elton,LA,70532-3228,Jefferson Davis
ERATH DELCAMBRE COMMUNITY CARE CLINIC,220 North Rd,Erath,LA,70533-3200,Vermilion
EXCELth Family Health Center - Algiers,4422 General Meyer Ave STE 103,New Orleans,LA,70131-4330,Orleans
EXCELth Family Health Center - Gentilly,2050 Caton St,New Orleans,LA,70122-3147,Orleans
EXCELth Family Health Center - New Orleans East,9900 Lake Forest Blvd STE F,New Orleans,LA,70127-2609,Orleans
EXCELth FAMILY HLTH CTR MOBILE VAN,2050 Caton St,New Orleans,LA,70122-3147,Orleans
EXCELth Mobile Dental Unit,9900 Lake Forest Blvd,New Orleans,LA,70127-2609,Orleans
"EXCELth, Inc. Dental Clinic - Algiers",1111 Newton St,New Orleans,LA,70114-2500,Orleans
"EXCELth, Inc. FHC - BATON ROUGE",4560 North Blvd STE 104,Baton Rouge,LA,70806-4043,East Baton Rouge
"EXCELth, Inc. FHC - BATON ROUGE",730 Colonial Dr STE E,Baton Rouge,LA,70806-6536,East Baton Rouge
"EXCELTH, INC., HEALTH CARE NETWORK",1515 Poydras St,New Orleans,LA,70112-3723,Orleans
Mobile Dental Unit #2,9900 Lake Forest Blvd STE F,New Orleans,LA,70127-2609,Orleans
Homeless Drop-In Center,153 N 17th St,Baton Rouge,LA,70802-3800,East Baton Rouge
Mobile Unit 1,9516 Airline Hwy,Baton Rouge,LA,70815-5501,East Baton Rouge
OHCC - 3849 North Blvd,3849 North Blvd,Baton Rouge,LA,70806-3854,East Baton Rouge
OHCC - Airline North,9516 Airline Hwy,Baton Rouge,LA,70815-5501,East Baton Rouge
OHCC - Colonial,781 Colonial Dr,Baton Rouge,LA,70806-6512,East Baton Rouge
OHCC - Main - 3801 North Blvd,3801 North Blvd,Baton Rouge,LA,70806-3825,East Baton Rouge
OHCC - Main Admin,3949 North Blvd,Baton Rouge,LA,70806-3827,East Baton Rouge
OHCC Baranco-Clark,1735 Thomas H Delpit Dr,Baton Rouge,LA,70802-6633,East Baton Rouge
OHHC Dental,3905 Convention St,Baton Rouge,LA,70806-3806,East Baton Rouge
ABBEVILLE COMMUNITY HEALTH CENTER,800 Charity St,Abbeville,LA,70510-5239,Vermilion
Abbeville Community Health Center Main Site,1009 Charity St,Abbeville,LA,70510-5302,Vermilion
IBERIA COMPREHENSIVE COMMUNITY HEALTH CENTER,806 Jefferson Ter,New Iberia,LA,70560-5727,Iberia
Iberia Comprehensive Community Health Center M...,806 Jefferson Ter,New Iberia,LA,70560-5727,Iberia
Iberia Comprehensive Community Health Center M...,806 Jefferson Ter,New Iberia,LA,70560-5727,Iberia
Iberia Comprehensive Vision Center,1110 Angers St,New Iberia,LA,70563-2012,Iberia
Merryville Community Health Center,567 Walker St,Merryville,LA,70653-3040,Beauregard
Sabine Comprehensive Health Clinic,1050 N Robinson St,Many,LA,71449-3536,Sabine
Surrey Street Community Health Center,1004 Surrey St,Lafayette,LA,70501-6143,Lafayette
Surrey Street Community Health Center Extensio...,1002 12th St,Lafayette,LA,70501-6224,Lafayette
Vernon Parish Community Health Center,298 Nolan Trce,Leesville,LA,71446-3912,Vernon
Brusly School Based Health Center,630 N Vaughan Dr,Brusly,LA,70719-2217,West Baton Rouge
INNIS COMMUNITY HEALTH CENTER,6450 La Highway 1,Batchelor,LA,70715-3212,Pointe Coupee
Livonia Community Health Center,8387 Newfield Dr STE B,Livonia,LA,70755-3605,Pointe Coupee
LIVONIA COMMUNITY HEALTH CENTER Administration,3041 Fordoche Rd,Livonia,LA,70755-3303,Pointe Coupee
Livonia High School,3118 La Highway 78,Livonia,LA,70755-3400,Pointe Coupee
Livonia School Based Health Center- Suite A,8387 Newfield Dr,Livonia,LA,70755-3605,Pointe Coupee
MARINGOUIN COMMUNITY HEALTH CENTER,77575 Landry Dr,Maringouin,LA,70757-3210,Iberville
Mobile Dental,6450 La Highway 1,Batchelor,LA,70715-3212,Pointe Coupee
Mobile Unit #2,6450 La Highway 1,Innis,LA,70747,Pointe Coupee
New Roads Community Health Center,230 Roberts Dr STE H,New Roads,LA,70760-2661,Pointe Coupee
Pointe Coupee Central School Based Clinic,8430 Pointe Coupee Rd,New Roads,LA,70760-4317,Pointe Coupee
Rosenwald Elementary School,1100 New Roads St,New Roads,LA,70760-2300,Pointe Coupee
Rougon Elementary School,13258 LA 416,Rougon,LA,70773-3606,Pointe Coupee
Stem Magnet Academy of Pointe Coupee,8434 Pointe Coupee Rd,New Roads,LA,70760-4317,Pointe Coupee
Upper Pointe Coupee Elementary School,4739 La Highway 419,Batchelor,LA,70715-3472,Pointe Coupee
