Site Name,Site Address,Site City,Site State,Site Zip Code,County
FMC-Devens,42 Patton Rd,Ayer,MA,01434-3802,Worcester
Academy Health Center,15 Claremont St,Worcester,MA,01610-1436,Worcester
Doherty Memorial High School Health Center,299 Highland St,Worcester,MA,01602-2110,Worcester
"Family Health Center of Worcester, Inc.",26 Queen Street,Worcester,MA,01610,Worcester
Goddard Health Center,14 Richards St,Worcester,MA,01603-2609,Worcester
Helen A. Bowditch Health Center,23 N Ashland St,Worcester,MA,01609-3041,Worcester
South High Health Center,170 Apricot St,Worcester,MA,01603-1225,Worcester
Sullivan Health Center,140 Apricot St,Worcester,MA,01603-1225,Worcester
"UMass Memorial Health, Belmont Campus",119 Belmont St,Worcester,MA,01605-2903,Worcester
Worcester East Middle School Health Center,420 Grafton St,Worcester,MA,01604-3802,Worcester
Worcester Health Care for the Homeless,199 Chandler St FL 4,Worcester,MA,01609-3088,Worcester
1100 Washington Street,1100 Washington St STE 306,Dorchester,MA,02124-5538,Suffolk
450 Washington Street,450 Washington St,Dorchester,MA,02124-1127,Suffolk
6 Norfolk Street,6 Norfolk St,Dorchester,MA,02124-3520,Suffolk
Codman Square Health Center,637 Washington St,Dorchester,MA,02124-3510,Suffolk
Codman Square Health Center at Randolph High S...,70 Memorial Pkwy,Randolph,MA,02368-4506,Norfolk
TechBoston Academy Clinic,9 Peacevale Rd,Dorchester,MA,02124-4417,Suffolk
Acushnet Ave,401 Acushnet Ave,New Bedford,MA,02740-6237,Bristol
GREATER NEW BEDFORD COMMUNITY HEALTH CENTER,874 Purchase Street,New Bedford,MA,02740-6232,Bristol
Greater New Bedford Community Health Center ADMIN,384 Acushnet Ave,New Bedford,MA,02740-6238,Bristol
Caring Health Center,473 Sumner Ave,Springfield,MA,01108-2321,Hampden
Caring Health Center Main Street Clinic,1049 Main Street,Springfield,MA,01103-2114,Hampden
"CARING HEALTH CENTER, BOSTON RD",860 Boston Rd,Springfield,MA,01119-1311,Hampden
"CARING HEALTH CENTER, INC-FOREST PARK",532 Sumner Ave,Springfield,MA,01108-2458,Hampden
Mobile Patient Care Van #1,860 Boston Rd Rear,Springfield,MA,01119-1311,Hampden
Charles River Community Health at 43 Foundry Ave,43 Foundry Ave STE 110,Waltham,MA,02453-8313,Middlesex
Charles River Community Health at 495 Western Ave,495 Western Avenue,Brighton,MA,02135-1007,Suffolk
