Site Name,Site Address,Site City,Site State,Site Zip Code,County
FCI-Cumberland,14601 Burbridge Rd SE,Cumberland,MD,21502-8724,Allegany
Roxbury Correctional Institution,18701 Roxbury Rd,Hagerstown,MD,21746-1002,Washington
CF-Baltimore Central Booking and Intake Center,300 E Madison St,Baltimore,MD,21202-4260,Baltimore City
AbsoluteCare Inc.,1040 Park Ave STE 200,Baltimore,MD,21201-5634,Baltimore City
"AbsoluteCARE of MD2, LLC",7501 Greenway Center Dr STE 600,Greenbelt,MD,20770-6704,Prince George's
"Baltimore Medical System, Inc.",5525 Eastern Ave,Baltimore,MD,21224-2796,Baltimore City
BELAIR EDISON FAMILY HEALTH CTR,3120 Erdman Ave,Baltimore,MD,21213-1720,Baltimore City
BMS at Rosedale,9520 Philadelphia Rd,Rosedale,MD,21237-4106,Baltimore
BMS AT ST. AGNES,900 S Caton Ave,Baltimore,MD,21229-5201,Baltimore City
BMS at Yard 56,5525 Eastern Ave,Baltimore,MD,21224-2796,Baltimore City
COLLINGTON SQUARE K-8 SCHOOL,1409 N Collington Ave,Baltimore,MD,21213-3418,Baltimore City
East Baltimore Medical Center,1000 E Eager St,Baltimore,MD,21202-5533,Baltimore City
Forest Park High School,3701 Eldorado Ave,Baltimore,MD,21207-7658,Baltimore City
Harford Heights Schools,1919 N Broadway,Baltimore,MD,21213-1432,Baltimore City
Highlandtown Healthy Living Center,3700 Fleet St,Baltimore,MD,21224-4200,Baltimore City
Mergenthaler Vocational-Technical High School ...,3500 Hillen Rd,Baltimore,MD,21218-2227,Baltimore City
Patterson Senior High School,100 Kane St,Baltimore,MD,21224-1726,Baltimore City
Paul Laurence Dunbar High School,1400 Orleans St,Baltimore,MD,21231-1021,Baltimore City
TENCH TILGHMAN K-8 SCHOOL,600 N Patterson Park Ave,Baltimore,MD,21205-2447,Baltimore City
Vanguard Collegiate Middle School,5001 Sinclair Ln,Baltimore,MD,21206-5937,Baltimore City
"Chase Brexton Health Services, Inc. - Columbia...","5500 Knoll North Dr, Ste 370",Columbia,MD,21045-2393,Howard
"Chase Brexton Health Services, Inc. - Easton C...",500 Cadmus Ln STE 203,Easton,MD,21601-4094,Talbot
"Chase Brexton Health Services, Inc. - Glen Bur...",200 Hospital Dr,Glen Burnie,MD,21061-5884,Anne Arundel
