Site Name,Site Address,Site City,Site State,Site Zip Code,County
EAST GRAND HEALTH CENTER,201 Houlton Rd,Danforth,ME,04424-3140,Washington
ST CROIX REGIONAL AT CALAIS,5 Lowell St STE 4,Calais,ME,04619-1712,Washington
ST. CROIX REGIONAL FAMILY HEALTH CENTER,136 Mill St,Princeton,ME,04668-3344,Washington
Temporary Site- Calais Blue Devil Health,35 Blue Devil Hl,Calais,ME,04619-4037,Washington
Nasson Health Care - Biddeford,357 Elm St,Biddeford,ME,04005-3022,York
Nasson Health Care - Springvale,15 Oak St,Springvale,ME,04083-1926,York
YORK COUNTY COMMUNITY ACTION CORPORATION,6 Spruce St,Sanford,ME,04073-2917,York
SWIFT RIVER HEALTH CARE,430 Franklin St,Rumford,ME,04276-2104,Oxford
STATION HILL MEDICAL OFFICE BUILDING,194 E Main St,Fort Kent,ME,04743-1428,Aroostook
RSU19,291 Williams Rd,Newport,ME,04953-3945,Penobscot
Sebasticook Family Doctors,118 Moosehead Trl STE 5,Newport,ME,04953-4056,Penobscot
Sebasticook Family Doctors - Dexter,29 Church St,Dexter,ME,04930,Penobscot
Sebasticook Family Doctors d/b/a HOMETOWN Heal...,118 Moosehead Trl STE 4,Newport,ME,04953-4056,Penobscot
SACOPEE VALLEY HEALTH CENTER,70 Main St,Porter,ME,04068-3527,Oxford
Sacopee Valley Health Center,49 Summer St,Porter,ME,04068-3536,Oxford
Sacopee Valley Health Center,122 S Hiram Rd,Hiram,ME,04041-3647,Oxford
Sacopee Valley Health Center,202 Maple St UNIT E,Cornish,ME,04020-3147,York
Sacopee Valley High School,115 S Hiram Rd,Hiram,ME,04041-3636,Oxford
EAST MACHIAS,893 Main St,East Machias,ME,04630-4051,Washington
"REGIONAL MEDICAL CENTER AT LUBEC, INC.",43 S Lubec Rd,Lubec,ME,04652-3620,Washington
SCHOOL HEALTH CLINIC AT LUBEC,44 South St,Lubec,ME,04652-4002,Washington
Catherine Morrill Day Nursery,96 Danforth St,Portland,ME,04101-4523,Cumberland
Children&#39;s Odyssey,19 Libby St,Portland,ME,04103-5927,Cumberland
Franklin Towers Health Center,211 Cumberland Ave,Portland,ME,04101-4935,Cumberland
Greater Portland Health - 295 Park Avenue,295 Park Ave,Portland,ME,04102-2911,Cumberland
Greater Portland Health - 934 Congress,934 Congress St,Portland,ME,04102-3032,Cumberland
Greater Portland Health at 654 Riverside Street,654 Riverside St,Portland,ME,04103-1086,Cumberland
Greater Portland Health at Amanda C. Rowe Elem...,23 Orono Rd,Portland,ME,04102-1106,Cumberland
Greater Portland Health at Canal Elementary Sc...,102 Glenwood Ave,Westbrook,ME,04092-4078,Cumberland
Greater Portland Health at Casco Bay High School,196 Allen Ave,Portland,ME,04103-3711,Cumberland
Greater Portland Health at Congin Elementary S...,410 Bridge St,Westbrook,ME,04092-2435,Cumberland
Greater Portland Health at Deering High School,370 Stevens Ave,Portland,ME,04103-2607,Cumberland
Greater Portland Health at East End School,195 North St,Portland,ME,04101-2734,Cumberland
Greater Portland Health at Gerald E. Talbot Co...,1600 Forest Ave,Portland,ME,04103-1314,Cumberland
Greater Portland Health at Harrison Lyseth Ele...,175 Auburn St,Portland,ME,04103-2131,Cumberland
Greater Portland Health at King Middle School,92 Deering Ave,Portland,ME,04102-2901,Cumberland
Greater Portland Health at Lincoln Middle School,522 Stevens Ave,Portland,ME,04103-2611,Cumberland
Greater Portland Health at Longfellow Elementa...,432 Stevens Ave,Portland,ME,04103-2607,Cumberland
Greater Portland Health at Lyman Moore Middle ...,171 Auburn St,Portland,ME,04103-2131,Cumberland
Greater Portland Health at Ocean Avenue Elemen...,150 Ocean Ave,Portland,ME,04103-5746,Cumberland
Greater Portland Health at Peaks Island School,4 Church Ave,Portland,ME,04108-1157,Cumberland
Greater Portland Health at Portland High School,284 Cumberland Ave,Portland,ME,04101-4927,Cumberland
Greater Portland Health at Presumpscot Element...,69 Presumpscot St,Portland,ME,04103-5201,Cumberland
Greater Portland Health at Reiche Community Sc...,166 Brackett St,Portland,ME,04102-3825,Cumberland
Greater Portland Health at Saccarappa Elementa...,110 Huntress Ave,Westbrook,ME,04092-2698,Cumberland
Greater Portland Health at Sagamore Village,68 Popham St,Portland,ME,04102-1151,Cumberland
Greater Portland Health at South Portland High...,637 Highland Ave,South Portland,ME,04106-6425,Cumberland
Greater Portland Health at South Portland Midd...,120 Wescott Rd,South Portland,ME,04106-3498,Cumberland
Greater Portland Health at Westbrook High School,125 Stroudwater St,Westbrook,ME,04092-4045,Cumberland
Greater Portland Health at Westbrook Middle Sc...,471 Stroudwater St,Westbrook,ME,04092-4070,Cumberland
Greater Portland Health Oxford Street,234 Oxford St,Portland,ME,04101-3029,Cumberland
Portland Community Health Center,180 Park Ave,Portland,ME,04102-2957,Cumberland
Portland Community Health Center at Preble Street,63 Preble St,Portland,ME,04101-3014,Cumberland
Riverton Health Center,59 Riverton Dr,Portland,ME,04103-1050,Cumberland
South Portland Community Health Center,100 Brickhill Ave,South Portland,ME,04106-1999,Cumberland
St. Elizabeth&#39;s Child Development Center,87 High St,Portland,ME,04101-3895,Cumberland
PINES Caribou Health Center,74 Access Hwy,Caribou,ME,04736,Aroostook
Pines Kimball Community Health Center,11 Harmony Ln,Fort Fairfield,ME,04742-3354,Aroostook
PINES Presque Isle FAMILY HEALTH CENTER,66 Spruce St STE 4,Presque Isle,ME,04769-3241,Aroostook
Pines ST. JOHN VALLEY HEALTH CENTER,4 Main St,Van Buren,ME,04785-1091,Aroostook
Pines Washburn Health Center,1260 Main St,Washburn,ME,04786-3225,Aroostook
Pines WOMEN & CHILDREN'S CENTER,163 Van Buren Rd STE 4,Caribou,ME,04736-3567,Aroostook
N M M C MEDICAL OFFICE BUILDING,194 E Main St,Fort Kent,ME,04743-1428,Aroostook
NORTHERN LIGHT PRIMARY CARE MILO,135 Park St,Milo,ME,04463-1729,Piscataquis
Katahdin Valley Health Center,529 S Patten Rd,Patten,ME,04765-3007,Penobscot
Katahdin Valley Health Center Ashland,33 Walker St,Ashland,ME,04732-3429,Aroostook
Katahdin Valley Health Center Dover,48 E Main St,Dover Foxcroft,ME,04426-1323,Piscataquis
Katahdin Valley Health Center Dover Foxcroft,188 Summer St,Dover Foxcroft,ME,04426-1129,Piscataquis
Katahdin Valley Health Center Houlton,59 Bangor St,Houlton,ME,04730-1740,Aroostook
Katahdin Valley Health Center Island Falls,1300 Crystal Rd,Island Falls,ME,04747-4369,Aroostook
Katahdin Valley Health Center Lincoln,53 Transalpine Rd FL,Lincoln,ME,04457-4223,Penobscot
Katahdin Valley Health Center Millinocket,50 Summer St,Millinocket,ME,04462-1400,Penobscot
Katahdin Valley Health Center Patten,30 Houlton St,Patten,ME,04765-3035,Penobscot
KVHC Brownville,180 Main Rd,Brownville,ME,04414-3107,Piscataquis
KVHC Brownville Elementary School,744 Main Rd,Brownville,ME,04414-3213,Piscataquis
KVHC East Millinocket Schools,45 North St # 1,East Millinocket,ME,04430-1150,Penobscot
KVHC Foxcroft Academy,975 W Main St,Dover Foxcroft,ME,04426-1053,Piscataquis
KVHC Katahdin Elementary School,805 Station Rd,Stacyville,ME,04777-4108,Penobscot
KVHC Katahdin Middle High School,800 Station Rd,Stacyville,ME,04777-4121,Penobscot
KVHC Milo Elementary,18 Belmont St,Milo,ME,04463-1304,Piscataquis
KVHC Penquis Valley Schools,48 Penquis Dr,Milo,ME,04463-1033,Piscataquis
KVHC SeDoMoCha Elementary School,63 Harrison Ave,Dover Foxcroft,ME,04426-1193,Piscataquis
KVHC SeDoMoCha Middle School,63 Harrison Ave,Dover Foxcroft,ME,04426-1193,Piscataquis
KVHC Southern Aroostook Community School,922 Dyer Brook Rd,Dyer Brook,ME,04747-5028,Aroostook
BELGRADE REGIONAL HEALTH CENTER,4 Clement Way,Belgrade,ME,04917-4370,Kennebec
BETHEL FAMILY HEALTH CENTER,32 Railroad St,Bethel,ME,04217-3819,Oxford
BINGHAM AREA HEALTH CENTER,237 Main St,Bingham,ME,04920-4015,Somerset
HealthReach Community Health Centers,10 Water St STE 305,Waterville,ME,04901-6566,Kennebec
Lawrence High School Health Center,9 School St,Fairfield,ME,04937-1326,Somerset
LOVEJOY HEALTH CENTER,7 School St STE 1,Albion,ME,04910-6501,Kennebec
MADISON AREA HEALTH CENTER,8 S Main St,Madison,ME,04950-4501,Somerset
MT. ABRAM REGIONAL HEALTH CENTER,25 Depot St,Kingfield,ME,04947-4208,Franklin
RANGELEY FAMILY MEDICINE,42 Dallas Hill Rd,Rangeley,ME,04970-4032,Franklin
RICHMOND AREA HEALTH CENTER,24 Gardiner St,Richmond,ME,04357-1347,Sagadahoc
SHEEPSCOT VALLEY HEALTH CENTER,47 Main St,Whitefield,ME,04353-3142,Lincoln
STRONG AREA HEALTH CENTER,177 N Main St,Strong,ME,04983-3005,Franklin
Western Maine Family Health Center,16 Depot St STE 300,Livermore Falls,ME,04254-1311,Androscoggin
HAN Enfield,47 Bridge St,West Enfield,ME,04493-4526,Penobscot
HAN FAMILY DENTAL ,9 Main St,Lincoln,ME,04457-1253,Penobscot
HAN Lee School Based Community Health Center,Winn Rd,Lee,ME,04455,Penobscot
HAN MEDWAY ,1930 Medway Rd,Medway,ME,04460-3166,Penobscot
Health Access Network Lincoln,175 W Broadway,Lincoln,ME,04457-4000,Penobscot
Mattanawcook Academy School Based Health Center,15 Reed Dr,Lincoln,ME,04457-1713,Penobscot
Northern Pine Care Estates,35 Ridge Rd,Lee,ME,04455-4418,Penobscot
HARRINGTON FAMILY HEALTH CENTER,50 E Main St,Harrington,ME,04643-3043,Washington
NORTHERN LIGHT PRIMARY CARE DOVER-FOXCROFT,891 W Main St,Dover Foxcroft,ME,04426-1059,Piscataquis
DFD RUSSELL MEDICAL CENTER - BRIDGTON,25 Hospital Dr,Bridgton,ME,04009-1167,Cumberland
DFD RUSSELL MEDICAL CENTER - LEEDS,180 Church Hill Rd,Leeds,ME,04263-3418,Androscoggin
DFD RUSSELL MEDICAL CENTER - MONMOUTH,11 Academy Rd,Monmouth,ME,04259-7035,Kennebec
DFD RUSSELL MEDICAL CENTER - TURNER,7 Main St,Turner,ME,04282,Androscoggin
Auburn Middle School-Based Health Center,38 Falcon Dr,Auburn,ME,04210-4384,Androscoggin
B Street Health Center,57 Birch St,Lewiston,ME,04240-7415,Androscoggin
CCS @ Recovery Connections of Maine,105 Middle St,Lewiston,ME,04240-7037,Androscoggin
CCS Behavioral at AMA,2 Great Falls Plz STE 21,Auburn,ME,04210-5966,Androscoggin
CCS Behavioral at CMCC,1250 Turner St,Auburn,ME,04210-6436,Androscoggin
CCS Behavioral at LAIM (Room A),3 Willow Run,Auburn,ME,04210-8501,Androscoggin
CCS Behavioral at Mollison (Room A),15 Mollison Way,Lewiston,ME,04240-5805,Androscoggin
CCS Behavioral at Poland,1230 Maine St RM A,Poland,ME,04274-7325,Androscoggin
CCS Behavioral at Ren School,15 Sacred Heart Pl RM A,Auburn,ME,04210-4938,Androscoggin
CCS Behavioral at SMMA,99 Campus Ave STE 201,Lewiston,ME,04240-6045,Androscoggin
CCS Family Health Center,100 Campus Ave,Lewiston,ME,04240-6040,Androscoggin
CCS Pediatrics,330 Sabattus St STE B,Lewiston,ME,04240-5553,Androscoggin
CCS Second Street Health Center,60 Second St,Auburn,ME,04210-6853,Androscoggin
Edward Little High School-Based Health Center,77 Harris St,Auburn,ME,04210-4671,Androscoggin
Lewiston High School-Based Health Center,156 East Ave,Lewiston,ME,04240-5696,Androscoggin
Lewiston Middle School-Based Health Center,75 Central Ave,Lewiston,ME,04240-6031,Androscoggin
Bucksport High School,102 Broadway,Bucksport,ME,04416-4610,Hancock
Bucksport Middle School,100 Miles Ln,Bucksport,ME,04416-4668,Hancock
BUCKSPORT REGIONAL HEALTH CENTER,110 Broadway,Bucksport,ME,04416-4612,Hancock
Bucksport Regional Health Center- Ellsworth Site,37 Commerce Park,Ellsworth,ME,04605-3383,Hancock
Ellsworth High School,24 Lejok St,Ellsworth,ME,04605-4767,Hancock
Jewett School,66 Bridge St,Bucksport,ME,04416-4087,Hancock
Miles Lane School,52 Miles Ln,Bucksport,ME,04416-4667,Hancock
ACADIA FAMILY HEALTH CENTER,460 Main St STE 104,Madawaska,ME,04756-1014,Aroostook
LMP  WALDOBORO,592 W Main St,Waldoboro,ME,04572-6030,Lincoln
LMP  PRIMARY CARE DAMARISCOTTA,24 Miles Center Way,Damariscotta,ME,04543-4067,Lincoln
INLAND FAMILY CARE - UNITY,80 Main St,Unity,ME,04988-3732,Waldo
NEW HORIZONS HEALTHCARE,344 Lakewood Rd,Madison,ME,04950-3015,Somerset
Islands Community Medical Center Annex,25 Medical Center Loop,Vinalhaven,ME,04863-4119,Knox
ISLANDS COMMUNITY MEDICAL SERVICES,15 Medical Center Loop,Vinalhaven,ME,04863-4119,Knox
MATINICUS VIA TELEMEDICINE,SUNBEAN DOCKED @ MATINICUS WHF,Matinicus,ME,04851,Knox
North Haven Community School,93 Pulpit Harbor Rd,North Haven,ME,04853-3100,Knox
North Haven Medical Clinic,135 Main St,North Haven,ME,04853-3320,Knox
North Haven PT at Southern Harbor,12 Pulpit Harbor Rd,North Haven,ME,04853-3104,Knox
VINALHAVEN ELDERCARE SERVICES,17 Beaver Dam Rd,Vinalhaven,ME,04863-3915,Knox
VINALHAVEN SCHOOL,22 Arcola Ln,Vinalhaven,ME,04863-4014,Knox
NORTHWOODS HEALTHCARE,Pritham Ave,Greenville,ME,04441,Piscataquis
MAINEHEALTH FMH FH PRACTICES,181 Franklin Health Cmns,Farmington,ME,04938-6144,Franklin
Pleasant Point Health Center,11 Back Rd,Pleasant Point,ME,04667-4119,Washington
Peter Dana Point,401 Peter Dana Point Rd,Indian Twp,ME,04668-5007,Washington
Penobscot Indian Nat Hlth Center,23 Wabanaki Way,Indian Island,ME,04468-1252,Penobscot
Houlton Band of Maliseet Indians Health Depart...,3 Clover Cir,Houlton,ME,04730-3424,Aroostook
Micmac Health Department,8 Northern Rd,Presque Isle,ME,04769-2040,Aroostook
ARTHUR JEWELL COMMUNITY HEALTH CENTER,55 Reynolds Rd,Brooks,ME,04921-3637,Waldo
LMP BOOTHBAY,19 Saint Andrews Ln,Boothbay Harbor,ME,04538-1732,Lincoln
WESTERN MAINE FAMILY MEDICINE,193 Main St,Norway,ME,04268-5645,Oxford
STOCKTON SPRINGS REGIONAL HEALTH CENTER,11 Cape Jellison Rd,Stockton Springs,ME,04981-4349,Waldo
FRANKLIN HEALTH LIVERMORE FALLS FAMILY PRACTICE,21 Main St,Livermore Falls,ME,04254-1219,Androscoggin
ELSEMORE-DIXFIELD FAMILY MEDICINE,146 Weld St,Dixfield,ME,04224-9614,Oxford
NORTHERN LIGHT INTERNAL MEDICINE DEXTER,41 High St,Dexter,ME,04930-1311,Penobscot
FMH PRIMARY CARE RHC,131 Franklin Health Cmns,Farmington,ME,04938-6142,Franklin
NORTHERN LIGHT PRIMARY CARE CORINTH,492 Main St,Corinth,ME,04427-3273,Penobscot
PENOBSCOT VALLEY PRIMARY CARE,252 Enfield Rd STE 2,Lincoln,ME,04457-4146,Penobscot
Bolduc Avenue Health Center,12 Bolduc Ave,Fort Kent,ME,04743-1602,Aroostook
EAGLE LAKE HEALTH CENTER,10 Carter St,Eagle Lake,ME,04739-3060,Aroostook
Fort Kent Health Education &amp; Training Center,3 Mountain View Dr,Fort Kent,ME,04743-1614,Aroostook
Madawaska Community Health Center,309 Saint Thomas St,Madawaska,ME,04756-1278,Aroostook
School Based Health Center Mobile Unit,3 Mountain View Dr,Fort Kent,ME,04743-1614,Aroostook
School-Based Health Center-Fort Kent Elementary,108 Pleasant St,Fort Kent,ME,04743-1596,Aroostook
School-Based Health Center-Fort Kent High School,84 Pleasant St,Fort Kent,ME,04743-1597,Aroostook
School-Based Health Center-Madawaska,353 11th Ave,Madawaska,ME,04756-3004,Aroostook
School-Based Health Center-Madawaska High School,135 Seventh Ave,Madawaska,ME,04756-1199,Aroostook
School-Based Health Center-St. Agatha,368 Main St,Saint Agatha,ME,04772-6133,Aroostook
School-Based Health Center-St. John Valley Tec...,431 US Route 1,Frenchville,ME,04745-6158,Aroostook
