Site Name,Site Address,Site City,Site State,Site Zip Code,County
FCI-Milan,4004 E Arkona Rd,Milan,MI,48160,Washtenaw
Alma High School,1500 Pine Ave RM B207,Alma,MI,48801-1275,Gratiot
Alma Hillcrest School,515 E Elizabeth St RM 118,Alma,MI,48801-1760,Gratiot
Alma Middle School,1700 Pine Ave RM 2L,Alma,MI,48801-1291,Gratiot
Ashley Community Schools,104 N New St RM 204,Ashley,MI,48806-5114,Gratiot
Fulton Schools,8060 Ely Hwy,Middleton,MI,48856-9704,Gratiot
Isabella Citizens for Health,2790 Health Pkwy,Mount Pleasant,MI,48858-6934,Isabella
Ithaca Middle/High School,710 N Union St RM 700,Ithaca,MI,48847-1314,Gratiot
Mt. Pleasant High School,1155 S Elizabeth St RM 136,Mt Pleasant,MI,48858-3221,Isabella
Mt. Pleasant Middle School,440 S Bradley St,Mount Pleasant,MI,48858-3052,Isabella
Renaissance Public School Academy,2797 S Isabella Rd,Mount Pleasant,MI,48858-2067,Isabella
St. Louis High School,113 E Saginaw St RM Ich,Saint Louis,MI,48880-1755,Gratiot
St. Louis Middle School,312 Union St RM 151,Saint Louis,MI,48880-1830,Gratiot
Women&#39;s Health Center of Isabella Citizens...,1201 South Dr STE 220,Mount Pleasant,MI,48858-3255,Isabella
CF-Alger,N6141 Industrial Park Dr,Munising,MI,49862-9277,Alger
CF-Baraga,13924 Wadaga Rd,Baraga,MI,49908-9204,Baraga
Chippewa Correctional Facility,4269 W M 80,Kincheloe,MI,49788-1634,Chippewa
St. Louis Correctional Facility,8585 N Croswell Rd,Saint Louis,MI,48880-9210,Gratiot
Bellamy Creek Correctional Facility,1727 W Bluewater Hwy,Ionia,MI,48846-8647,Ionia
Saginaw Correctional Facility,9625 Pierce Rd,Freeland,MI,48623-8102,Saginaw
Center for Family Health Dental,500 N Jackson St,Jackson,MI,49201-1223,Jackson
CFH - Downtown Site,505 N Jackson St,Jackson,MI,49201-1266,Jackson
CFH - Jackson High Health Center,544 Wildwood Ave,Jackson,MI,49201-1013,Jackson
CFH - LifeWays,1200 N West Ave,Jackson,MI,49202-2179,Jackson
CFH - Northeast Health Center,1024 Fleming Ave,Jackson,MI,49202-2536,Jackson
CFH - Northwest Community Health Center,6700 Rives Junction Rd,Jackson,MI,49201-7448,Jackson
CFH - Parkside Health Center,2400 4th St,Jackson,MI,49203-4573,Jackson
MIDMICHIGAN HEALTH PARK - WEST BRANCH,640 Court St,West Branch,MI,48661,Ogemaw
SPECTRUM HEALTH LUDINGTON HOSPITAL FAMILY AND ...,922 Lawndale St,Ludington,MI,49431-1928,Mason
SPECTRUM HEALTH GERBER MEMORIAL OBSTETRICS AND...,212 S Sullivan Ave,Fremont,MI,49412-1548,Newaygo
SPECTRUM HEALTH LUDINGTON HOSPITAL FAMILY MEDI...,78 N Division St,Hesperia,MI,49421-5107,Newaygo
MIDMICHIGAN MEDICAL OFFICE FARWELL,2812 W Cadillac Dr,Farwell,MI,48622-9757,Clare
SPECTRUM HEALTH BIG RAPIDS HOSPITAL FAMILY MED...,"650 Linden St, Ste 1",Big Rapids,MI,49307-1880,Mecosta
SPECTRUM HEALTH PENNOCK FAMILY MEDICINE-LAKE O...,4294 Laurel Dr,Lake Odessa,MI,48849-8430,Ionia
Dr. Feleta Wilson Health Center,6550 W Warren Ave,Detroit,MI,48210-1134,Wayne
Dr. Peter Slaughter Health Center,20303 Kelly Rd,Detroit,MI,48225-1206,Wayne
Dr. Sophie Womack Health Center,7900 Kercheval St,Detroit,MI,48214-2439,Wayne
East Riverside Health Center,13901 E Jefferson Ave,Detroit,MI,48215-2720,Wayne
NOLAN FAMILY HEALTH CENTER,111 W 7 Mile Rd,Highland Park,MI,48203-1968,Wayne
Oscar Paskal Health Center,12800 E Warren Ave,Detroit,MI,48215-2061,Wayne
WOODWARD CORRIDOR FAMILY MEDICAL CENTER,611 Martin Luther King Jr Blvd,Detroit,MI,48201-2273,Wayne
BALDWIN FAMILY HEALTH CARE,1615 Michigan Ave,Baldwin,MI,49304-7984,Lake
BALDWIN TEEN HEALTH CENTER,525 4th St,Baldwin,MI,49304-9518,Lake
Big Rapids Middle School Behavioral Health Ser...,500 N Warren Ave RM C,Big Rapids,MI,49307-1459,Mecosta
Cadillac Schools Behavioral Health Services ( ...,125 Ayer St RM 149,Cadillac,MI,49601-1220,Wexford
Family Health Care - Ashby Center Vision Depar...,1101 Washington St,Baldwin,MI,49304-8199,Lake
FAMILY HEALTH CARE - BENSON,126 S Benson St,White Cloud,MI,49349-8672,Newaygo
