Site Name,Site Address,Site City,Site State,Site Zip Code,County
FMC-Rochester,2110 E Center St,Rochester,MN,55904-4754,Olmsted
Minnesota Correctional Facility - St Cloud,2305 Minnesota Blvd,Saint Cloud,MN,56304-2424,Sherburne
Minnesota Correctional Facility/Lino Lakes,7525 4th Ave,Lino Lakes,MN,55014-1006,Anoka
Minnesota Correctional Facility-Faribault,1101 Linden Ln,Faribault,MN,55021-6400,Rice
Minnesota Correctional Facility/Rush City,7600 525th St,Rush City,MN,55069-2227,Chisago
Minnesota Correctional Facility/Shakopee,1010 6th Ave W,Shakopee,MN,55379-2213,Scott
Minnesota Correctional Facility/Moose Lake,1000 Lakeshore Dr,Moose Lake,MN,55767-9449,Cass
Minnesota Correctional Facility - Stillwater,970 Pickett St N,Bayport,MN,55003-1489,Washington
St. Peter/MSOP,100 Freeman Dr,Saint Peter,MN,56082-3504,Nicollet
Moose Lake/MSOP,111 MN-73,Moose Lake,MN,55767,Cass
CHURCHES UNITED FOR THE HOMELESS,1019 1st St S,Moorhead,MN,56560-3350,Clay
FAMILY HEALTHCARE CENTER-MOORHEAD DENTAL,715 11th St N STE 106B,Moorhead,MN,56560-2000,Clay
Family HealthCare Moorhead,1308 9th Ave S,Moorhead,MN,56563-1003,Clay
TRI COUNTY HEALTH CARE OTTERTAIL CLINIC,PO BOX 129,Ottertail,MN,56571-0129,Otter Tail
TRI COUNTY HEALTH CARE HENNING CLINIC,401 Douglas Ave,Henning,MN,56551-4026,Otter Tail
KITTSON MEMORIAL CLINIC,1010 S Birch Ave # 700,Hallock,MN,56728-4215,Kittson
LAKEWOOD CLINIC STAPLES,49725 County 83,Staples,MN,56479-5280,Todd
CASS LAKE HOSPITAL,425 7th St NW,Cass Lake,MN,56633-3360,Cass
GRAND PORTAGE HEALTH CENTER,62 Upper Rd,Grand Portage,MN,55605-3010,Cook
Red Lake Comp Health,24760 Hospital Rd,Redlake,MN,56671,Beltrami
TRI COUNTY HOSP VERNDALE CLINIC,102 S Farwell St,Verndale,MN,56481-4250,Wadena
LAKEWOOD CLINIC PILLAGER,653 Pillsbury St N,Pillager,MN,56473-2543,Cass
MILLE LACS FAMILY CLNC ONAMIA,PO BOX A,Onamia,MN,56359-0807,Mille Lacs
MILLE LACS FAMILY CLINIC ISLE,375 E Isle St,Isle,MN,56342-2640,Mille Lacs
LAKEWOOD CLINIC MOTLEY,1233 Highway 10 S,Motley,MN,56466-8210,Morrison
ESSENTIA ST MARYS MAHNOMEN CLINIC,117 N Main St,Mahnomen,MN,56557-4003,Mahnomen
KITTSON MEMORIAL CLINIC OF KARLSTAD,PO BOX 199,Karlstad,MN,56732-0199,Kittson
800 West Broadway,800 W Broadway Ave,Minneapolis,MN,55411-2614,Hennepin
