Site Name,Site Address,Site City,Site State,Site Zip Code,County
MCFP-Springfield,1900 W Sunshine St,Springfield,MO,65807-2240,Greene
AUSTIN PLAZA PRIMARY CARE,108 Frizzell St STE 5,Potosi,MO,63664-1593,Washington
WCMH URGENT CARE,300 Health Way Dr,Potosi,MO,63664-1420,Washington
HEALTH WAY PRIMARY CARE,200 Health Way Dr,Potosi,MO,63664-1434,Washington
POTOSI RURAL HEALTH CLINIC,1 Kwan Plz,Potosi,MO,63664-1435,Washington
COXHEALTH CENTER BRANSON,890 State Highway 248,Branson,MO,65616-3721,Taney
PORTAGEVILLE COMMUNITY CARE CENTER,204 E 3rd St,Portageville,MO,63873-1402,New Madrid
FERGUSON MEDICAL GROUP SCOTT CITY,100 E Outer Rd,Scott City,MO,63780-1229,Scott
MERCY CLINIC FAMILY MEDICINE- BUFFALO,118 W Dallas St,Buffalo,MO,65622-8669,Dallas
MALDEN MEDICAL CENTER,806 N Douglass St,Malden,MO,63863-1512,Dunklin
FITZGIBBON FAMILY HEALTH,600 W Morrison St STE 5,Fayette,MO,65248-1075,Howard
TINSLEY MEDICAL CLINIC,2400 Lucy Lee Pkwy STE A,Poplar Bluff,MO,63901-2427,Butler
WOMEN'S CARE CENTER,1013 N Main St STE 101,Sikeston,MO,63801-5043,Scott
CMH OB/GYN - PEDIATRIC CLINIC,1195 N Oakland Ave STE 2,Bolivar,MO,65613-8025,Polk
PIKE COUNTY MEMORIAL HOSPITAL CLINICS,2305 Georgia St,Louisiana,MO,63353-2559,Pike
HANNIBAL REGIONAL MEDICAL GROUP - BOWLING GREEN,8 Town Center Dr,Bowling Green,MO,63334-2803,Pike
PIKE COUNTY MEMORIAL HOSPITAL CLINICS,1015 W Adams St,Bowling Green,MO,63334-1974,Pike
COX HEALTH CENTER ROGERSVILLE,151 Johnstown Dr,Rogersville,MO,65742-9366,Webster
LAKE REGIONAL CLINIC - IBERIA,2333 Highway 17,Iberia,MO,65486-9331,Miller
HANNIBAL CLINIC,100 Medical Dr,Hannibal,MO,63401-6877,Marion
BURTON CREEK MEDICAL CLINIC,805 N Kentucky Ave,West Plains,MO,65775-2022,Howell
OCH SPARTA CLINIC,PO BOX 183,Sparta,MO,65753-0183,Christian
OZARKS HEALTHCARE ALTON,PO BOX 468,Alton,MO,65606-0468,Oregon
DEXTER MEDICAL CENTER,PO BOX 399,Dexter,MO,63841-0399,Stoddard
MO DELTA MED CTR COMM CARE CTR,1200 E Marshall St,Charleston,MO,63834-1336,Mississippi
POPLAR BLUFF MEDICAL CLINIC,2588 N Westwood Blvd,Poplar Bluff,MO,63901-2339,Butler
FERGUSON MEDICAL GROUP EAST PRAIRIE,320 N Lincoln St,East Prairie,MO,63845-1160,Mississippi
PEMISCOT PRIMARY CARE CLINIC,907 E Reed St,Hayti,MO,63851-1242,Pemiscot
HEDRICK MEDICAL CENTER,2791 N Washington St,Chillicothe,MO,64601-2902,Livingston
MERCY CLINIC FAMILY MEDICINE-MOUNTAIN GROVE,120 W 16th St,Mountain Grove,MO,65711-1039,Wright
COXHEALTH CENTER BRANSON WEST,18452 Business 13,Branson West,MO,65737-9609,Stone
NEW MADRID COMMUNITY CARE CENTER,615 Main St,New Madrid,MO,63869-1513,New Madrid
PUXICO CLINIC,PO BOX 7,Puxico,MO,63960-0007,Stoddard
MEDICAL CLINIC OF WILLOW SPRINGS,816 E Main St,Willow Springs,MO,65793-1518,Howell
Green Ridge R-VIII,401 W Pettis St,Green Ridge,MO,65332-1160,Pettis
Katy on the Go,821 Westwood Dr,Sedalia,MO,65301-2102,Pettis
Katy on the Trail,821 Westwood Dr,Sedalia,MO,65301-2102,Pettis
Katy Trail Community Health Administration,816 Westwood Dr,Sedalia,MO,65301-2182,Pettis
Katy Trail Community Health Cole Camp R-1,500 S Keeney St,Cole Camp,MO,65325-1059,Benton
Katy Trail Community Health East,305 W Main St,Sedalia,MO,65301-3821,Pettis
Katy Trail Community Health Ivy Bend,41569 Ivy Bend Rd,Stover,MO,65078-2177,Morgan
Katy Trail Community Health Marshall school based,313 E Eastwood St,Marshall,MO,65340-1413,Saline
Katy Trail Community Health Morgan County RII,913 W Newton St,Versailles,MO,65084-1811,Morgan
Katy Trail Community Health Warsaw Schools,20363 Lane of Champions,Warsaw,MO,65355-6463,Benton
"Katy Trail Community Health, Harbor Village",17571 N Dam Access Rd,Warsaw,MO,65355-6396,Benton
"Katy Trail Community Health, Stover",701 N Oak St,Stover,MO,65078-0842,Morgan
Katy Trail Community Health-Marshall,1825 Atchison Ave,Marshall,MO,65340-9752,Saline
"REGIONAL HEALTH CARE CLINIC, INC., dba Katy Tr...",821 Westwood Dr,Sedalia,MO,65301-2102,Pettis
