Site Name,Site Address,Site City,Site State,Site Zip Code,County
CENTREVILLE CLINIC,178 Highway 24 STE A,Centreville,MS,39631-4217,Amite
BYHALIA FAMILY DENTAL CLINIC,34 Brunswick St,Byhalia,MS,38611-7000,Marshall
DBA BYHALIA FAMILY HEALTH CENTER,12 Brunswick St,Byhalia,MS,38611-7000,Marshall
DeSoto Community Health Center,7535 Airways Blvd,Southaven,MS,38671-5834,DeSoto
MT. PLEASANT FAMILY HLTH CLINIC,154 Mt Pleasant Rd,Holly Springs,MS,38635,Marshall
NEMHC Mobile Unit 1,3442 Highway 309 N,Byhalia,MS,38611-8835,Marshall
NEMHC Mobile Unit 2,3442 Highway 309 N,Byhalia,MS,38611-8835,Marshall
ADAMS COUNTY FAMILY HLTH CTR,145 Homochitto St,Natchez,MS,39120-3906,Adams
Gilmer McLaurin Elementary School,170 Sgt Prentiss Dr,Natchez,MS,39120-4737,Adams
JCHC – Thompson Head Start School-Based Clinic,1038 N Union St,Natchez,MS,39120-2875,Adams
JEFFERSON CNTY HIGH SCHOOL CLINI,2277 Main St,Fayette,MS,39069-5515,Jefferson
JEFFERSON CNTY MID SCHOOL CLINIC,430 Highway 33,Fayette,MS,39069-4546,Jefferson
Jefferson Comprehensive Health Center,405 Main St,Fayette,MS,39069-5576,Jefferson
Jefferson Comprehensive Health Center Medical/...,405 Main St,Fayette,MS,39069-5576,Jefferson
Joseph L. Frazier Elementary School Clinic,1445 George F West Sr Blvd,Natchez,MS,39120-2557,Adams
Morgantown Middle School,101 Cottage Home Dr,Natchez,MS,39120-2753,Adams
Baxterville School,1201 Bilbo Rd,Lumberton,MS,39455-8670,Lamar
BEAUMONT FAMILY HEALTH CENTER,1411 Bradley Ave,Beaumont,MS,39423-5611,Perry
Bellevue Elementary,1760 Old Highway 24,Hattiesburg,MS,39402-8235,Lamar
BROOKLYN FAMILY HEALTH CENTER,44 Brooklyn Janice Rd,Brooklyn,MS,39425-9731,Forrest
Carver Middle School,104 Carver Dr,Collins,MS,39428-4174,Covington
Collins Elementary School,401 Dogwood Ave,Collins,MS,39428,Covington
Collins High School,1208 S Dogwood Ave,Collins,MS,39428-4665,Covington
Forrest County Agricultural High School,215 Old Highway 49 E,Brooklyn,MS,39425-9028,Forrest
HATTIESBURG COMMUNITY DENTAL CTR,68 Old Airport Rd,Hattiesburg,MS,39401-8382,Forrest
HATTIESBURG FAMILY HEALTH CENTER,66 Old Airport Rd,Hattiesburg,MS,39401-8382,Forrest
HATTIESBURG High School & COMMUNITY CLIN.,605 Stadium Dr,Hattiesburg,MS,39401-4156,Forrest
Hattiesburg Public School and COMMUNITY CLINIC ,404 Lillie Burney St,Hattiesburg,MS,39401-5505,Forrest
Hopewell Elementary School,824 Hopewell Rd,Collins,MS,39428-5736,Covington
Lamar County School Clinic,424 Martin Luther King Dr,Purvis,MS,39475-5028,Lamar
Lumberton Elementary School,16 Ada Bounds Dr,Lumberton,MS,39455-2343,Stone
LUMBERTON FAMILY HEALTH CENTER,598 W 11th Ave,Lumberton,MS,39455-2350,Lamar
Lumberton High School,7920 U S Highway 11,Lumberton,MS,39455-2411,Lamar
Minor Care Clinic,123 S 27th Ave,Hattiesburg,MS,39401-7136,Forrest
Mt. Olive Attendance Center,S 4th St,Mount Olive,MS,39119,Covington
N.R. Burger School and Community Clinic,180 WSF Tatum Drive Ext,Hattiesburg,MS,39401-7723,Forrest
NEW AUGUSTA FAMILY HEALTH CENTER,404 S Main St,New Augusta,MS,39462-9756,Perry
Oak Grove Elementary,70 Leaf Ln,Hattiesburg,MS,39402-9549,Lamar
Oak Grove High School,5198 Old Highway 11,Hattiesburg,MS,39402-6222,Lamar
Oak Grove Longleaf,5279 W 4th St,Hattiesburg,MS,39402-9700,Lamar
Oak Grove Middle School,2543 Old Highway 24,Hattiesburg,MS,39402-8349,Lamar
Petal Elementary School,1179 Highway 42,Petal,MS,39465-9740,Forrest
Petal High School,1145 Highway 42,Petal,MS,39465-9740,Forrest
Petal Middle School,203 Highway 42,Petal,MS,39465-2864,Forrest
Petal Primary School,60 Herrington Rd,Petal,MS,39465-8842,Forrest
Petal School Clinic,36 Panther Stadium Dr,Petal,MS,39465-3632,Forrest
Petal Upper Elementary School,400 Hillcrest Loop,Petal,MS,39465-2634,Forrest
Picayune Family Health Center,1911 Read Rd,Picayune,MS,39466-2730,Pearl River
Purvis High School,220 School St,Purvis,MS,39475-9002,Lamar
Purvis Lower Elementary School,5976 US Highway 11,Purvis,MS,39475-5066,Lamar
Purvis Middle School,213 School St,Purvis,MS,39475-9004,Lamar
Purvis Upper Elementary School,310 Mitchell Ave,Purvis,MS,39475-4058,Lamar
Seminary Elementary School,200 W Main St,Seminary,MS,39479-9031,Covington
SEMINARY FAMILY HEALTH CENTER,100 Highway 535,Seminary,MS,39479-8809,Covington
Seminary High School,200 W Main St BLDG 3,Seminary,MS,39479-9031,Covington
Seminary Middle School,200 W Main St BLDG 2,Seminary,MS,39479-9031,Covington
SEMRHI Mobile Health Unit,68 Old Airport Rd,Hattiesburg,MS,39401-8382,Forrest
SeMRHI Support Services Center,64 Old Airport Rd,Hattiesburg,MS,39401-8382,Forrest
"SOUTHEAST MISSISSIPPI RURAL HEALTH INITIATIVE,...",5488 U S Highway 49,Hattiesburg,MS,39401-7806,Forrest
Sumrall Elementary School,198 Todd Rd,Sumrall,MS,39482-5460,Lamar
SUMRALL FAMILY HEALTH CENTER,1016 Highway 42,Sumrall,MS,39482-9634,Lamar
Sumrall High School,184 Center Ave,Sumrall,MS,39482-9629,Lamar
Sumrall High School,184 Center Ave,Sumrall,MS,39482-9629,Lamar
Sumrall Middle School,1217 Highway 42,Sumrall,MS,39482-9612,Lamar
WOMEN'S HEALTH CENTER,62 Old Airport Rd,Hattiesburg,MS,39401-8382,Forrest
ACMS Mobile Dental Unit,102 W Freedom Dr,Liberty,MS,39645-7295,Amite
ACMS Mobile Medical/Dental Unit 2,102 W Freedom Dr,Liberty,MS,39645-7295,Amite
"AMITE COUNTY MEDICAL SERVICES, INC.",102 W Freedom Dr,Liberty,MS,39645-7295,Amite
LIBERTY DENTAL SERVICES,102 W Freedom Dr,Liberty,MS,39645-7295,Amite
Pike County Medical Services,300 Rawls Dr STE 1300,McComb,MS,39648-2866,Pike
FMCH LIBERTY CLINIC,1410 E Main St,Liberty,MS,39645,Amite
"DR ARENIA C. MALLORY CHC, INC.",17280 Highway 17,Lexington,MS,39095-6614,Holmes
DURANT CLINIC,33795 Hunter Blvd,Durant,MS,39063-3568,Holmes
Greenwood Clinic,201 E Washington St,Greenwood,MS,38930-4407,Leflore
Lexington Pediatric Complex,300 Yazoo St,Lexington,MS,39095-3623,Holmes
Mallory CHC - Women&#39;s and Family Health Ce...,276 Nissan Pkwy BLDG C,Canton,MS,39046-7006,Madison
Mallory Community Health Center School Based C...,96 Rockport Rd,Lexington,MS,39095-5166,Holmes
Mallory Mobile RV Clinic,17280 Highway 17,Lexington,MS,39095-6614,Holmes
TCHULA CLINIC,9715 Highway 12,Tchula,MS,39169-3692,Holmes
BROOKSVILLE PRIMARY CARE CLINIC,PO BOX 480,Brooksville,MS,39739-0480,Noxubee
CATCHINGS CLINIC,PO BOX 876,Woodville,MS,39669-0876,Wilkinson
MississippiCare - 113,353 Highway 15 N,Pontotoc,MS,38863-1103,Pontotoc
MississippiCare - 126,232 Starlyn Ave,New Albany,MS,38652-2428,Union
MississippiCare-129,2173 S Lamar Blvd,Oxford,MS,38655-5223,Lafayette
Benton Medical Center,15921 Boundary Dr,Ashland,MS,38603-7740,Benton
Booneville Community Health Center,208 N 1st St,Booneville,MS,38829-2718,Prentiss
Charger Health and Wellness,399 N 5th St,Oxford,MS,38655-3600,Lafayette
Corinth Health Care Associates,1415 S Harper Rd,Corinth,MS,38834-6613,Alcorn
James D Nunnally Center for Community Health E...,751 S Line St,Ripley,MS,38663-2811,Tippah
Mobile Unit,15921 Boundary Dr,Ashland,MS,38603-7740,Benton
New Albany Health Care Associates,488 W Bankhead St,New Albany,MS,38652-3319,Union
NMPHC Pharmacy,80 Church Ave,Ashland,MS,38603-7208,Benton
NMPHC Wellness Center,16025 Boundary Dr,Ashland,MS,38603-7738,Benton
Oxford Health Care Associates,2716 West Oxford Loop STE 171,Oxford,MS,38655-5722,Lafayette
Ripley Health Care Associates,749 S Line St,Ripley,MS,38663-2811,Tippah
Tishomingo Health Care Associates,1310 Main St,Tishomingo,MS,38873-8410,Tishomingo
Walnut Dental Center,521 Main St,Walnut,MS,38683-9349,Tippah
Walnut Imaging Center,71 Mitchel Ave,Walnut,MS,38683,Tippah
WALNUT MEDICAL CENTER,531 Main St,Walnut,MS,38683-9349,Tippah
CHARLESTON CLINIC,PO BOX 27,Charleston,MS,38921-0027,Tallahatchie
LACKEY PEDIATRIC CLINIC,1129 Highway 35 S STE 1,Forest,MS,39074-8829,Scott
MARION GENERAL RURAL HEALTH CLINIC,1560 Sumrall Rd,Columbia,MS,39429-2654,Marion
JASPER MEDICAL/DENTAL CLINIC,309 N Pine Ave,Heidelberg,MS,39439-3412,Jasper
Outreach Health Services Inc. Medical/Dental M...,130 S High St,Shubuta,MS,39360-9500,Clarke
"OUTREACH HEALTH SERVICES, INC.",130 N High St,Shubuta,MS,39360-8882,Clarke
SHUBUTA MEDICAL/DENTAL CLINIC,130 N High St,Shubuta,MS,39360-8882,Clarke
JEFFERSON DAVIS RURAL HEALTH CLINIC,1014 Rose St STE A,Prentiss,MS,39474-5271,Jefferson Davis
MBCI OUTPATIENT CLINIC,210 Hospital Cir,Choctaw,MS,39350-6781,Neshoba
Family Health Care Clinic --Bude Head Start,262 Pine St N,Bude,MS,39630-8000,Franklin
"Family Health Care Clinic, Bogue Chitto--Head ...",2506 Highway 51 SE,Bogue Chitto,MS,39629-5183,Lincoln
"Family Health Care Clinic, Brookhaven",215 Highway 51 S,Brookhaven,MS,39601-3245,Lincoln
"Family Health Care Clinic, Calhoun City--Head ...",125 Carter Dr,Calhoun City,MS,38916-7028,Calhoun
