Site Name,Site Address,Site City,Site State,Site Zip Code,County
PRAIRIE COUNTY RURAL HEALTH CLINIC,409 Bowen St,Terry,MT,59349-7365,Prairie
NORTHERN MONTANA FAMILY MEDICAL CENTER,1410 1st Ave,Havre,MT,59501-6207,Hill
Administrative Offices,210 S 3rd St,Hamilton,MT,59840-2722,Ravalli
Hamilton High School,327 Fairgrounds Rd,Hamilton,MT,59840-3135,Ravalli
Hamilton School District,103 S 9th St STE 106,Hamilton,MT,59840-2604,Ravalli
Mobile Medical Unit,316 North 3rd Street,Hamilton,MT,59840-2480,Ravalli
Sapphire Community Health,316 North 3rd Street,Hamilton,MT,59840-2480,Ravalli
Victor School District,"425 Forth Ave,  Room 101",Victor,MT,59875-9468,Ravalli
PLAINS MEDICAL CLINIC,10 Kruger Rd,Plains,MT,59859,Sanders
THOMPSON FALLS CLINIC,120 Pond St,Thompson Falls,MT,59873-7722,Sanders
&quot;transport&quot; vehicle,"3318 3rd Ave N, Ste 200",Billings,MT,59101-1900,Yellowstone
Ag Worker Health & Services,General Delivery,Bigfork,MT,59911-9999,Flathead
Ag Worker Health &amp; Services,35511 County Road 134,Fairview,MT,59221-9465,Richland
Ag Worker Health &amp; Services,3318 3rd Ave N STE 100,Billings,MT,59101-1900,Yellowstone
Ag Worker Health &amp; Services,9801 Valley Grove Dr,Lolo,MT,59847-8617,Missoula
Ag Worker Health &amp; Services,116 N Washington St,Dillon,MT,59725-2631,Beaverhead
Ag Worker Health &amp; Services,35432 Mt Highway 35,Polson,MT,59860-8999,Lake
Ag Worker Health &amp; Services - Mobile Medic...,6385 US Highway 10 W,Missoula,MT,59808-9085,Missoula
Mobile Dental,General Delivery,Bridger,MT,59014-9999,Carbon
Montana Migrant and Seasonal Farmworkers Counc...,General Delivery,Polson,MT,59860-9999,Lake
"MONTANA MIGRANT COUNCIL, INC",General Delivery,Glendive,MT,59330-9999,Dawson
"MONTANA MIGRANT COUNCIL, INC.",General Delivery,Bridger,MT,59014-9999,Carbon
"MONTANA MIGRANT COUNCIL, INC.",General Delivery,Forsyth,MT,59327-9999,Rosebud
LIVINGSTON HEALTHCARE SHIELDS VALLEY CLINIC,309 Elliot St N,Wilsall,MT,59086-8501,Park
BENTON MEDICAL CENTER,1203 15th St,Fort Benton,MT,59442-7751,Chouteau
BAIR MEMORIAL CLINIC,530 3rd St NW,Harlowton,MT,59036-5229,Wheatland
LISTERUD RURAL HEALTH CLINIC,301 Knapp St,Wolf Point,MT,59201-1826,Roosevelt
DANIELS MEMORIAL MEDICAL CLINIC,105 5th Ave E,Scobey,MT,59263-7849,Daniels
Blackfeet Community Hospital (Formerly Brownin...,760 Hospital Cir,Browning,MT,59417,Glacier
