Site Name,Site Address,Site City,Site State,Site Zip Code,County
Collettsville Medical Center,4330 Collettsville Rd,Collettsville,NC,28611-9000,Caldwell
Happy Valley Medical Center,1345 Hwy 268,Lenoir,NC,28645,Caldwell
WCHC Mobile Health Unit,4330 Collettsville Rd,Collettsville,NC,28611-9000,Caldwell
West Caldwell Health Council Annex,4329 Collettsville Rd,Lenoir,NC,28645,Caldwell
Banks Elementary School,2148 Falling Creek Rd,Kinston,NC,28504-9168,Lenoir
Contentnea-Savannah School,3400 Ferrell Rd,Kinston,NC,28501-7136,Lenoir
E.B. Frink Middle School,102 Martin Luther King Jr Dr,La Grange,NC,28551-1441,Lenoir
KCHC Administration Site- Billing,327 N Queen St Ste 302,Kinston,NC,28501-4987,Lenoir
KCHC Administration Site- Call Center,327 N Queen St Ste 112,Kinston,NC,28501-4986,Lenoir
Kinston Community Health Center Pharmacy,324 N Queen St STE A,Kinston,NC,28501-4932,Lenoir
"Kinston Community Health Center, Inc Site 2",207 E King St STE,Kinston,NC,28501-4917,Lenoir
"KINSTON COMMUNITY HEALTH CENTER, INC.",324 N Queen St,Kinston,NC,28501-4932,Lenoir
L.C. Learning Academy,2529 Cedar Dell Ln BLDG,Kinston,NC,28504-9113,Lenoir
LaGrange Elementary School,402 W Railroad St,La Grange,NC,28551-1640,Lenoir
Mobile Unit 1,324 N Queen St,Kinston,NC,28501-4932,Lenoir
Moss Hill Elementary,6040 Hwy 55 W,Kinston,NC,28504-7433,Lenoir
Northeast Elementary School,1002 E Highland Ave,Kinston,NC,28501-3114,Lenoir
Northwest Elementary School,1701 Old Well Rd,Kinston,NC,28504-2600,Lenoir
Pink Hill Elementary School,2666 HC Turner Rd,Pink Hill,NC,28572-9552,Lenoir
Rochelle Middle School,301 N Rochelle Blvd,Kinston,NC,28501-5240,Lenoir
Southeast Elementary School,201 Mcdaniels St,Kinston,NC,28501-5638,Lenoir
