Site Name,Site Address,Site City,Site State,Site Zip Code,County
Fort Yates Hospital,10 Standing Rock Ave,Fort Yates,ND,58538-8528,Sioux
SMH-North Dakota State Hospital,2605 Circle Dr,Jamestown,ND,58401-6905,Stutsman
Family HealthCare Mobile Clinic #1,301 Np Ave N,Fargo,ND,58102-4835,Cass
Family HealthCare South Fargo,4025 9th Ave S,Fargo,ND,58103-2101,Cass
Family HealthCare Valley City,415 2nd Ave NE STE 101,Valley City,ND,58072-3060,Barnes
Family HealthCare West Fargo,726 13th Ave E,West Fargo,ND,58078-3304,Cass
"FHC Medical, Dental, Homeless Services, and Ad...",301 Np Ave N,Fargo,ND,58102-4835,Cass
CCCHC Hazen Clinic,510 8th Ave NE,Hazen,ND,58545-4637,Mercer
CCCHC Killdeer Clinic,220 4th Ave SW,Killdeer,ND,58640-8500,Dunn
COAL COUNTRY CHC - CENTER,111 Main St,Center,ND,58530-4712,Oliver
COAL COUNTRY COMMUNITY HEALTH CENTER,1312 Highway 49 N,Beulah,ND,58523-6038,Mercer
Coal Country Community Health Center - Adminis...,1101 3rd Ave NW,Beulah,ND,58523-6215,Mercer
Coal Country Community Health Center - Beulah ...,204 5th St NW,Beulah,ND,58523-6542,Mercer
Coal Country Community Health Center - Beulah ...,1700 Central Ave N,Beulah,ND,58523-6004,Mercer
Coal Country Community Health Center - Hazen E...,519 1st Ave NE,Hazen,ND,58545,Mercer
Coal Country Community Health Center - Killdee...,101 High St NW,Killdeer,ND,58640,Dunn
Coal Country Community Health Center - Killdee...,High St NW,Killdeer,ND,58640,Dunn
Administration - Turtle Lake,104 Main St,Turtle Lake,ND,58575-4001,McLean
Bismarck Clinic,914 S 12th St STE 101,Bismarck,ND,58504-5941,Burleigh
Bowbells Clinic,18 Main St SW STE B,Bowbells,ND,58721-7711,Burke
Central Billing Office,543 S 7th St,Bismarck,ND,58504-5859,Burleigh
Information Technology Office,15 2nd Ave SW STE 102,Minot,ND,58701-3854,Ward
McClusky Clinic,122 2nd St E,McClusky,ND,58463-4139,Sheridan
Minot Clinic,1600 2nd Ave SW STE 19,Minot,ND,58701-3459,Ward
Minot Dental,15 2nd Ave SW STE 110,Minot,ND,58701-3874,Ward
Ray Clinic,24 Railroad Ave,Ray,ND,58849-7707,Williams
Rolette Clinic,401 2nd Ave,Rolette,ND,58366,Rolette
St. John Health Center,128 Foussard Ave NE,Saint John,ND,58369-4003,Rolette
Turtle Lake Clinic,416 Kundert St,Turtle Lake,ND,58575-4205,McLean
QUENTIN N BURDICK MEM HLTH FACILITY,"5 Moonlight Dr., Hwy.",Belcourt,ND,58316,Rolette
CHI ST ALEXIUS HEALTH CLINIC,1177 Border Ln,Washburn,ND,58577-4102,McLean
COOPERSTOWN MEDICAL CENTER,1200 Roberts Ave NE,Cooperstown,ND,58425-7101,Griggs
HEART OF AMERICA JOHNSON CLINIC,800 S Main Ave,Rugby,ND,58368-2118,Pierce
HEART OF AMERICA JOHNSON CLINIC - DUNSEITH,215 Main St SE,Dunseith,ND,58329-2934,Rolette
HEART OF AMERICA JOHNSON CLINIC - MADDOCK,301 Roosevelt Ave,Maddock,ND,58348-7138,Benson
SPIRIT LAKE HEALTH CENTER,74th Ave NE,Fort Totten,ND,58335,Benson
TIOGA MEDICAL CENTER - POWERS LAKE RHC,117 Main St,Powers Lake,ND,58773-5001,Burke
TIOGA MEDICAL CENTER TIOGA RHC,810 N Welo St,Tioga,ND,58852-7157,Williams
