Site Name,Site Address,Site City,Site State,Site Zip Code,County
Charles Drew Health Center Inc. at Omaha Home ...,5190 Sprague Plz STE 201,Omaha,NE,68104-2886,Douglas
Charles Drew Health Center Inc. at Radius,5030 Grand Ave,Omaha,NE,68104-2367,Douglas
Charles Drew Health Center Inc. Medical Mobile...,2915 Grant St,Omaha,NE,68111-3863,Douglas
"Charles Drew Health Center, Inc. at 30 Metro",5319 N 30th St,Omaha,NE,68111-1604,Douglas
"Charles Drew Health Center, Inc. at Belvedere ...",3775 Curtis Ave,Omaha,NE,68111-1169,Douglas
"Charles Drew Health Center, Inc. at Campus for...",1490 N 16th St,Omaha,NE,68102-4101,Douglas
"Charles Drew Health Center, Inc. at Crown Tower",5904 Henninger Dr,Omaha,NE,68104-1258,Douglas
"Charles Drew Health Center, Inc. at Florence T...",5100 Florence Blvd,Omaha,NE,68110-5346,Douglas
"Charles Drew Health Center, Inc. at Grant Street",2915 Grant St,Omaha,NE,68111-3863,Douglas
"Charles Drew Health Center, Inc. at Jackson Tower",600 S 27th St,Omaha,NE,68105-1502,Douglas
"Charles Drew Health Center, Inc. at Kellom Ele...",1311 N 24th St,Omaha,NE,68102-4010,Douglas
"Charles Drew Health Center, Inc. at King Scien...",3720 Florence Blvd,Omaha,NE,68110-1737,Douglas
"Charles Drew Health Center, Inc. at Northwest ...",8204 Crown Point Ave,Omaha,NE,68134-1922,Douglas
"Charles Drew Health Center, Inc. Dental Mobile...",2915 Grant St,Omaha,NE,68111-3863,Douglas
"Charles Drew Health Center, Inc. Teen &amp; Yo...",5920 Maple St,Omaha,NE,68104-4102,Douglas
"Charles Drew Health Center, Inc.at  Evans Tower",3600 N 24th St,Omaha,NE,68110-1872,Douglas
FAMILY MEDICINE,3307 Barada St,Falls City,NE,68355-2470,Richardson
WEEPING WATER MEDICAL CENTER,204 N Randolph St,Weeping Water,NE,68463-4253,Cass
SUPERIOR FAMILY MEDICAL CENTER,PO BOX 407,Superior,NE,68978-0407,Nuckolls
GREATER SANDHILLS FAMILY HEALTHCARE PC,418 E 5th St,Atkinson,NE,68713-4885,Holt
EDGAR MEDICAL CLINIC,315 N C St,Edgar,NE,68935-3194,Clay
HEBRON MEDICAL CLINIC,120 Park Ave,Hebron,NE,68370-2019,Thayer
GORDON CLINIC,807 N Ash St,Gordon,NE,69343-1132,Sheridan
CHIMNEY ROCK MEDICAL CENTER,320 Main St,Bayard,NE,69334-1500,Morrill
THE BEATRICE WOMEN'S AND CHILDREN'S CLINIC,4800 Hospital Pkwy STE 202,Beatrice,NE,68310-6906,Gage
GAGE COUNTY MEDICAL CLINIC,1101 N 10th St,Beatrice,NE,68310-2001,Gage
HUMBOLDT FAMILY MEDICINE,1120 Grand Ave,Humboldt,NE,68376-6019,Richardson
OneWorld Bellevue,2207 Georgia Ave,Bellevue,NE,68005-4524,Sarpy
OneWorld Bryan High School Based Health Center,4700 Giles Rd,Omaha,NE,68157-2641,Sarpy
OneWorld Buena Vista High School Based Health ...,5616 L St,Omaha,NE,68117-1333,Douglas
OneWorld Community Health Centers at ILC,4223 Center St,Omaha,NE,68105-2431,Douglas
OneWorld Community Health Centers South High S...,4519 S 24th St,Omaha,NE,68107-1817,Douglas
OneWorld Indian Hill Elementary School Based H...,3121 U St,Omaha,NE,68107-3378,Douglas
OneWorld Learning Community Center Annex,2314 M St,Omaha,NE,68107-2828,Douglas
OneWorld Learning Community Center of South Omaha,2302 M St,Omaha,NE,68107-2828,Douglas
OneWorld Liberty Elementary School Based Healt...,2021 Saint Marys Ave,Omaha,NE,68102-2415,Douglas
OneWorld Livestock Campus Livestock Building,"4920 S 30th St, Ste 103",Omaha,NE,68107-1656,Douglas
OneWorld Livestock Campus North Building,4910 S 30th St,Omaha,NE,68107-1519,Douglas
OneWorld Livestock Campus South Building,4930 S 30th St,Omaha,NE,68107-1521,Douglas
OneWorld Millard South School Based Behavioral...,14905 Q St,Omaha,NE,68137-2512,Douglas
OneWorld Mobile Dental Clinic - Flou-Ride,"4920 S 30th St, Ste 103",Omaha,NE,68107-1656,Douglas
OneWorld Mobile Dental Clinic - OneWorld Smile...,4920 S 30th St,Omaha,NE,68107-1590,Douglas
OneWorld Mobile School Based Health Center,"4920 S 30th St, Ste 103",Omaha,NE,68107-1656,Douglas
OneWorld Northwest,4229 N 90th St,Omaha,NE,68134-4136,Douglas
