Site Name,Site Address,Site City,Site State,Site Zip Code,County
Northern New Hampshire Correctional Facility,138 E Milan Rd,Berlin,NH,03570-3564,Coos
HealthFirst - Canaan,18 Roberts Rd,Canaan,NH,03741-7644,Grafton
HealthFirst - Church St,17 Church St,Laconia,NH,03246-3462,Belknap
HealthFirst - Franklin HQ,841 Central St,Franklin,NH,03235-2026,Merrimack
HealthFirst - Laconia,22 Strafford St,Laconia,NH,03246-4701,Belknap
HealthFirst at Archways,175 Central St,Franklin,NH,03235-1778,Merrimack
HealthFirst at Isaiah 61 Cafe,100 New Salem St,Laconia,NH,03246-3356,Belknap
ACHS - Franconia Alpine,1095 Profile Rd,Franconia,NH,03580-4938,Grafton
ACHS - Littleton,25 Mount Eustis Rd,Littleton,NH,03561-3712,Grafton
ACHS - Littleton II,202 Cottage St,Littleton,NH,03561-4101,Grafton
ACHS - Warren,333 NH Route 25,Warren,NH,03279-4431,Grafton
ACHS - Whitefield,14 King Sq,Whitefield,NH,03598-3346,Coos
ACHS - Woodsville,79 Swiftwater Rd,Woodsville,NH,03785-1447,Grafton
Coos County Family Dental - Colebrook Site,141 Corliss Ln,Colebrook,NH,03576-3206,Coos
Coos County Family Health - Colebrook Site,6 1st St,Colebrook,NH,03576-3128,Coos
Coos County Family Health Dental Clinic,73 Main St,Berlin,NH,03570-2416,Coos
COOS COUNTY FAMILY HEALTH SERVICES,2 Broadway Ave,Gorham,NH,03581-1502,Coos
COOS COUNTY FAMILY HEALTH SERVICES,59 Page Hill Rd,Berlin,NH,03570-3531,Coos
COOS COUNTY FAMILY HEALTH SVCS,54 Willow St,Berlin,NH,03570-2084,Coos
COOS COUNTY FAMILY HEALTH SVCS,133 Pleasant St,Berlin,NH,03570-2006,Coos
Community Partners,25 Old Dover Rd,Rochester,NH,03867-3464,Strafford
Cross Roads House,600 Lafayette Rd RM 120,Portsmouth,NH,03801-5435,Rockingham
Families First Health &amp; Support Center,8 Greenleaf Woods Dr,Portsmouth,NH,03801-5436,Rockingham
Goodwin Community Health,311 Route 108,Somersworth,NH,03878-1522,Strafford
Goodwin Community Health Mobile Van 1,575 Portsmouth Ave,Greenland,NH,03840-2251,Rockingham
Goodwin Community Health Mobile Van 2,575 Portsmouth Ave,Greenland,NH,03840-2251,Rockingham
Goodwin Community Health/St. Vincent de Paul,53 Lincoln St,Exeter,NH,03833-3212,Rockingham
Amherst Street Elementary School,71 Amherst St,Nashua,NH,03064-2530,Hillsborough
Bicentennial Elementary School,296 E Dunstable Rd,Nashua,NH,03062-2350,Hillsborough
Birch Hill Elementary School,17 Birch Hill Dr,Nashua,NH,03063-2541,Hillsborough
Buckingham Place,46 Spring St,Nashua,NH,03060-8408,Hillsborough
Dalianis House,59 Factory St,Nashua,NH,03060-3598,Hillsborough
Harbor Care Clinic and Wellness Center,615 Amherst St,Nashua,NH,03063-1052,Hillsborough
Harbor Care Health and Wellness Center,45 High St,Nashua,NH,03060-3312,Hillsborough
Harbor Care Health and Wellness Center,12 Amherst St,Nashua,NH,03064-2663,Hillsborough
Harbor Care Health and Wellness Center Mobile ...,45 High St,Nashua,NH,03060-3312,Hillsborough
"Harbor Homes, Inc. Headquarters",77 Northeastern Blvd,Nashua,NH,03062-3128,Hillsborough
Heron Pond Elementary,80 Heron Pond Rd,Milford,NH,03055-3245,Hillsborough
Jacques Elementary School,9 Elm St,Milford,NH,03055-4810,Hillsborough
Ledge Street Elementary School,139 Ledge St,Nashua,NH,03060-3073,Hillsborough
Milford High School,100 West St,Milford,NH,03055-4888,Hillsborough
Milford Middle School,33 Osgood Rd,Milford,NH,03055-4879,Hillsborough
Project Drive,5 Elm St,Milford,NH,03055-4810,Hillsborough
Healthy Together,10 Tsienneto Rd STE 1,Derry,NH,03038-1505,Rockingham
InteGreat Health,7 Prospect St STE 1,Nashua,NH,03060-3921,Hillsborough
LAMPREY HEALTH CARE,207 S Main St,Newmarket,NH,03857-1843,Rockingham
Lamprey Health Care - Administration II,205 S Main St,Newmarket,NH,03857-1843,Rockingham
Lamprey Health Care - Administration III,14 Elm St,Newmarket,NH,03857-1214,Rockingham
Lamprey Health Care - Nashua Center,22 Prospect St,Nashua,NH,03060-3924,Hillsborough
Lamprey Health Care - Nashua Soup Kitchen &amp...,35 Spring St,Nashua,NH,03060-3453,Hillsborough
Lamprey Health Care - Raymond Center,128 Route 27,Raymond,NH,03077-1220,Rockingham
Lamprey Health Care Mobile Health Unit,128 Route 27,Raymond,NH,03077-1220,Rockingham
Mid-State Health Center - Bristol,100 Robie Rd,Alexandria,NH,03222-6063,Grafton
Mid-State Health Center - Lincoln,6 S Mountain Rd,Lincoln,NH,03251-4268,Grafton
Mid-State Health Center - Littleton Dental Clinic,202 Cottage St,Littleton,NH,03561-4101,Grafton
Mid-State Health Center - Main Street,28 Main St,Plymouth,NH,03264-1440,Grafton
Mid-State Health Center Plymouth,"101 Boulder Point Dr, Ste 1",Plymouth,NH,03264-3170,Grafton
City of Manchester - Public Health Department-...,1528 Elm St,Manchester,NH,03101-1356,Hillsborough
FAMILIES IN TRANSITION-FIT,122 Market St,Manchester,NH,03101-1952,Hillsborough
HCH Program at CMC Community Health Services D...,195 Mcgregor St,Manchester,NH,03102-3748,Hillsborough
Manchester Mobile Health Care,199 Manchester St,Manchester,NH,03103-5232,Hillsborough
NEW HORIZONS SHELTER,199 Manchester St,Manchester,NH,03103-5232,Hillsborough
Wilson Street Integrated Health,293 Wilson St STE 102,Manchester,NH,03103-5012,Hillsborough
NORTH COUNTRY PRIMARY CARE,580 Saint Johnsbury Rd,Littleton,NH,03561-3437,Grafton
Charlestown Health Center,250 Ceda Rd,Charlestown,NH,03603-4511,Sullivan
MOUNT WASHINGTON VALLEY RURAL HEALTH,3073 White Mountain Hwy,North Conway,NH,03860-7101,Carroll
ROWE HEALTH CENTER,103 Swiftwater Rd,Woodsville,NH,03785-1423,Grafton
Amoskeag Health at 1245 Elm Street,1245 Elm St,Manchester,NH,03101-1308,Hillsborough
Amoskeag Health at 145 Hollis Street,145 Hollis St,Manchester,NH,03101-1235,Hillsborough
Amoskeag Health at 184 Tarrytown Road,184 Tarrytown Rd,Manchester,NH,03103-2713,Hillsborough
Amoskeag Health at 88 McGregor Street,88 Mcgregor St,Manchester,NH,03102-3750,Hillsborough
Amoskeag Health at Bakersville Elementary School,20 Elm St RM 11,Manchester,NH,03101-2702,Hillsborough
Amoskeag Health at Bakersville Elementary School,20 Elm St RM 44,Manchester,NH,03101-2702,Hillsborough
Amoskeag Health at Beech St Elementary School,333 Beech St RM Ssc,Manchester,NH,03103-5433,Hillsborough
Amoskeag Health at Central High School,535 Beech St RM 714,Manchester,NH,03104-4894,Hillsborough
Amoskeag Health at Gossler Park Elementary School,145 Parkside Ave RM 19,Manchester,NH,03102-3603,Hillsborough
Amoskeag Health at Henry Wilson Elementary School,555 Cedar St RM 209,Manchester,NH,03103-4230,Hillsborough
Amoskeag Health at Hillside Middle School,112 Reservoir Ave RM 243A,Manchester,NH,03104-4468,Hillsborough
Amoskeag Health at McDonough Elementary School,550 Lowell St RM 107,Manchester,NH,03104-5200,Hillsborough
Amoskeag Health at McLaughlin Middle School,201 Jack Lovering Dr RM 261,Manchester,NH,03109-4922,Hillsborough
Amoskeag Health at Memorial High School,1 Crusader Way RM 331,Manchester,NH,03103-3099,Hillsborough
Amoskeag Health at MST,100 Gerald Connors Cir RM E107,Manchester,NH,03103-3404,Hillsborough
Amoskeag Health at Parkside Middle School,75 Parkside Ave RM 142,Manchester,NH,03102-3603,Hillsborough
Amoskeag Health at Southside Middle School,300 S Jewett St RM 119,Manchester,NH,03103-3805,Hillsborough
Amoskeag Health at West High School,9 Notre Dame Ave Rm 104B,Manchester,NH,03102-3935,Hillsborough
Temporary Site - Canal Street,1555 Elm St FL 1,Manchester,NH,03101-1203,Hillsborough
