Site Name,Site Address,Site City,Site State,Site Zip Code,County
CF-New Jersey State Prison,2nd St & Cass St,Trenton,NJ,08611,Mercer
Ancora Psychiatric Hospital,301 Spring Garden Rd,Hammonton,NJ,08037-2516,Camden
Greystone Psychiatric Hospital,59 Koch Ave,Morris Plains,NJ,07950-4400,Morris
FCI - Fairton,655 Fairton Millville Rd,Fairton,NJ,08320-2000,Cumberland
Lakewood,212 2nd St,Lakewood,NJ,08701-3424,Ocean
ATLANTIC CITY,1301 Atlantic Ave,Atlantic City,NJ,08401-7247,Atlantic
BURLINGTON CITY HEALTH CENTER,651 High St,Burlington,NJ,08016-2737,Burlington
BUTTONWOOD,600 Pemberton Browns Mills Rd,Pemberton,NJ,08068-1537,Burlington
Hammonton - SOUTHERN JERSEY FAMILY MEDICAL,860 S White Horse Pike,Hammonton,NJ,08037-2018,Atlantic
MOBILE MEDICAL VAN,Atlantic City Expy,Hammonton,NJ,08037,Atlantic
MOBILE MEDICAL VAN - Dental,SERVING BURLINGTON COUNTY,Pemberton,NJ,08068-1537,Burlington
PLEASANTVILLE,932 S Main St,Pleasantville,NJ,08232-3646,Atlantic
SALEM HEALTH CENTER,238 E Broadway,Salem,NJ,08079-1108,Salem
Southern Jersey at English Creek,3003 English Creek Ave STE C6,Egg Harbor Township,NJ,08234-4818,Atlantic
"Southern Jersey Family Medical Centers, Inc.",1 Executive Dr,Marlton,NJ,08053,Burlington
Women and Children's Health Pavilion,1125 Atlantic Ave,Atlantic City,NJ,08401-4806,Atlantic
AtlantiCare Health Services - FQHC Administration,1401 Atlantic Ave STE 1125,Atlantic City,NJ,08401-7001,Atlantic
AtlantiCare Health Services - FQHC Adult Medic...,1401 Atlantic Ave STE 2100,Atlantic City,NJ,08401-7026,Atlantic
AtlantiCare Health Services - FQHC Adult Medic...,1401 Atlantic Ave STE 2500,Atlantic City,NJ,08401-7027,Atlantic
AtlantiCare Health Services - FQHC at Atlantic...,1400 N Albany Ave STE G201,Atlantic City,NJ,08401-1208,Atlantic
AtlantiCare Health Services - FQHC at Jeffries...,227 N Vermont Ave,Atlantic City,NJ,08401-5501,Atlantic
AtlantiCare Health Services - FQHC Internal Me...,1401 Atlantic Ave STE 2800,Atlantic City,NJ,08401-7027,Atlantic
AtlantiCare Health Services - FQHC Pediatric C...,7 S Ohio Ave STE 3100,Atlantic City,NJ,08401-6711,Atlantic
AtlantiCare Health Services - FQHC Psychiatric...,1401 Atlantic Ave STE 1600,Atlantic City,NJ,08401-7001,Atlantic
AtlantiCare Health Services -FQHC Infectious D...,"1401 Atlantic Ave, #2200",Atlantic City,NJ,08401-7001,Atlantic
AtlantiCare Health Services FQHC JBRC Medical ...,600 Black Horse Pike,Pleasantville,NJ,08232-2360,Atlantic
AtlantiCare Health Services- FQHC Family Medic...,7 S Ohio Ave FL 2,Atlantic City,NJ,08401-6711,Atlantic
AtlantiCare Health Services-FQHC Covenant House,929 Atlantic Ave,Atlantic City,NJ,08401-7401,Atlantic
AtlantiCare Health Services-FQHC Galloway,54 W Jimmie Leeds Rd STE 8,Galloway,NJ,08205-9438,Atlantic
AtlantiCare Health Services-FQHC Internal Medi...,1401 Atlantic Ave STE 2600,Atlantic City,NJ,08401-7027,Atlantic
AtlantiCare Health Services-FQHC Senior Care,1401 Atlantic Ave STE 1400,Atlantic City,NJ,08401-7031,Atlantic
AtlantiCare Health Services-FQHC Substance Use...,1401 Atlantic Ave STE 2300,Atlantic City,NJ,08401-7026,Atlantic
CAMCARE - EAST HEALTH CENTER,2610 Federal St,Camden,NJ,08105-1936,Camden
CAMCARE - GATEWAY HEALTH CENTER,817 Federal St,Camden,NJ,08103-1539,Camden
