Site Name,Site Address,Site City,Site State,Site Zip Code,County
La Famila Medical Center Dental Clinic,6401 S Richards Ave,Santa Fe,NM,87508-4887,Santa Fe
LA FAMILIA - SOUTHSIDE CLINIC,2145 Caja del Oro Grant Rd,Santa Fe,NM,87507-3279,Santa Fe
LA FAMILIA MEDICAL CENTER,1035 Alto St,Santa Fe,NM,87501-2406,Santa Fe
LFMC Healthcare for the Homeless,"1532 Cerrillos Rd, Ste B",Santa Fe,NM,87505-3512,Santa Fe
Life Link Homeless Resource,2325 Cerrillos Rd,Santa Fe,NM,87505-3263,Santa Fe
Pete's Place Homeless Resource,2801 Cerrillos Rd,Santa Fe,NM,87507-2311,Santa Fe
Santa Fe Suites Outreach Service Site,3007 S Saint Francis Dr,Santa Fe,NM,87505-7069,Santa Fe
Amador Health Center,999 W Amador Ave STE A,Las Cruces,NM,88005-2739,Dona Ana
Amador Recovery Project,999 W Amador Ave STE D,Las Cruces,NM,88005-2739,Dona Ana
LOVINGTON CLINIC,1600 N Main Ave,Lovington,NM,88260-2813,Lea
TATUM CLINIC,310 N Main St,Tatum,NM,88267-9525,Lea
Abiquiu Elementary School Based Clinic,US-84,Abiquiu,NM,87510,Rio Arriba
LAS CLINICAS DEL NORTE,28 State Road 571,El Rito,NM,87530,Rio Arriba
LAS CLINICAS DEL NORTE,26 NM-571,El Rito,NM,87530,Rio Arriba
LAS CLINICAS DEL NORTE @ OJO CAL,US Highway 285,Ojo Caliente,NM,87549,Rio Arriba
Las Clinicas del Norte Pojoaque Middle School,1797B Nm 502,Santa Fe,NM,87506-8904,Santa Fe
LAS CLINICAS DEL NORTE SCH CLN,US Highway 285,Ojo Caliente,NM,87549,Rio Arriba
"Las Clinicas del Norte, Inc. @ Abiquiu",21124 US Highway 84,Abiquiu,NM,87510-5503,Rio Arriba
"Las Clinicas Dl Norte, Inc Pojoaque Valley Sch...",1574 State Road 502,Santa Fe,NM,87506-2697,Santa Fe
LCDN MOBILE HEALTH VAN,PO BOX 237,El Rito,NM,87530-0237,Rio Arriba
SANTA ANNA HEALTH STATION,2 Dove Rd,Bernalillo,NM,87004-5906,Sandoval
Southwest CARE Center - Albuquerque,4710 Jefferson St NE STE A,Albuquerque,NM,87109-2156,Bernalillo
Southwest CARE Center - Galisteo Family Medicince,1691 Galisteo St,Santa Fe,NM,87505-4780,Santa Fe
Southwest CARE Center - Primary Care Services,649 Harkle Rd,Santa Fe,NM,87505-4765,Santa Fe
Southwest CARE Center - Women's Health & Pedia...,901 W Alameda St,Santa Fe,NM,87501-1681,Santa Fe
Administration,1 Mora Valley Clinic Rd,Mora,NM,87732-2202,Mora
Finance &amp; Human Resources,11 Mora Valley Clinic Rd,Mora,NM,87732,Mora
Main Clinic,3 Mora Valley Clinic Rd,Mora,NM,87732-2202,Mora
School Based Health Center,10 Ranger Rd,Mora,NM,87732-2340,Mora
Brown Early Childhood Center School Based Dental,520 W 5th St,Portales,NM,88130-6329,Roosevelt
DBA LA CASA FAMILY HEALTH CENTER,1515 W Fir St,Portales,NM,88130-5703,Roosevelt
James Elementary School Based Dental,701 W 18th St,Portales,NM,88130-7237,Roosevelt
La Casa Community Behavioral Health Services,110 E Mescalero Rd,Roswell,NM,88201-6542,Chaves
La Casa Community Behavioral Health Services P...,1010 S Garden Ave,Roswell,NM,88203-6866,Chaves
LA CASA DE BUENA SALUD - CLOVIS,1521 W 13th St,Clovis,NM,88101-5568,Curry
