Site Name,Site Address,Site City,Site State,Site Zip Code,County
Canyonlands Healthcare - Mesquite,210 N Sandhill Blvd,Mesquite,NV,89027-4789,Clark
Community Health Alliance Administration,680 S Rock Blvd,Reno,NV,89502-4113,Washoe
Community Health Alliance Mobile  Dental Resto...,680 S Rock Blvd,Reno,NV,89502-4113,Washoe
Community Health Alliance Neil Road Health Center,3915 Neil Rd,Reno,NV,89502-6808,Washoe
Community Health Alliance North Valleys Health...,280 Vista Knoll Pkwy STE 107,Reno,NV,89506-5649,Washoe
Community Health Alliance Outreach Medical Center,335 Record St STE 250,Reno,NV,89512-3327,Washoe
Community Health Alliance Wells Avenue Medical...,1055 S Wells Ave,Reno,NV,89502-2550,Washoe
Complex Care Center (CCC),330 Crampton St,Reno,NV,89502-2480,Washoe
Mobile Medical Unit,680 S Rock Blvd,Reno,NV,89502-4113,Washoe
Sparks Health Center,2244 Oddie Blvd,Sparks,NV,89431-7574,Washoe
Sun Valley Health Center (New),5055 Sun Valley Blvd STE 100,Sun Valley,NV,89433-8296,Washoe
WIC Van (Ronald McDonald Care Mobile),680 S Rock Blvd,Reno,NV,89502-4113,Washoe
Casa de Luz,2412 Tam Dr,Las Vegas,NV,89102-4966,Clark
Courtyard Homeless Resource Center,314 Foremaster Ln,Las Vegas,NV,89101-1008,Clark
Hope Christian Health Center,4357 Corporate Center Dr STE 450,North Las Vegas,NV,89030-0226,Clark
Hope Christian Health Center MLK,4040 N Martin L King Blvd,North Las Vegas,NV,89032-3205,Clark
Hope Christian Health Center MLK,4040 N Martin L King Blvd STE B,North Las Vegas,NV,89032-3205,Clark
Hope Recuperative Care,1581 N Main St,Las Vegas,NV,89101-1020,Clark
Mater Academy,3900 E Bonanza Rd,Las Vegas,NV,89110-2167,Clark
Medical Outreach Clinic,4254 N Martin L King Blvd,North Las Vegas,NV,89032-3101,Clark
Sandy Valley,115 N Miami St,Sandy Valley,NV,89019-1778,Clark
First Person Care Clinic,200 E Horizon Dr,Henderson,NV,89015-8033,Clark
