Site Name,Site Address,Site City,Site State,Site Zip Code,County
Metropolitan Correctional Center (MCC) - New York,150 Park Row,New York,NY,10007-1704,New York
ICE-Buffalo Federal Detention Facility,4250 Federal Dr,Batavia,NY,14020-1094,Genesee
MDC - Brooklyn,80 29th St,Brooklyn,NY,11232-1503,Kings
"HealthCare Choices NY, Inc. - Brooklyn",6209 16th Ave,Brooklyn,NY,11204-2702,Kings
"HealthCare Choices NY, Inc. - East NY",179 Jamaica Ave,Brooklyn,NY,11207-2049,Kings
"HealthCare Choices NY, Inc.- Queens",2110 Borden Ave,Long Island City,NY,11101-4518,Queens
Pinewild Greece Behavioral Health Center,100 Pinewild Dr,Rochester,NY,14606-4200,Monroe
Cincinnatus Medical Office,2805 Cincinnatus Rd,Cincinnatus,NY,13040-9685,Cortland
Cortland Medical Office,4038 West Rd,Cortland,NY,13045-1842,Cortland
"Family Health Network of Central New York, Inc.",85 S West St,Homer,NY,13077-1542,Cortland
Marathon Medical Office,20 Main St,Marathon,NY,13803-7709,Cortland
Mobile Medical Unit,85 S West St,Homer,NY,13077-1542,Cortland
Moravia Medical Office,23 Central St,Moravia,NY,13118-7709,Cayuga
Pediatric/Family Practice Health Center,24 Groton Ave,Cortland,NY,13045-2014,Cortland
RANDALL ELEMENTARY SBHC,31 Randall St,Cortland,NY,13045-3031,Cortland
SBHC - CINCINNATUS CENTRAL SCHOOL,2809 Cincinnatus Rd,Cincinnatus,NY,13040-9685,Cortland
SBHC - DERUYTER CENTRAL SCHOOL,711 Railroad St,De Ruyter,NY,13052-9700,Madison
SBHC-MARATHON ELEMENTARY,24 Albro Rd,Marathon,NY,13803-2808,Cortland
SBHC-MARATHON JR/SR HIGH SCHOOL,1 Main St,Marathon,NY,13803-7708,Cortland
"HERITAGE HEALTH AND HOUSING, INC.",1727 Amsterdam Ave,New York,NY,10031,New York
HERITAGE HEALTH CARE @ PS 192,500 W 138th St RM 123,New York,NY,10031-7941,New York
Casa Maria Community Health Center,918 N Goodman St,Rochester,NY,14609-4652,Monroe
"Clay Avenue Health Center, Floor 1",324 E 149th St,Bronx,NY,10451-5602,Bronx
"La Casa de Salud, Inc.",262 E 174th St,Bronx,NY,10457-7152,Bronx
Park Avenue Family Health Center,1776 Clay Ave FL 1,Bronx,NY,10457-7239,Bronx
Ramon Velez Community Health Center,966 Prospect Ave FRNT 1,Bronx,NY,10459-3270,Bronx
Apicha Community Health Center,754 E 151st St,Bronx,NY,10455-3267,Bronx
BRONX HEALTH CENTER,8211 37th Ave,Jackson Heights,NY,11372-7001,Queens
CARIBBEAN HOUSE HEALTH CENTER,975 Westchester Ave,Bronx,NY,10459-3204,Bronx
