Site Name,Site Address,Site City,Site State,Site Zip Code,County
Allen-Oakwood Correctional Institution,2338 N West St,Lima,OH,45801-2051,Allen
FCI - Elkton,8730 Scroggs Rd,Lisbon,OH,44432-9333,Columbiana
Highland Health Providers,1487 N High St STE 102,Hillsboro,OH,45133-8496,Highland
Highland Health Providers - Greenfield Medical...,1092 Jefferson St,Greenfield,OH,45123-8319,Highland
Highland Health Providers - HFH,1402 N High St,Hillsboro,OH,45133-8514,Highland
Highland Health Providers - Lynchburg Medical ...,8900 State Route 134,Lynchburg,OH,45142-9272,Highland
Highland Health Providers - Rocky Fork Medical...,11130 N Shore Dr,Hillsboro,OH,45133-9751,Highland
SMH-Northcoast Behavioral Healthcare,1756 Sagamore Rd,Northfield,OH,44067-1086,Summit
VALLEY HEALTH - COAL GROVE,205 Marion Pike,Coal Grove,OH,45638-3165,Lawrence
9th Street Family Health Center,408 9th St SW,Canton,OH,44707-4714,Stark
Lifecare Family Health - Massillon Health Center,820 Amherst Rd NE,Massillon,OH,44646-8525,Stark
Lincoln Street Health Center,2725 Lincoln St E,Canton,OH,44707-2769,Stark
Bogan Elementary School-Based Services,5200 Hamilton Richmond Rd,Oxford,OH,45056-9433,Butler
Cassano Community Health Center,165 S Edwin C Moses Blvd STE 100,Dayton,OH,45402-8472,Montgomery
Edgewood Local Schools SBHC,3045 Busenbark Rd STE B,Trenton,OH,45067-7611,Butler
Fairfield School Based Health Center,211 Donald Dr,Fairfield,OH,45014-3069,Butler
HAMILTON COMMUNITY HEALTH CENTER,210 S 2nd St,Hamilton,OH,45011-2811,Butler
Hamilton School-Based Health Center,250 N Fair Ave,Hamilton,OH,45011-4222,Butler
Hamilton West,903 NW Washington Blvd STE A,Hamilton,OH,45013-6367,Butler
Kramer Elementary School-Based Services,400 W Sycamore St,Oxford,OH,45056-1168,Butler
Marshall School-Based Health Center,3260 Oxford Millville Rd STE B,Oxford,OH,45056-9430,Butler
Middletown Community Health Center,1036 S Verity Pkwy,Middletown,OH,45044-5513,Butler
Middletown Community Health Center,930 9th Ave,Middletown,OH,45044-5530,Butler
Middletown School-Based Health Center,601 N Breiel Blvd UNIT B,Middletown,OH,45042-3899,Butler
Mobile Dental Van,S 2nd St,Hamilton,OH,45011,Butler
Northridge School-Based Health Center,2011 Timber Ln STE B,Dayton,OH,45414-4528,Montgomery
Oxford Community Health Center,10 N Locust St,Oxford,OH,45056-1192,Butler
Primary Health Solutions - Administration,300 High St FL 4,Hamilton,OH,45011-6078,Butler
West Dayton Community Health Center,300 Forest Ave,Dayton,OH,45405-4500,Montgomery
CNHC dba PrimaryOne Health,2780 Airport Dr STE 100,Columbus,OH,43219-2289,Franklin
Columbus Health Care for the Homeless,2780 Airport Dr,Columbus,OH,43219-2289,Franklin
PrimaryOne Health 1180 East Main Street,1180 E Main St,Columbus,OH,43205-1902,Franklin
PrimaryOne Health 1905 Parsons Avenue,1905 Parsons Ave,Columbus,OH,43207-1933,Franklin
PrimaryOne Health 2300 West Broad Street,2300 W Broad St,Columbus,OH,43204-3783,Franklin
PrimaryOne Health 240 Parsons Avenue,240 Parsons Ave,Columbus,OH,43215-5331,Franklin
PrimaryOne Health 3433 Agler Road,3433 Agler Rd STE 2800,Columbus,OH,43219-3389,Franklin
PrimaryOne Health 4661 Sawmill Road,4661 Sawmill Rd STE 101,Columbus,OH,43220-6123,Franklin
PrimaryOne Health 600 North Pickaway Street,600 N Pickaway St STE 300,Circleville,OH,43113-1447,Pickaway
PrimaryOne Health Mobile Health Center East,E Main St,Columbus,OH,43205,Franklin
PrimaryOne Health Mobile Health Center NE,3433 Agler Rd,Columbus,OH,43219-3387,Franklin
PrimaryOne Health Mobile Health Center South,1905 Parsons Ave,Columbus,OH,43207-1933,Franklin
PrimaryOne Health Mobile Health Center West,2300 W Broad St,Columbus,OH,43204-3783,Franklin
PrimaryOne Health SBHC 4400 Marketing Pl Suite...,4400 Marketing Pl,Groveport,OH,43125-9307,Franklin
Broadway Street Clinic,621 Broadway St,Portsmouth,OH,45662-4788,Scioto
COMMUNITY ACTION COMMITTEE,941 Market St,Piketon,OH,45661-9757,Pike
FAMILY HEALTH -WAVERLY,227 Valley View Dr,Waverly,OH,45690-9135,Pike
JACKSON FAMILY HEALTH CENTER,14590 State Route 93,Jackson,OH,45640-8977,Jackson
Manchester Family Health Center,130 Wayne Frye Dr,Manchester,OH,45144-9314,Adams
North Street,215 W North St,Waverly,OH,45690-1031,Pike
PIKETON FAMILY HEALTH CENTER,7777 US Highway 23,Piketon,OH,45661-9102,Pike
Valley View 23 North,13800 US Highway 23,Waverly,OH,45690-9402,Pike
Valley View Health Center-Admin Building,7033 US Highway 23,Piketon,OH,45661-9701,Pike
Valley View Health Center-Emmitt Ave,715 W Emmitt Ave,Waverly,OH,45690-1015,Pike
WEST PORTSMOUTH FAMILY PRACTICE,23030 State Route 73,Portsmouth,OH,45663-8861,Scioto
Community Support Services,150 Cross St,Akron,OH,44311-1026,Summit
Clinical Outreach Vehicle (COVe),750 E Long St,Columbus,OH,43203-1846,Franklin
Equitas Health Akron Health Center,636 W Exchange St,Akron,OH,44302-1306,Summit
Equitas Health Cincinnati,2805 Gilbert Ave,Cincinnati,OH,45206-1210,Hamilton
Equitas Health Columbus Administration Office,1105 Schrock Rd STE 400,Columbus,OH,43229-1174,Franklin
Equitas Health Dayton,1222 S Patterson Blvd STE 230,Dayton,OH,45402-2643,Montgomery
Equitas Health Dayton #2,1222 S Patterson Blvd STE 200,Dayton,OH,45402-2684,Montgomery
Equitas Health Dayton #3,1222 S Patterson Blvd STE 220,Dayton,OH,45402-2643,Montgomery
Equitas Health Dayton #4,1222 S Patterson Blvd STE 150,Dayton,OH,45402-2657,Montgomery
Equitas Health King Lincoln,750 E Long St STE 3000,Columbus,OH,43203-1874,Franklin
Equitas Health King Lincoln Mobile #3,750 E Long St,Columbus,OH,43203-1846,Franklin
