Site Name,Site Address,Site City,Site State,Site Zip Code,County
FCI-El Reno,4205 W US Highway 66,El Reno,OK,73036-6906,Canadian
FTC-Oklahoma City,7410 S Macarthur Blvd,Oklahoma City,OK,73169-6908,Oklahoma
Muscogee (Creek) Nation Okemah Indian Health C...,309 N 14th St,Okemah,OK,74859-2028,Okfuskee
Muscogee (Creek) Nation Okmulgee Indian Health...,1313 E 20th St,Okmulgee,OK,74447-6303,Okmulgee
Muscogee (Creek) Nation Koweta Indian Health F...,31870 E State Highway 51,Coweta,OK,74429-7900,Wagoner
Muscogee (Creek) Nation Sapulpa Indian Health ...,1125 E Cleveland Ave,Sapulpa,OK,74066-4641,Creek
Muscogee (Creek) Nation Okemah Creek Nation Co...,1800 E Coplin St,Okemah,OK,74859-4642,Okfuskee
Muscogee (Creek) Nation Medical Center,1212 S Belmont Ave,Okmulgee,OK,74447-6310,Okmulgee
Muscogee (Creek) Nation Eufaula Indian Health ...,500 Eunice Burns Rd,Eufaula,OK,74432-4052,McIntosh
Claremore Indian Hospital,S Moore Ave & W Will Rogers Blvd,Claremore,OK,74017,Rogers
Watonga Indian Health Center,1305 S Clarence Nash Blvd,Watonga,OK,73772-4820,Blaine
El Reno Indian Health Center,1801 Parkview Dr,El Reno,OK,73036-2103,Canadian
Lawton Indian Hospital,1515 NE Lawrie Tatum Rd,Lawton,OK,73507-3002,Comanche
Pawnee Indian Health Center,1201 Heritage Cir,Pawnee,OK,74058-3744,Pawnee
Carnegie Indian Health Center,212 E 4th St,Carnegie,OK,73015-9471,Caddo
Wewoka Indian Health Center,OK-56,Wewoka,OK,74884,Seminole
"Shortgrass Community Health Center, Inc.",400 E Sycamore St,Hollis,OK,73550-1436,Harmon
Shortgrass Community Health Moblie1,400 E Sycamore St,Hollis,OK,73550-1436,Harmon
Absentee Shawnee Tribe Health System Shawnee C...,2029 Gordon Cooper Dr,Shawnee,OK,74801-9005,Pottawatomie
Hulbert Health Center,124 E Main St,Hulbert,OK,74441-8902,Cherokee
NeoHealth Business Office,127 E Main St,Hulbert,OK,74441-8901,Cherokee
NeoHealth Hulbert Pharmacy,131 E Main St,Hulbert,OK,74441-8901,Cherokee
NeoHealth Medical Center,529 N Oak Ave,Tahlequah,OK,74464-2925,Cherokee
NeoHealth Mobile Medical Van,225 N Elm St,Hulbert,OK,74441,Cherokee
NeoHealth Muskogee,1328 S York St,Muskogee,OK,74403-7650,Muskogee
NeoHealth Muskogee Family Medical Center,922 N York St,Muskogee,OK,74403-3137,Muskogee
NeoHealth OB,1500 E Downing St STE 208,Tahlequah,OK,74464-3234,Cherokee
NeoHealth Pediatrics,1500 E Downing St STE 102,Tahlequah,OK,74464-3354,Cherokee
NeoHealth Pryor Family Medical Center,5319 S Mill St,Pryor,OK,74361-6839,Mayes
NeoHealth Salina,101 E Ferry St,Salina,OK,74365-2988,Mayes
NeoHealth Tahlequah Pediatrics,1310 E Boone St,Tahlequah,OK,74464-3338,Cherokee
NeoHealth Tahlequah Primary Care,1500 E Downing St STE 103,Tahlequah,OK,74464-3354,Cherokee
Tahlequah ENT,1203 E Ross Byp,Tahlequah,OK,74464-4133,Cherokee
Tahlequah Family Practice,1500 E Downing St STE 101,Tahlequah,OK,74464-3354,Cherokee
Tahlequah Medical Center,1500 E Downing St STE 214,Tahlequah,OK,74464-3379,Cherokee
Westville Family Medicine,1779 Buffington Rd,Westville,OK,74965-7353,Adair
CITY RESCUE MISSION,800 W California Ave,Oklahoma City,OK,73106-7807,Oklahoma
Community Health Mobile Unit #1,12716 NE 36th St,Spencer,OK,73084-9167,Oklahoma
Community Health Shawnee Family Medical Center,130 N Broadway Ave STE 300,Shawnee,OK,74801-6939,Pottawatomie
Dorothy M. Smith Family Medical Center,105 E Santa Fe St,Carney,OK,74832-9800,Lincoln
HEALING HANDS HLTH CARE SVCS,411 NW 11th St,Oklahoma City,OK,73103-3913,Oklahoma
Jordan's Crossing,301 W I 240 Service Rd,Oklahoma City,OK,73139-7701,Oklahoma
MARY MAHONEY HLTH CTR @ LANGSTON,300 N Martin Luther King Ave,Coyle,OK,73027,Logan
Mary Mahoney Memorial Health Center,12716 NE 36th St,Spencer,OK,73084-9167,Oklahoma
Millwood School Clinic,6724 N Martin Luther King Ave,Oklahoma City,OK,73111-7943,Oklahoma
Perry A. Klaassen Family Medical Center,1006 NE 17th St,Oklahoma City,OK,73111-1002,Oklahoma
Salvation Army Chesapeake Center of Hope,1001 N Pennsylvania Ave,Oklahoma City,OK,73107-6411,Oklahoma
WestTown,1729 NW 3rd St,Oklahoma City,OK,73106-2810,Oklahoma
"Arkansas Verdigris Valley Health Centers, Inc",505 S Main St,Porter,OK,74454-1015,Wagoner
AVV Administration Offices,29692 E State Highway 51,Coweta,OK,74429-7727,Wagoner
AVV Health Centers Mobile,505 S Main St Ofc,Porter,OK,74454-1015,Wagoner
Coweta Health Center,607 S Broadway,Coweta,OK,74429-5000,Wagoner
Muskogee Health Center - Green Country Campus,110 E Martin Luther King St,Muskogee,OK,74403-3321,Muskogee
Muskogee Health Center West,201 N 32nd St,Muskogee,OK,74401-2104,Muskogee
Afton Community Health Center,21965 Bison Drive,Afton,OK,74331-1822,Ottawa
Commerce Community Health Center,220 S Mickey Mantle Blvd,Commerce,OK,74339-2924,Ottawa
Jay Family Medicine Clinic,2485 N Main St,Jay,OK,74346-2201,Delaware
Vinita Community Health Cetner,244 S Scraper St,Vinita,OK,74301-3740,Craig
Welch Community Health Center,343 S Commercial St,Welch,OK,74369,Craig
