Site Name,Site Address,Site City,Site State,Site Zip Code,County
FCI - Sheridan,27072 SW Ballston Rd,Sheridan,OR,97378-9620,Yamhill
GRANDE RONDE HOSPITAL ELGIN CLINIC,580 S 8th Ave,Elgin,OR,97827-9726,Union
SNAKE RIVER PEDIATRICS,840 SW 4th Ave STE 105,Ontario,OR,97914-2638,Malheur
FQHC - Cascade Center Winston - Admin Only,221 NE Main St,Winston,OR,97496-6562,Douglas
FQHC - Jackson Street,548 SE Jackson St,Roseburg,OR,97470-4983,Douglas
FQHC - Madrone,621 W Madrone St,Roseburg,OR,97470-3090,Douglas
FQHC - Main Winston,671 SW Main St,Winston,OR,97496-6571,Douglas
FQHC Diamond Lake Blvd,3005 NE Diamond Lake Blvd STE 150,Roseburg,OR,97470-3609,Douglas
ADVENTIST HEALTH BAYSHORE MEDICAL LINCOLN CITY,1105 SE Jetty Ave STE C,Lincoln City,OR,97367-2604,Lincoln
ADVENTIST HEALTH BAYSHORE MEDICAL PACIFIC CITY,38505 Brooten Rd,Pacific City,OR,97135-8049,Tillamook
ADVENTIST HEALTH TILLAMOOK MEDICAL GROUP,1100 3rd St,Tillamook,OR,97141-3402,Tillamook
ADVENTIST HEALTH TILLAMOOK MEDICAL GROUP BAY O...,1011 3rd St,Tillamook,OR,97141-8292,Tillamook
ADVENTIST HEALTH TILLAMOOK MEDICAL GROUP HOODLAND,24461 E Welches Rd,Welches,OR,97067-7067,Clackamas
ADVENTIST HEALTH TILLAMOOK MEDICAL GROUP MANZA...,10445 Neahkahnie Creek Rd,Nehalem,OR,97131-9023,Tillamook
ASHER CLINIC,712 Jay St,Fossil,OR,97830-8371,Wheeler
MITCHELL SATELLITE CLINIC,340 High St,Mitchell,OR,97750-9728,Wheeler
Spray Field Office,211 Pine St,Spray,OR,97874-2013,Wheeler
AUMSVILLE MEDICAL CLINIC,205 Main St,Aumsville,OR,97325-9018,Marion
