Site Name,Site Address,Site City,Site State,Site Zip Code,County
State Correctional Institution - Muncy,6454 Route 405 Hwy,Muncy,PA,17756-6388,Lycoming
FDC-Philadelphia,700 Arch St,Philadelphia,PA,19106-1548,Philadelphia
USP - Canaan,3057 ERIC J. WILLIAMS MEMORIAL DRIVE,Waymart,PA,18472,Wayne
FCI - Schuylkill,Interstate 81 and 901 West,Minersville,PA,17954,Schuylkill
USP - Lewisburg,2400 Robert F Miller Dr,Lewisburg,PA,17837-6850,Union
FCI - Loretto,772 Saint Joseph St,Loretto,PA,15940-7006,Cambria
The Wright Center for Community Health Clarks ...,1145 Northern Blvd,Clarks Summit,PA,18411-2221,Lackawanna
The Wright Center for Community Health Driving...,5 S Washington Ave,Jermyn,PA,18433-1121,Lackawanna
The Wright Center for Community Health Hawley ...,103 Spruce St,Hawley,PA,18428-1149,Wayne
The Wright Center for Community Health Mid Val...,5 S Washington Ave,Jermyn,PA,18433-1121,Lackawanna
The Wright Center for Community Health North P...,260 Daleville Hwy STE 103,Covington Township,PA,18444-7951,Lackawanna
The Wright Center for Community Health North S...,1721 N Main Ave,Scranton,PA,18508-1995,Lackawanna
The Wright Center for Community Health Northea...,721 Adams Ave,Scranton,PA,18510-1603,Lackawanna
The Wright Center for Community Health School ...,1401 Fellows St,Scranton,PA,18504-2222,Lackawanna
The Wright Center for Community Health Scranto...,329 Cherry St Ste 1B,Scranton,PA,18505-1505,Lackawanna
The Wright Center for Community Health Scranto...,501 S Washington Ave,Scranton,PA,18505-3814,Lackawanna
The Wright Center for Community Health South S...,355 Maple St,Scranton,PA,18505-1215,Lackawanna
The Wright Center for Community Health Wayne P...,1855 Fair Ave,Honesdale,PA,18431-2121,Wayne
The Wright Center for Community Health Wilkes-...,169 N Pennsylvania Ave,Wilkes Barre,PA,18701-3603,Luzerne
ST LUKE'S MINERS HEALTH CENTER RINGTOWN,411 S Shenandoah Rd,Ringtown,PA,17967-9432,Schuylkill
ST LUKE'S MINERS HEALTH CENTER - HOMETOWN,34 S Railroad St,Tamaqua,PA,18252-1927,Schuylkill
WESTFIELD HEALTH CENTER,222 Church St,Westfield,PA,16950-1538,Tioga
CONNEAUT VALLEY HEALTH CENTER,906 Washington St,Conneautville,PA,16406-7138,Crawford
Mobile Medical Unit,4516 Browns Hill Rd,Pittsburgh,PA,15217-2917,Allegheny
Mooncrest Neighborhood Programs,308 Hemlock Dr,Moon Township,PA,15108-1317,Allegheny
POWER,907 West St STE 2,Wilkinsburg,PA,15221-2841,Allegheny
SHHC Brentwood,103 Towne Square Way,Brentwood,PA,15227-3254,Allegheny
SHHC Turtle Creek,519 Penn Ave,Turtle Creek,PA,15145-2082,Allegheny
Squirrel Hill Health Center,4516 Browns Hill Rd,Pittsburgh,PA,15217-2917,Allegheny
"Southern Tier Community Health Center Network,...",159 Interstate Pkwy,Bradford,PA,16701-1013,McKean
Metro Community Health Center,"1789 S Braddock Ave, Ste 410",Pittsburgh,PA,15218-1881,Allegheny
Metro Community Health Center,1789 S Braddock Ave STE 395,Pittsburgh,PA,15218-1868,Allegheny
Mobile Van,1910 W Trindle Rd,Carlisle,PA,17013-2614,Cumberland
Sadler Health Center Administrative Offices,1 Tyler Ct,Carlisle,PA,17015-7913,Cumberland
Sadler Health Center Corporation,100 N Hanover St,Carlisle,PA,17013-2421,Cumberland
Sadler Health Center Corporation Perry County ...,1104 Montour Rd,Loysville,PA,17047-9200,Perry
"Susquehanna Community Health & Dental Clinic, ...",471 Hepburn St,Williamsport,PA,17701-6122,Lycoming
Susquehanna Community Health and Dental Clinic...,431 Hepburn St,Williamsport,PA,17701-6122,Lycoming
