Site Name,Site Address,Site City,Site State,Site Zip Code,County
"CAMUY HEALTH SERVICES, INC.",63 Ave Munoz Rivera Oeste,Camuy,PR,00627,Camuy
"Camuy Health Services, Inc. - Adm. Site",#6 Mu&#241;oz Rivera Avenue,Puente,PR,00627,Camuy
CHSI - Quebrada Clinic,455 Rural Street Km. 2.1Bo. Quebrada,Puente,PR,00627,Camuy
Mobile Unit,63 Mu&#241;oz Rivera Avenue,Puente,PR,00627,Camuy
Costa Salud Community Health Centers - AGUADA,106 Calle Colon,Aguada,PR,00602-3002,Aguada
Costa Salud Community Health Centers - Moca,124 Calle Calazan Lasalle,Moca,PR,00676-4115,Moca
Costa Salud Community Health Centers - Rincon,28 Calle Munoz Rivera W,Rincon,PR,00677-2127,Rincon
Centro de Servicios Primarios de Salud-  Santa...,32 Calle Luis Munoz Rivera,Santa Isabel,PR,00757-2609,Santa Isabel
Centro de Servicios Primarios de Salud-Maunabo...,45 Calle Munoz Rivera,Maunabo,PR,00707-2146,Maunabo
Centro Servicios Primarios de Salud de Patilla...,38 Calle Munoz Rivera,Patillas,PR,00723-2610,Patillas
Centro Servicios Primarios de Salud de Patilla...,99 Calle Guillermo Riefkol,Patillas,PR,00723,Patillas
Centro Servicios Primarios de Salud de Patilla...,114 Calle Jose Celso Barbosa,Salinas,PR,00751,Salinas
Outreach and Dental Mobile Health Services,99 Calle Guillermo Riefkol,Patillas,PR,00723,Patillas
Clinica de Salud Familiar de Rio Grande,16 Calle Pimentel,Rio Grande,PR,00745-3690,Rio Grande
Clinica Familiar de Ceiba,673 Calle Escolastico Lopez BLDG 673,Ceiba,PR,00735-2834,Ceiba
Clinica Familiar de Luquillo,Carr 193,Luquillo,PR,00773,Luquillo
Clinica Familiar de Luquillo,6.9 Carr 992,Mata de Plátano,PR,00773,Luquillo
"CONCILIO DE SALUD INTEGRAL DE LOIZA, INC.",187 PR-188,Canóvanas,PR,00729,Canovanas
ADJUNTAS POLICLINIC,35.7 Carr 123,Adjuntas,PR,00601,Adjuntas
CASTANER GENERAL HOSPITAL,64.2 Carr 135,Bartolo,PR,00631,Lares
Hospital Castaner Mobile Unit #1,64.2 Carr 135,Bartolo,PR,00631,Lares
Policlinica Castaner en Jayuya,53 Calle Gmo Esteves,Jayuya,PR,00664-1419,Jayuya
