Site Name,Site Address,Site City,Site State,Site Zip Code,County
Central Community Health Center I,Meriang,Koror,PW,96940,Koror
Central Community Health Center II,"Ked, Airai",Airai,PW,96940,Koror
EASTERN COMMUNITY HEALTH CENTER,Melekeok,PALAU,PW,96940,Koror
HARRIS ELEMENTARY SCHOOL CLINIC,Ngerchemai Rd,KOROR PALAU,PW,96940,Koror
KAYANGEL SATELLITE DEIPENSARY,Kayangel State,PALAU,PW,96940,Koror
KOROR COMMUNITY HEALTH CENTER (OUTPATIENT DEPA...,PO BOX 6027,Koror,PW,96940,Koror
NORTHERN COMMUNITY HEALTH CENTER,Mengelang Ngerchelong State,KOROR PALAU,PW,96939,Koror
PALAU HIGH SCHOOL CLINIC,Medalaii Koror State,Medalaii KororPalau,PW,96939,Koror
SOUTHERN COMMUNITY HLTH CENTER,Ngercholl Rd,KOROR PALAU,PW,96939,Koror
WESTERN COMMUNITY HEALTH CENTER,Ngermeskang Rd,KOROR PALAU,PW,96940,Koror
