Site Name,Site Address,Site City,Site State,Site Zip Code,County
1 Randall Square Suite 202,1 Randall Sq STE 202,Providence,RI,02904-2773,Providence
Atwood Street Health Center,31 Atwood St,Providence,RI,02909-3410,Providence
Capitol Hill Health Center,40 Candace St,Providence,RI,02908-3747,Providence
CENTRAL HEALTH CENTER,239 Cranston St,Providence,RI,02907-2406,Providence
CHAFEE HEALTH CENTER,1 Warren Way,Providence,RI,02905-5000,Providence
Crossroads RI,160 Broad St,Providence,RI,02903-4028,Providence
OLNEYVILLE HEALTH CENTER,100 Curtis St,Providence,RI,02909-3623,Providence
PCHC - Beaman &amp; Smith,335R Prairie Ave,Providence,RI,02905-2426,Providence
PCHC Dental Clinic,335 R Prairie Ave,Providence,RI,02905-2426,Providence
Providence Community Health Center at Prairie ...,355 Prairie Ave,Providence,RI,02905-1928,Providence
Providence Community Health Centers at Copley ...,206 Broad St OFC 103-105,Providence,RI,02903-4029,Providence
Providence Community Health Centers at George ...,145 Beaufort St,Providence,RI,02908-3929,Providence
Providence Community Health Centers at Mt. Ple...,434 Mount Pleasant Ave,Providence,RI,02908-3302,Providence
Providence Community Health Centers at North M...,530 N Main St,Providence,RI,02904-5762,Providence
Providence Community Health Centers at Roger W...,278 Thurbers Ave,Providence,RI,02905-1716,Providence
"PROVIDENCE COMMUNITY HEALTH CENTERS, INC.",375 Allens Ave,Providence,RI,02905-5010,Providence
Randall Sq Specialty Clinic Suite 308,1 Randall Sq STE 308,Providence,RI,02904-2774,Providence
Randall Square Health Center   Suite 205,1 Randall Sq STE 205,Providence,RI,02904-2773,Providence
THE METROPOLITAN SHC,325 Public St,Providence,RI,02905-2340,Providence
HealthHut - Deering Middle School West Warwick,2 Webster Knight Dr,West Warwick,RI,02893-2743,Kent
HealthHut - Woonsocket High School,777 Cass Ave,Woonsocket,RI,02895-4719,Providence
HealthHut - Woonsocket Middle School,240 Florence Dr,Woonsocket,RI,02895-3481,Providence
The Molar Express - Dental Van,450 Clinton St,Woonsocket,RI,02895-3207,Providence
Thundermist Admin Warwick,171 Service Ave,Warwick,RI,02886-1014,Kent
Thundermist Dental Admin Woonsocket,25 John a Cummings Way,Woonsocket,RI,02895-3244,Providence
Thundermist Dental West Warwick,5 Washington St,West Warwick,RI,02893-4927,Kent
Thundermist Health Center of South County - Pe...,360 Kingstown Rd UNIT 101,Narragansett,RI,02882-3258,Washington
Thundermist South County,1 River St,Wakefield,RI,02879-3214,Washington
Thundermist Special Populations Providence,557 Broad St,Providence,RI,02907-4120,Providence
Thundermist West Warwick,186 Providence St,West Warwick,RI,02893-2508,Kent
Thundermist Woonsocket,450 Clinton St,Woonsocket,RI,02895-3207,Providence
NORTHWEST COMMUNITY HEALTH CARE d/b/a WellOne ...,36 Bridge Way,Pascoag,RI,02859-3131,Providence
Northwest Community Health Care d/b/a WellOne ...,142A Danielson Pike,Foster,RI,02825-1485,Providence
Northwest Community Health Care d/b/a WellOne ...,308 Callahan Rd,North Kingstown,RI,02852-7739,Washington
Northwest Community Health Care d/b/a WellOne ...,35 Village Plaza Way,Scituate,RI,02857-1849,Providence
WellOne Primary Medical and Dental Care Behavi...,55 Pascoag Main St,Pascoag,RI,02859-3102,Providence
WellOne Primary Medical and Dental Care Dental...,15 Sayles Ave,Pascoag,RI,02859-3113,Providence
WellOne Primary Medical and Dental Care Specia...,82 Pascoag Main St,Pascoag,RI,02859-3100,Providence
2 Old County Road,2 County Rd,Barrington,RI,02806-4540,Bristol
Adams-Farley Counseling Center,610 Wampanoag Trl,Riverside,RI,02915-1504,Providence
Dental Mobile Van,19 Broadway,Newport,RI,02840-2937,Newport
EAST BAY COMMUNITY ACTION PROGRAM / Dental Center,19 Broadway,Newport,RI,02840-2937,Newport
EAST BAY FAMILY HEALTH CENTER,100 Bullocks Point Ave,Riverside,RI,02915-5351,Providence
East Bay Family Health Center,6 John H Chafee Blvd,Newport,RI,02840-1034,Newport
East Bay Recovery Center,31 Railroad Ave,Warren,RI,02885-3206,Bristol
"Head Start, Early Head Start & Child Care",8 John H Chafee Blvd,Newport,RI,02840-1034,Newport
John F. Kennedy Head Start,740 W Main Rd,Middletown,RI,02842-6372,Newport
Temporary Site -  East Bay Community Action Pr...,13 Railroad Ave,Warren,RI,02885-3206,Bristol
Temporary Site - Newport County Campus - Commu...,1 John H Chafee Blvd,Newport,RI,02840-1096,Newport
"11 Wells Street, Suite 6",11 Wells St STE 6,Westerly,RI,02891-2998,Washington
Wood River Health Services Administrative Offices,15 Gray Ln Ste 107,Ashaway,RI,02804-1210,Washington
"WOOD RIVER HEALTH SERVICES, INC.",823 Main St,Hope Valley,RI,02832-1920,Washington
WRHS Westerly Site,17 Wells St STE 202,Westerly,RI,02891-2923,Washington
Tri-County Community Health Center,1126 Hartford Ave,Johnston,RI,02919-7109,Providence
Tri-County Community Health Center of North Pr...,33 Maple St,North Providence,RI,02911-2415,Providence
CCA INC. BEHAVIORAL HEALTH,311 Doric Ave,Cranston,RI,02910-2903,Providence
EVERETT C. WILCOX FAMILY HEALTH CENTER,2756 Post Rd STE 103,Warwick,RI,02886-3077,Kent
FAMILY HEALTH SERVICES - CRANSTON,226 Buttonwoods Ave,Warwick,RI,02886-7541,Kent
FAMILY HEALTH SVCS OF COVENTRY,1090 Cranston St,Cranston,RI,02920-7323,Providence
MOLAR EXPRESS-DENTAL VAN / Mobile Medical Unit...,191 Macarthur Blvd,Coventry,RI,02816-7244,Kent
"Blackstone Valley Community Health Care, Inc.",9 Chestnut St,Central Falls,RI,02863-2005,Providence
BVCHC Administration,39 East Ave,Pawtucket,RI,02860-4003,Providence
BVCHC Administrative Support Site,36 Park Pl,Pawtucket,RI,02860-4075,Providence
BVCHC Central Falls,42 Park Pl,Pawtucket,RI,02860-4010,Providence
BVCHC DENTAL Health Center,1000 Broad St,Central Falls,RI,02863-1507,Providence
BVCHC Main Street Satellite,210 Main St,Pawtucket,RI,02860-4008,Providence
CENTRAL FALLS HIGH SCHOOL CLINIC,1145 Main St,Pawtucket,RI,02860-7825,Providence
