Site Name,Site Address,Site City,Site State,Site Zip Code,County
CF-Evans Correctional Institution,610 Highway 9 W,Bennettsville,SC,29512-2130,Marlboro
Allendale Correctional Institution,1057 Revolutionary Trl,Fairfax,SC,29827-7127,Allendale
Kershaw Correctional Institution,4848 Gold Mine Hwy,Kershaw,SC,29067-8069,Lancaster
MacDougall Correctional Institution,1516 Old Gilliard Rd,Ridgeville,SC,29472-7408,Berkeley
Ridgeland Correctional Institution,5 Correctional Rd,Ridgeland,SC,29936-4545,Jasper
Trenton Correctional Institution,84 Green House Rd,Trenton,SC,29847-2100,Edgefield
Tyger River Correctional Institution,200 Prison Rd,Enoree,SC,29335-2719,Spartanburg
Lee Correctional Institution,990 Wisacky Hwy,Bishopville,SC,29010-1775,Lee
Turbeville Correctional Institution,US-378,Turbeville,SC,29162,Clarendon
Wateree Correctional Institution,SC-261,Rembert,SC,29128,Sumter
HCPSC School Based Health at Johnsonville High...,237 S Georgetown Hwy,Johnsonville,SC,29555-8081,Florence
Health Care Partners Brittons Neck Health Center,6874 Highway 908,Gresham,SC,29546-5079,Marion
Health Care Partners Mobile Dental Van,145 Palmetto Pointe Rd,Marion,SC,29571-6721,Marion
Health Care Partners of SC Admin #2,1606 Main St,Conway,SC,29526-3572,Horry
Health Care Partners of SC Optometry Office,1606 Main St UNIT B,Conway,SC,29526-3572,Horry
Health Care Partners of SC Women's Care,243 Singleton Ridge Rd,Conway,SC,29526-8391,Horry
"Health Care Partners of South Carolina, Inc. -...",1708 Oak St,Conway,SC,29526-3086,Horry
"Health Care Partners of South Carolina, Inc. -...",1608 Main St,Conway,SC,29526-3572,Horry
"Health Care Partners of South Carolina, Inc. -...",123 E Broadway St,Johnsonville,SC,29555-4252,Florence
"Health Care Partners of South Carolina, Inc. -...",145 Palmetto Pointe Rd,Marion,SC,29571-6721,Marion
COASTAL PLAINS PRIMARY CARE,595 W Carolina Ave,Varnville,SC,29944-4735,Hampton
FAMILY MEDICINE ASSOCIATES,901 W Greenwood St STE 9,Abbeville,SC,29620-5727,Abbeville
Catawba Service Unit,2893 Sturgis Rd,Rock Hill,SC,29730-6607,York
HopeHealth @ FMU,121 S Evander Dr,Florence,SC,29506-4212,Florence
HopeHealth Bethea,157 Home Ave,Darlington,SC,29532-7625,Darlington
HopeHealth Celebration Blvd,1362 Celebration Blvd,Florence,SC,29501-5495,Florence
HopeHealth Darlington Street,155 W Darlington St,Florence,SC,29501-2803,Florence
HopeHealth Greeleyville,86 N Main St,Greeleyville,SC,29056-9374,Williamsburg
HopeHealth Hemingway,2266 Hemingway Hwy,Hemingway,SC,29554-5407,Williamsburg
HopeHealth Irby Street,360 N Irby St,Florence,SC,29501-2808,Florence
HopeHealth Kingstree,520 Thurgood Marshall Hwy STE B,Kingstree,SC,29556-4108,Williamsburg
HopeHealth Lake City School-based Health Center,652 N Matthews Rd,Lake City,SC,29560-7008,Florence
HopeHealth Lake City- Sauls Street,148 Sauls St STE A,Lake City,SC,29560-2677,Florence
HopeHealth Manning,12 W South St,Manning,SC,29102-2925,Clarendon
HopeHealth Manning Pediatrics,11 W Hospital St,Manning,SC,29102-2912,Clarendon
HopeHealth Manning School-based Health Center,2155 Paxville Hwy,Manning,SC,29102-5074,Clarendon
HopeHealth Mill Street,409 S Mill St,Manning,SC,29102-2918,Clarendon
HopeHealth Orangeburg,1857 Joe S Jeffords Hwy,Orangeburg,SC,29115-7473,Orangeburg
HopeHealth Pine Needles,3380 Pine Needles Rd,Florence,SC,29501-7908,Florence
HopeHealth Second Loop Rd,1920 2nd Loop Rd,Florence,SC,29501-6123,Florence
