Site Name,Site Address,Site City,Site State,Site Zip Code,County
South Dakota Human Services Center,3515 Broadway Ave,Yankton,SD,57078-4917,Yankton
South Dakota Women's Prison,3200 E SD Highway 34,Pierre,SD,57501-5400,Hughes
South Dakota State Penitentiary,1600 N North Dr,Sioux Falls,SD,57104-0915,Minnehaha
Mike Durfee State Prison,1412 Wood St,Springfield,SD,57062-2238,Bon Homme
MCLAUGHLIN HEALTH CENTER,6th St E,Mc Laughlin,SD,57642,Corson
MOBRIDGE MEDICAL CLINIC,PO BOX 580,Mobridge,SD,57601-0580,Walworth
WEST DAKOTA HEALTH CENTER,PO BOX 206,Timber Lake,SD,57656-0206,Dewey
EAGLE BUTTE,24276 Airport Rd # 166,Eagle Butte,SD,57625-8021,Ziebach
FT. THOMPSON HEALTH CENTER,1323 Bia Rd 4,Chamberlain,SD,57325,Buffalo
WANBLEE HEALTH CENTER,210 1st St,Wanblee,SD,57577,Jackson
KYLE HEALTH CENTER,1000 Health Center Road,Kyle,SD,57752,Jackson
MANDERSON HEALTH STATION,Indian Service Road 33,Manderson,SD,57756,Oglala Lakota
ROSEBUD HOSPITAL,400 Soldier Creek Dr,Rosebud,SD,57570-8502,Todd
Woodrow Wilson Keeble Health Care Center,100 Lake Traverse Dr,Sisseton,SD,57262-7046,Roberts
BULLHEAD HEALTH STATION,102 Tatanka Street,Bullhead,SD,57621,Corson
WAGNER HEALTH CENTER,111 Washington Ave NW,Wagner,SD,57380-4300,Charles Mix
LOWER BRULE HEALTH CENTER,Gall St,Lower Brule,SD,57548,Lyman
CHERRY CREEK HS,538 Dupree,Cherry Creek,SD,57622,Ziebach
WHITE HORSE HS,White Horse Rd,Mission,SD,57555,Todd
Aberdeen Community Health Center,506 S Wilson St,Aberdeen,SD,57401-5082,Brown
ALCESTER COMMUNITY HEALTH CENTER,104 W 2nd St,Alcester,SD,57001-2281,Union
Alcester Dental Clinic,111 Iowa St,Alcester,SD,57001-7700,Union
AURORA COUNTY COMMUNITY HEALTH CENTER,106 S Main St,Plankinton,SD,57368-2264,Aurora
BISON COMMUNITY CLINIC,105 W Main St,Bison,SD,57620-7133,Perkins
BRYANT COMMUNITY HEALTH CENTER,110 W Main St,Bryant,SD,57221-2058,Hamlin
De Smet Community Health Center,401 Prairie Ave SW,De Smet,SD,57231-2333,Kingsbury
Elk Point Community Health Center,204 E Main St,Elk Point,SD,57025-2334,Union
FAITH COMMUNITY HLTH CTR,112 N 2nd Ave W,Faith,SD,57626-6086,Meade
Family Health Center of Eagle Butte,24337 US Highway 212,Eagle Butte,SD,57625-7770,Dewey
Fort Thompson Community Health Center,125 SD Highway 249,Fort Thompson,SD,57339,Buffalo
"Horizon Health Care, Inc.",109 N Main St,Howard,SD,57349,Miner
Howard Community Health Center,208 S Main St,Howard,SD,57349-8813,Miner
Isabel Community Clinic,118 N Main St,Isabel,SD,57633,Dewey
James Valley Community Health Center,1000 18th St SW STE 27,Huron,SD,57350-3488,Beadle
JERAULD COUNTY COMMUNITY HEALTH CENTER,602 1st St NE STE 1,Wessington Springs,SD,57382-2163,Jerauld
Jerauld County Dental Clinic,602 1st St NE STE 3,Wessington Springs,SD,57382-2167,Jerauld
Lake Preston Community Health Center,322 Main Ave N,Lake Preston,SD,57249-2337,Kingsbury
LAKE PRESTON COMMUNITY HLTH CTR,709 4th St SE,Lake Preston,SD,57249-2116,Kingsbury
Martin Community Health Center,109 Pugh St,Martin,SD,57551-7700,Bennett
Martin Dental Clinic,103 E Bennett Ave,Martin,SD,57551-2203,Bennett
MCINTOSH COMMUNITY CLINIC,208 Main St,Mc Intosh,SD,57641-7707,Corson
MELLETTE COUNTY Community Health Center,309 E 4th St,White River,SD,57579-2054,Mellette
Mission Community Health Center,161 S Main St,Mission,SD,57555,Todd
PRAIRIE WINDS DENTAL CLINIC,112 N Main St,Howard,SD,57349-9055,Miner
Tiospaye Topa School,PO BOX 300,Ridgeview,SD,57652-0300,Dewey
UNION COUNTY CORRECTIONAL FAC,300 E Main St,Elk Point,SD,57025-2160,Union
Woonsocket Community Health Center,PO BOX 368,Woonsocket,SD,57385-0368,Sanborn
Yankton Community Health Center,920 Broadway Ave,Yankton,SD,57078-3536,Yankton
Access Health - Brookings,400 22nd Ave STE 1,Brookings,SD,57006-2450,Brookings
Access Health - Chamberlain,101 S Front St STE 1,Chamberlain,SD,57325-1619,Brule
Access Health - Fort Pierre,202 Island Dr STE 1,Fort Pierre,SD,57532-7303,Stanley
Access Health - Highmore,200 Commercial Ave SE,Highmore,SD,57345-2148,Hyde
Access Health - Kennebec,120 S Main St,Kennebec,SD,57544,Lyman
Access Health - Mitchell,1900 Grassland Dr STE 103,Mitchell,SD,57301-6386,Davison
Access Health - Murdo,609 Garfield Ave,Murdo,SD,57559-4100,Jones
Access Health - Onida,303 S Main St,Onida,SD,57564-2160,Sully
Access Health - Presho,116 N Main Ave,Presho,SD,57568-5420,Lyman
WEST RIVER HEALTH CLINIC,PO BOX 520,Mc Laughlin,SD,57642-0520,Corson
FALLS COMMUNITY HEALTH,521 N Main Ave STE 101,Sioux Falls,SD,57104-5963,Minnehaha
Falls Community Health School Based Health Ser...,1722 E 8th St,Sioux Falls,SD,57103-1712,Minnehaha
