Site Name,Site Address,Site City,Site State,Site Zip Code,County
Cannon County Health Department/Community Heal...,106 Alexander Dr,Woodbury,TN,37190-5275,Cannon
CLAY COUNTY HEALTH DEPARTMENT,115 Guffey St,Celina,TN,38551-4089,Clay
Cumberland County Health Department,1503 S Main St,Crossville,TN,38555-5967,Cumberland
DEKALB COUNTY HEALTH DEPARTMENT,254 Tiger Dr,Smithville,TN,37166-6812,DeKalb
FENTRESS COUNTY HEALTH DEPT,240 Colonial Cir STE A,Jamestown,TN,38556-3916,Fentress
Jackson County Health Department,600 N Murray St,Gainesboro,TN,38562-9313,Jackson
MACON COUNTY HEALTH DEPARTMENT,601 Highway 52 Byp E,Lafayette,TN,37083-1009,Macon
OVERTON COUNTY HEALTH DEPARTMENT,5880 Bradford Hicks Dr,Livingston,TN,38570-2236,Overton
PICKETT COUNTY HEALTH DEPARTMENT,1013 Woodlawn Dr,Byrdstown,TN,38549-2317,Pickett
PUTNAM COUNTY HEALTH DEPARTMENT,701 County Services Dr,Cookeville,TN,38501-4338,Putnam
Smith County Health Department,251 Joy Alford Way,Carthage,TN,37030-3047,Smith
Upper Cumberland Primary Care Project,1100 England Dr,Cookeville,TN,38501-0924,Putnam
VAN BUREN COUNTY HEALTH DEPT,907 Old Mcminnville St,Spencer,TN,38585-3200,Van Buren
WARREN COUNTY HEALTH DEPARTMENT,1401 Sparta St,Mc Minnville,TN,37110-1301,Warren
WHITE COUNTY HEALTH DEPARTMENT,135 Walker St,Sparta,TN,38583-1725,White
CUMBERLAND FAMILY CARE OF VANBUREN,817 College St,Spencer,TN,38585-3436,Van Buren
Chestnut Hill Center,3222 Chestnut Hill School Rd,Dandridge,TN,37725-7238,Jefferson
Corporate Office,207 Murray Dr,Newport,TN,37821-3631,Cocke
GRASSY FORK CENTER,4261 Big Creek Rd,Hartford,TN,37753-2220,Cocke
Newport Center,229 Hedrick Dr,Newport,TN,37821-2902,Cocke
PARROTTSVILLE CENTER,111 Mockingbird Ave,Parrottsville,TN,37843-2741,Cocke
Rural Medical Services Inc. Cosby Center,103 Wilton Springs Rd,Newport,TN,37821-6405,Cocke
MATTHEW WALKER COMPREHENSIVE HEALTH CENT,1035 14th Ave N,Nashville,TN,37208-3050,Davidson
Matthew Walker Comprhensive Health Center - Sm...,739 President Pl STE 100,Smyrna,TN,37167-6845,Rutherford
Matthew Walker Health Center - Clarksville,230 Dover Rd,Clarksville,TN,37042-4183,Montgomery
"Mobile Primary Care, Behavioral Health and Ora...",230 Dover Rd,Clarksville,TN,37042-4183,Montgomery
Hope II,608 S Hancock St,Murfreesboro,TN,37130-4327,Rutherford
Primary Care & Hope Clinic,1453 Hope Way,Murfreesboro,TN,37129-3140,Rutherford
Primary Care &amp; Hope Clinic of Shelbyville,1701 N Main St,Shelbyville,TN,37160-2303,Bedford
Primary Care &amp; Hope Clinic of Smyrna,900 Sgt Asbury Hawn Way,Smyrna,TN,37167-3587,Rutherford
Temporary administrative service site,3261 Franklin Rd,Murfreesboro,TN,37128-4113,Rutherford
Temporary service site,833 Memorial Blvd STE Efg,Murfreesboro,TN,37129-2986,Rutherford
Temporary service site 2,301 Quecreek Cir,Smyrna,TN,37167-6834,Rutherford
Dickerson Road Family Clinic,1223 Dickerson Pike,Nashville,TN,37207-5408,Davidson
Downtown Clinic,526 8th Ave S,Nashville,TN,37203-4139,Davidson
Interfaith Dental Building,600 Hill Ave,Nashville,TN,37210-4754,Davidson
MADISON FAMILY CLINIC,601 W Due West Ave,Madison,TN,37115-4423,Davidson
Main Street Family Clinic,905 Main St,Nashville,TN,37206-3684,Davidson
Neighborhood Health @ Inglewood,3904 Gallatin Pike,Nashville,TN,37216-2406,Davidson
Neighborhood Health @ Welshwood,419 Welshwood Dr,Nashville,TN,37211-4384,Davidson
Neighborhood Health at Cayce,617 S 8th St,Nashville,TN,37206-3819,Davidson
Neighborhood Health Business Office,2711 Foster Ave,Nashville,TN,37210-5307,Davidson
UNHS MIssion Clinic,639 Lafayette St,Nashville,TN,37203-4226,Davidson
UNHS SOUTHSIDE FAMILY CLINIC,107 Charles E Davis Blvd,Nashville,TN,37210-2745,Davidson
UNHS Unity Health Center,2195 Nolensville Pike,Nashville,TN,37211-2094,Davidson
UNITED NEIGHBORHOOD HEALTH SERVICES,617 S 8th St,Nashville,TN,37206-3819,Davidson
United Neighborhood Health Services at Lebanon,410 Hartsville Pike,Lebanon,TN,37087,Wilson
RESTORATION CLINIC,17619 State Highway 58 N STE C,Decatur,TN,37322-7882,Meigs
"HARDIN COUNTY REGIONAL HEALTH CENTER, INC. DBA...",765 Florence Rd,Savannah,TN,38372-3451,Hardin
Lifespan Adamsville,726 E Main St,Adamsville,TN,38310-2458,McNairy
LIFESPAN CLIFTON,207 Main St,Clifton,TN,38425-5547,Wayne
Lifespan Enoch Blvd,175 Enoch Blvd,Savannah,TN,38372-2240,Hardin
LIFESPAN Health,150 E End Dr,Savannah,TN,38372-1712,Hardin
