Site Name,Site Address,Site City,Site State,Site Zip Code,County
Immigration Customs Enforcement-S Texas/Pearsall,566 Veteran Dr,Pearsall,TX,78061-6623,Frio
ICE-Houston Contract Detention Facility,15850 Export Plaza Dr,Houston,TX,77032-2545,Harris
ICE - El Paso Processing Center,8915 Montana Ave,El Paso,TX,79925-1202,El Paso
FCI-Three Rivers,TX-72 W,Three Rivers,TX,78071,Live Oak
AMISTAD COMMUNITY HEALTH CENTER,1533 S Brownlee Blvd,Corpus Christi,TX,78404-3131,Nueces
Amistad Community Health Center,814 E Main Ave,Robstown,TX,78380-3135,Nueces
Amistad Community Health Center - Aransas Pass,1711 W Wheeler Ave STE 1,Aransas Pass,TX,78336-4536,San Patricio
Amistad Community Health Center Mobile Unit,1533 S Brownlee Blvd,Corpus Christi,TX,78404-3131,Nueces
CF - French Robertson Unit,12071 FM 3522,Abilene,TX,79601-8749,Jones
Administrative Offices,4800 Fournace Pl,Bellaire,TX,77401-2324,Harris
Dental Mobile Unit,5656 Kelley St,Houston,TX,77026-1967,Harris
Harmony House Respite Center,602 Girard St,Houston,TX,77007-6218,Harris
Lord of the Streets,3401 Fannin St,Houston,TX,77004-3806,Harris
Medical Mobile Unit,5656 Kelley St,Houston,TX,77026-1967,Harris
Navigation Center,2903 Jensen Dr,Houston,TX,77026-6019,Harris
OPEN DOOR MISSION,5803 Harrisburg Blvd,Houston,TX,77011-4323,Harris
SALVATION ARMY ADULT REHAB CTR,2118 Washington Ave,Houston,TX,77007-6137,Harris
Star of Hope Cornerstone Community,2575 Reed Rd,Houston,TX,77051-2216,Harris
STAR OF HOPE MEN'S SHELTER,1811 Ruiz St,Houston,TX,77002-1321,Harris
FCI - Big Spring,1900 Simler Ave,Big Spring,TX,79720-7789,Howard
FCI - Texarkana,4001 Leopard Dr,Texarkana,TX,75501-8100,Bowie
FCI - La Tuna,8500 Doniphan Dr,Anthony,TX,79821-9346,El Paso
FDC - Houston,1200 Texas St,Houston,TX,77002-3505,Harris
ICE - South Texas Family Residential Center,300 El Rancho Way,Dilley,TX,78017-4200,Frio
CF - James V. Allred Unit,2101 Fm 369 N,Iowa Park,TX,76367-6568,Wichita
CF - Preston E Smith Unit,1313 County Road 19,Lamesa,TX,79331-1817,Dawson
Avenue 360 Health and Wellness Midtown,2920 Fannin St,Houston,TX,77002-9222,Harris
Avenue 360 South Central,4405 Griggs Rd,Houston,TX,77021-2815,Harris
AVENUE 360 Southwest,14095 Main St,Houston,TX,77035-5447,Harris
Coastal Bend Wellness Foundation,2150 W 18th St,Houston,TX,77008-5200,Harris
Corpus Christi-Nueces County Health Department,17010 Sugar Pine Dr,Houston,TX,77090-2213,Harris
Bastrop Community Health Center,1702 Horne Rd,Corpus Christi,TX,78416-1902,Nueces
Bastrop ISD Health Center,720 E Lee Ave,Kingsville,TX,78363-4606,Kleberg
CHC of South Central Texas Administration and ...,275 S Jackson St,Bastrop,TX,78602-4320,Bastrop
COMMUNITY HEALTH CENTERS OF SOUTH CENTRAL TEXA...,1602 Hill St,Bastrop,TX,78602-2525,Bastrop
Family Health Center at Elgin,1918 Church St,Gonzales,TX,78629-2118,Gonzales
Lockhart Family Practice Center,229 Saint George St,Gonzales,TX,78629-3909,Gonzales
Luling Community Dental Center,228 Saint George St,Gonzales,TX,78629-3910,Gonzales
Luling Community Health Center,711 W 10th St,Elgin,TX,78621-2261,Bastrop
Seguin Family Health Center,2060 S Colorado St # 183,Lockhart,TX,78644-3951,Caldwell
Victoria Community Health Center,651 E Crockett St,Luling,TX,78648-2602,Caldwell
EDUARDO MORENO M D RHC,1104 Jefferson Ave,Seguin,TX,78155-5910,Guadalupe
GCHC- Dr Martinez Clinic,210 S Avenue C,Crystal City,TX,78839-3834,Zavala
Hebbronville,1515 Pappas St,Laredo,TX,78041-1705,Webb
Laredo College South Clinic,7210 Mcpherson Rd STE 108,Laredo,TX,78041-6551,Webb
Mobile Medical Clinic,"6801 McPherson Rd, Ste 336",Laredo,TX,78041-6417,Webb
Shiloh Clinic,473 State Highway 285,Hebbronville,TX,78361-4430,Jim Hogg
SOUTH CLINIC,5500 S Zapata Hwy,Laredo,TX,78046-8944,Webb
Zapata,1515 Pappas St,Laredo,TX,78041-1705,Webb
SANDHILLS FAMILY CLINIC,2007 S Zapata Hwy,Laredo,TX,78046-6510,Webb
Denver Harbor Dental Clinic,1809 Lockwood St,Tahoka,TX,79373,Lynn
J.W. Oates Elementary School,5808 Airline Dr,Houston,TX,77076-4923,Harris
McReynolds Middle School,424 Hahlo St,Houston,TX,77020-3022,Harris
Port Houston Elementary School,424B Hahlo St,Houston,TX,77020-3022,Harris
Pugh Elementary,10044 Wallisville Rd,Houston,TX,77013-4616,Harris
Sanchez Charter School,5910 Market St,Houston,TX,77020-6627,Harris
Scroggins Elementary School,1800 Mccarty St,Houston,TX,77029-3761,Harris
"Regence Health Network, Inc. RDA - PLNV",215 Rittenhouse St,Houston,TX,77076-1709,Harris
"Regence Health Network, Inc. RMA - Outreach",400 Boyles St,Houston,TX,77020-5242,Harris
"Regence Health Network, Inc. RMDA - HRF",2801 W 8th St,Plainview,TX,79072-6737,Hale
"Regence Health Network, Inc. RMDA - PCS",713 N Taylor St,Amarillo,TX,79107-5279,Potter
Arlington Community Health Center,125 W Park Ave,Hereford,TX,79045-4201,Deaf Smith
Northside Community Health Center,410 Canyon St,Plainview,TX,79072,Hale
Baird on Peyton,2332 Beverly Hills Dr,Fort Worth,TX,76114-1756,Tarrant
ResourceCare Breckenridge,2909 Mitchell Blvd,Fort Worth,TX,76105-4642,Tarrant
ResourceCare Cross Plains,527 Peyton St STE 2A,Baird,TX,79504-4700,Callahan
ResourceCare Cross Plains Admin,2802 W Walker St,Breckenridge,TX,76424-4000,Stephens
ResourceCare Merkel,1712 N Access Rd,Clyde,TX,79510-3352,Callahan
SHACKELFORD COUNTY COMMUNITY RESOURCE CENTER,301 S Main St,Cross Plains,TX,76443-2581,Callahan
Administrative Office Building,217 Edwards,Merkel,TX,79536-3803,Taylor
CANYON HEALTH CENTER,725 Pate St,Albany,TX,76430-3225,Shackelford
ROLLING HILLS HEALTH,908 Evans St STE A,Uvalde,TX,78801-6052,Uvalde
EAST TEXAS COMMUNITY HEALTH SERVICES,200 Evans St,Uvalde,TX,78801-5142,Uvalde
EASTSIDE COMMUNITY CLINIC,US-83 & Oak Hill Dr,Leakey,TX,78873,Real
ETCHSI Mobile Unit,908 Evans St STE B,Uvalde,TX,78801-6051,Uvalde
WESTSIDE COMMUNITY CLINIC,1401 S University Dr,Nacogdoches,TX,75961-6488,Nacogdoches
CLARENDON FAMILY MEDICAL CENTER,1309 S University Dr,Nacogdoches,TX,75961-6486,Nacogdoches
Apollo Wellness,1210 Douglass Rd,Nacogdoches,TX,75964-4904,Nacogdoches
CommuniCare Blvd Dental,1 Medical Center Dr,Clarendon,TX,79226,Donley
CommuniCare Health Centers - Boerne,6511 West FM 1604 North  STE 105,San Antonio,TX,78254,Bexar
CommuniCare Health Centers - East,5210 Thousand Oaks Dr STE 1203,San Antonio,TX,78233-6974,Bexar
CommuniCare Health Centers - Encino Park,5138 Utsa Blvd STE 116,San Antonio,TX,78249-3537,Bexar
CommuniCare Health Centers - Hallmark University,6838 Alamo Pkwy STE 5,San Antonio,TX,78253-6567,Bexar
CommuniCare Health Centers - Helotes,430 W Bandera Rd STE 9,Boerne,TX,78006-2521,Kendall
CommuniCare Health Centers - Hill Country Village,3066 E Commerce St,San Antonio,TX,78220-1013,Bexar
CommuniCare Health Centers - Kyle,20306 Encino Ledge STE 101,San Antonio,TX,78259-1832,Bexar
CommuniCare Health Centers - Leon Springs,9855 Westover Hills Blvd STE 156,San Antonio,TX,78251-4108,Bexar
CommuniCare Health Centers - Luckey Ranch,12850 Bandera Rd STE 106,Helotes,TX,78023-4003,Bexar
CommuniCare Health Centers - Medical Center,14811 San Pedro Ave,San Antonio,TX,78232-3708,Bexar
CommuniCare Health Centers - Metropolitan,2810 Dacy Ln,Kyle,TX,78640-6322,Hays
CommuniCare Health Centers - Navigation Center,21195 W Interstate 10 STE 2101,San Antonio,TX,78257-1675,Bexar
CommuniCare Health Centers - Northwest,11930 W US Highway 90 STE 110,San Antonio,TX,78245-9613,Bexar
CommuniCare Health Centers - Potranco,7220 Louis Pasteur Dr STE 140,San Antonio,TX,78229-4534,Bexar
CommuniCare Health Centers - San Marcos,1200 Brooklyn Ave STE 300,San Antonio,TX,78212-4810,Bexar
CommuniCare Health Centers - South,7420 Blanco Rd STE 210,San Antonio,TX,78216-4392,Bexar
CommuniCare Health Centers - Stone Oak,8210 Callaghan Rd,San Antonio,TX,78230-4775,Bexar
CommuniCare Health Centers - West,10002 Westover Blf,San Antonio,TX,78251-3353,Bexar
CommuniCare Health Centers - Westover Hills,1941 S Interstate 35 STE 101,San Marcos,TX,78666-6169,Hays
CommuniCare Health Centers - Wimberley,"7355 Barlite Blvd, Ste 101",San Antonio,TX,78224-1340,Bexar
Health Outcomes Centers,"20642 Stone Oak Pkwy, Ste 105",San Antonio,TX,78258-7363,Bexar
San Antonio Specialty Health &amp; Sports Medi...,1102 Barclay St,San Antonio,TX,78207-7161,Bexar
Manor,203 Stillwater STE 6,Wimberley,TX,78676-5383,Hays
PCC - Camino,"4751 Hamilton Wolfe Rd, Ste 200",San Antonio,TX,78229-3458,Bexar
People's Community Clinic,1200 Brooklyn Ave STE 320,San Antonio,TX,78212-4803,Bexar
Americas High School,10335 US Highway 290 E,Manor,TX,78653-4686,Travis
Andress High School,1101 Camino la Costa,Austin,TX,78752-3930,Travis
Canutillo Health Center,2909 N Interstate 35,Austin,TX,78722-2304,Travis
Clint Junior High School,12101 Pellicano Dr,El Paso,TX,79936-6862,El Paso
Col. J. Ensor Middle School Clinic,5400 Sun Valley Dr,El Paso,TX,79924-3418,El Paso
Dell City Health Outreach Center,7000 Fifth St,Canutillo,TX,79835-6107,El Paso
Desert Wind School,7311 Bosque Rd,Canutillo,TX,79835,El Paso
Eastlake High School,12625 Alameda Ave,Clint,TX,79836-6303,El Paso
El Dorado High School,13600 Ryderwood Dr,Horizon City,TX,79928-7218,El Paso
Ernesto Serna Middle School,102 S Dodson BLDG B,Dell City,TX,79837,Hudspeth
Family Planning Primary Care Mobile,1100 Colina De Paz,El Paso,TX,79928-6064,El Paso
Frank Macias Elementary School,13000 Emerald Pass Ave,Horizon City,TX,79928-7295,El Paso
Ft. Hancock,12401 Edgemere Blvd,El Paso,TX,79938-4484,El Paso
Ft. Hancock Clinic,11471 Alameda Ave,Socorro,TX,79927-3239,El Paso
Garcia Elementary,14674 Greg Dr,El Paso,TX,79938-9241,El Paso
H. E. Charles Middle School,14400 Golden Eagle Dr,Horizon City,TX,79928-7390,El Paso
Horizon Middle School,561 Knox Ave,Fort Hancock,TX,79839,Hudspeth
Hueco Clinic,100 E School Dr,Fort Hancock,TX,79839,Hudspeth
Hurshel Antwine Middle School,6550 Westside Dr,El Paso,TX,79932-2726,El Paso
La Clinica Guadalupana,4909 Trojan Dr,El Paso,TX,79924-2230,El Paso
Manuel Puentes Middle School,400 N Kenazo Ave,Horizon City,TX,79928-5419,El Paso
Mission Ridge Elementary,3501 Hueco Ave,El Paso,TX,79903-4312,El Paso
Mobile Medical Vann,3830 Rich Beem,El Paso,TX,79938-4338,El Paso
Montana Middle School,901 Ascencion St,El Paso,TX,79928-9080,El Paso
Montana Vista Health Center,3216 Tim Foster St,El Paso,TX,79938,El Paso
Montwood High School,150 Nonap Rd,El Paso,TX,79928-5137,El Paso
Montwood Middle School,3607 Rivera Ave,El Paso,TX,79905-2415,El Paso
Mountain View High School,3490 Ascencion St,El Paso,TX,79938-9295,El Paso
NAFTZGER CLINIC,14900 Greg Dr,El Paso,TX,79938-9213,El Paso
Northeast Family Practice,12000 Montwood Dr,El Paso,TX,79936-4400,El Paso
Northwest Early College High School,11710 Pebble Hills Blvd,El Paso,TX,79936-0802,El Paso
Pebble Hills High School,14964 Greg Dr,El Paso,TX,79938-9213,El Paso
PROJECT VIDA HEALTH CENTER,3612 Pera Ave,El Paso,TX,79905-2412,El Paso
Project Vida Mobile Dental Trailer,4875 Maxwell Ave,El Paso,TX,79904-1559,El Paso
Ricardo Estrada Middle School,6701 S Desert Blvd,El Paso,TX,79932-8501,El Paso
Richardson Middle School,14400 Pebble Hills Blvd,El Paso,TX,79938-2652,El Paso
Sierra Blanca Family Health Center,3607 Rivera Ave,El Paso,TX,79905-2415,El Paso
Socorro High School,14900 Greg Dr,El Paso,TX,79938-9213,El Paso
Socorro Middle School,851 Darrington Rd,El Paso,TX,79928-7388,El Paso
Sun Ridge Middle School,11350 Loma Franklin Dr,El Paso,TX,79934-4146,El Paso
Terrace Hills Middle School,422 Rm,Sierra Blanca,TX,79851,Hudspeth
William Slider Middle School,10150 Alameda Ave,Socorro,TX,79927-1600,El Paso
Youth Center,301 Bovee Rd,Socorro,TX,79927-1220,El Paso
BIG WELLS CLINIC,4835 Blossom Ave,El Paso,TX,79924-3234,El Paso
Devine Behavioral Health,11700 School Ln,El Paso,TX,79936-4418,El Paso
DEVINE CLINIC,7722 N Loop Dr STE 5A,El Paso,TX,79915-2907,El Paso
Eagle Pass Behavioral Health Program,1502 Grand Ave,Big Wells,TX,78830,Dimmit
HONDO SITE CLINIC,1010 W Hondo Ave BLDG 100,Devine,TX,78016-1921,Medina
Pearsall Behavioral Health,1010 W Hondo Ave,Devine,TX,78016-1921,Medina
PEARSALL CLINIC,606 W Leona St,Dilley,TX,78017-3705,Frio
"South Texas Rural Health Services, Inc",2250 N Veterans Blvd,Eagle Pass,TX,78852-4160,Maverick
"SOUTH TEXAS RURAL HEALTH SERVICES, INC.",2912 Avenue E,Hondo,TX,78861-3329,Medina
STRHS Inc. ADMINISTRATION,158 Medical Dr,Pearsall,TX,78061-6624,Frio
STRHS Uvalde Behavioral Health Site,150 Medical Dr,Pearsall,TX,78061-6624,Frio
"STRHS, ENCINAL CLINIC",1819 N 9th St,Carrizo Springs,TX,78834,Dimmit
"STRHS, Inc. Mobile Clinic",105 S Stewart St,Cotulla,TX,78014-3003,La Salle
Temporary Site - Community Health Development ...,611 Thornton St,Cotulla,TX,78014,La Salle
Lone Star Circle of Care,100 Main St,Encinal,TX,78019-2005,La Salle
Lone Star Circle of Care at Bastrop,651 N Baylor,Cotulla,TX,78014-3165,La Salle
Lone Star Circle of Care at Ben White Health C...,200 Evans St,Uvalde,TX,78801-5142,Uvalde
Lone Star Circle of Care at Ben White Health C...,205 E University Ave STE 200,Georgetown,TX,78626-6821,Williamson
Lone Star Circle of Care at Cedar Park,605 Old Austin Hwy,Bastrop,TX,78602-5034,Bastrop
Lone Star Circle of Care at Collinfield,1221 W Ben White Blvd STE 200B,Austin,TX,78704-7002,Travis
Lone Star Circle of Care at El Buen Samaritano,1221 W Ben White Blvd STE B100,Austin,TX,78704-7192,Travis
Lone Star Circle of Care at Georgetown Dental,1221 W Ben White Blvd STE B300,Austin,TX,78704-7192,Travis
Lone Star Circle of Care at Georgetown Women's...,1401 Medical Pkwy STE 311,Cedar Park,TX,78613-5014,Williamson
Lone Star Circle of Care at GISD - Richarte,8913 Collinfield Dr UNIT 1,Austin,TX,78758-6704,Travis
Lone Star Circle of Care at Houston Museum Dis...,7000 Woodhue Dr BLDG B,Austin,TX,78745-5454,Travis
Lone Star Circle of Care at Hutto,2411 Williams Dr STE 111,Georgetown,TX,78628-3268,Williamson
Lone Star Circle of Care at Jonestown,1900 Scenic Dr STE 3326,Georgetown,TX,78626-7876,Williamson
Lone Star Circle of Care at Killeen,2295 N Austin Ave,Georgetown,TX,78626-4514,Williamson
Lone Star Circle of Care at Lake Aire Medical ...,1200 Binz St STE 270,Houston,TX,77004-6925,Harris
Lone Star Circle of Care at Marble Falls,123 Ed Schmidt Blvd STE 140,Hutto,TX,78634-5586,Williamson
Lone Star Circle of Care at Northwest Austin,"18220 FM 1431, Ste D",Leander,TX,78641-4043,Travis
Lone Star Circle of Care at Northwest Austin,2300 Clear Creek Rd STE 105,Killeen,TX,76549-4985,Bell
Lone Star Circle of Care at Northwest Austin,2423 Williams Dr,Georgetown,TX,78628-3200,Williamson
Lone Star Circle of Care at Oak Springs,802 Avenue J,Marble Falls,TX,78654-5125,Burnet
Lone Star Circle of Care at Pflugerville,11111 Research Blvd STE 295,Austin,TX,78759-5281,Travis
Lone Star Circle of Care at Round Rock Health ...,11111 Research Blvd STE 320,Austin,TX,78759-5732,Travis
Lone Star Circle of Care at Stassney,11111 Research Blvd STE 345,Austin,TX,78759-5794,Travis
Lone Star Circle of Care at Taylor,3000 Oak Springs Dr,Austin,TX,78702-2531,Travis
Lone Star Circle of Care at Temple,1501 W Pecan St STE 102,Pflugerville,TX,78660-2543,Travis
Lone Star Circle of Care at Texas A&amp;M Heal...,2120 N Mays St STE 430,Round Rock,TX,78664-2108,Williamson
Lone Star Circle of Care at Whitestone,730 W Stassney Ln STE 110,Austin,TX,78745-3032,Travis
Lone Star Circle of Care Behavioral Health at ...,1301 W 4th St,Taylor,TX,76574-2447,Williamson
Lone Star Circle of Care Mobile Mammography,"2112 SW H K Dodgen Loop, Ste 110",Temple,TX,76504-7011,Bell
Lone Star Circle of Care OB/GYN at MoPac North,3950 N A W Grimes Blvd,Round Rock,TX,78665-3540,Williamson
Lone Star Circle of Care OB/GYN at Round Rock,1730 E Whitestone Blvd STE 101,Cedar Park,TX,78613-7285,Williamson
Lone Star Circle of Care Pediatrics at Harker ...,775 Indian Trl STE 200,Harker Heights,TX,76548-7026,Bell
Lone Star Circle of Care Pediatrics at MoPac N...,2423 Williams Dr,Georgetown,TX,78628-3200,Williamson
Su Clinica - Administrative Annex,2300 Round Rock Ave STE 208,Round Rock,TX,78681-4026,Williamson
Su Clinica - Brownsville,200 Nola Ruth Blvd,Harker Heights,TX,76548-6074,Bell
Su Clinica - Harlingen,12201 Renfert Way STE 105,Austin,TX,78758-5362,Travis
Su Clinica - Santa Rosa Dental,4501 S Expressway 83,Harlingen,TX,78550-7953,Cameron
Su Clinica - Santa Rosa Medical,105 E Alton Gloor Blvd,Brownsville,TX,78526-3391,Cameron
Club Health Center of Vernon,131 Fm 3168,Raymondville,TX,78580-3605,Willacy
Community Healthcare Center - Denver Campus,122 FM 506,Santa Rosa,TX,78593,Cameron
Community Healthcare Center - Juarez Medical C...,TX-107 & La Feria Ave,Santa Rosa,TX,78593,Cameron
Community Healthcare Center at Vernon College ...,2015 Yamparika St,Vernon,TX,76384-6179,Wilbarger
