Site Name,Site Address,Site City,Site State,Site Zip Code,County
Ft. Duchesne Health Center,6932 E 1400 S,Fort Duchesne,UT,84026,Uintah
Mid-Valley Health Clinic,8446 S Harrison St,Midvale,UT,84047-3501,Salt Lake
Utah Partners for Health Dental Clinic,7651 S Main St,Midvale,UT,84047-7101,Salt Lake
Utah Partners for Health Family Health Clinics...,9103 S 1300 W STE 102,West Jordan,UT,84088-6709,Salt Lake
Utah Partners for Health Mobile Clinic,8446 S Harrison St,Midvale,UT,84047-3501,Salt Lake
Utah Partners for Health Mobile Eye Clinic,8446 S Harrison St,Midvale,UT,84047-3501,Salt Lake
"BEAR LAKE COMMUNITY HEALTH CENTER, INC.",325 W Logan Rd,Garden City,UT,84028-7754,Rich
Box Elder Communty Health Center,5 W 200 N,Brigham City,UT,84302-2109,Box Elder
Cache Valley Community Health Center,1515 N 400 E STE 104,North Logan,UT,84341-7595,Cache
Cache Valley Community Health Center South,517 W 100 N STE 210,Providence,UT,84332-9826,Cache
Cache Valley Community Health Center South,517 W 100 N STE 110,Providence,UT,84332-9826,Cache
Cache Valley Community Health Center South,517 W 100 N STE 225,Providence,UT,84332-9826,Cache
BRYCE VALLEY CLINIC,25 S Redrock Dr,Cannonville,UT,84718-8001,Garfield
"ENTERPRISE VALLEY MED CLINIC, INC.",223 S 200 E,Enterprise,UT,84725,Washington
GREEN RIVER MEDICAL CENTER,585 W Main St,Green River,UT,84525-7784,Emery
MIDTOWN COMMUNITY HEALTH CENTER,2240 Adams Ave,Ogden,UT,84401-1511,Weber
Midtown Community Health Center at James Madis...,2563 Monroe Blvd,Ogden,UT,84401-2513,Weber
Midtown Community Health Center Children's Clinic,5285 S 400 E STE A,Washington Terrace,UT,84405-7194,Weber
Midtown Community Health Center Davis County,22 S State St,Clearfield,UT,84015-1043,Davis
Midtown Community Health Center Hope,W 3300 S,Ogden,UT,84401,Weber
Midtown Community Health Center South Salt Lake,2253 S State St,South Salt Lake,UT,84115-2752,Salt Lake
Midtown Community Health Center South Salt Lake,60 E 3750 S,Salt Lake City,UT,84115-4428,Salt Lake
