Site Name,Site Address,Site City,Site State,Site Zip Code,County
FCI - Petersburg,1060 River Rd,North Prince George,VA,23860-1666,Prince George
HCHC Administrative Office,124 Newman Ave,Harrisonburg,VA,22801-4004,Harrisonburg City
HCHC Elkton,800 Shenandoah Ave STE 170,Elkton,VA,22827-3060,Rockingham
HCHC Park View,1479 Virginia Ave,Harrisonburg,VA,22802-2433,Harrisonburg City
HCHC Stone Port,1380 Little Sorrell Dr STE 100,Harrisonburg,VA,22801-7372,Harrisonburg City
Neighborhood Health Arlington Dental,2100 Washington Blvd,Arlington,VA,22204-5703,Arlington
Neighborhood Health at 2 East,2 E Glebe Rd,Alexandria,VA,22305-2938,Alexandria City
Neighborhood Health at Alexandria CSB,720 N Saint Asaph St,Alexandria,VA,22314-1912,Alexandria City
Neighborhood Health at Annandale Dental,7501 Little River Tpke STE G4,Annandale,VA,22003-2923,Fairfax
Neighborhood Health at Annandale Medical,6715 Little River Tpke STE 201,Annandale,VA,22003-3546,Fairfax
Neighborhood Health at Arlington CSB,2120 Washington Blvd,Arlington,VA,22204-5718,Arlington
Neighborhood Health at Martha Custis Drive,"1225 Martha Custis Dr, Ste C1",Alexandria,VA,22302-2040,Alexandria City
Neighborhood Health at Merrifield Center,8221 Willow Oaks Corporate Dr STE 450,Fairfax,VA,22031-4512,Fairfax
Neighborhood Health at Merrifield Center Lower...,8221 Willow Oaks Corporate Dr,Fairfax,VA,22031-4512,Fairfax
Neighborhood Health at Richmond Highway,6677 Richmond Hwy,Alexandria,VA,22306-6647,Fairfax
Neighborhood Health at Sherwood Hall Lane,2616 Sherwood Hall Ln STE 106,Alexandria,VA,22306-3154,Fairfax
Neighborhood Health at South County Center,8350 Richmond Hwy STE 301,Alexandria,VA,22309-2344,Fairfax
Neighborhood Health at the Casey Clinic,1200 N Howard St,Alexandria,VA,22304-1634,Alexandria City
Neighborhood Health at the Gartlan Mental Heal...,8119 Holland Rd,Alexandria,VA,22306-3135,Fairfax
Neighborhood Health at the WOW Bus,2 E Glebe Rd,Alexandria,VA,22305-2938,Alexandria City
Neighborhood Health Joseph Willard Dental,3750 Old Lee Hwy,Fairfax,VA,22030-1806,Fairfax City
Neighborhood Health King Street Dental,4480 King St,Alexandria,VA,22302-1339,Alexandria City
Neighborhood Health Mark Center Drive,4850 Mark Center Dr STE 3113,Alexandria,VA,22311-1882,Alexandria City
Neighborhood Health South County Dental,8350 Richmond Hwy STE 233,Alexandria,VA,22309-2344,Fairfax
Bassett Family Practice,324 T B Stanley Hwy,Bassett,VA,24055-6108,Henry
MHC Coalition Admin,29 Jones St,Martinsville,VA,24112-2716,Martinsville City
MHC Dental Clinic,23 Fayette St,Martinsville,VA,24112-2703,Martinsville City
MHC Mobile Unit,4944 Greensboro Rd,Ridgeway,VA,24148-3390,Henry
Ridgeway Family Health,4944 Greensboro Rd,Ridgeway,VA,24148-3390,Henry
48th Street Physicians,4714 Marshall Ave,Newport News,VA,23607-2247,Newport News City
Chesapeake Community Health Center,490 Liberty St,Chesapeake,VA,23324-2618,Chesapeake City
COMMUNITY DENTAL SERVICES,1033 28th St,Newport News,VA,23607-4233,Newport News City
EAST END PHYSICIANS,1033 28th St,Newport News,VA,23607-4233,Newport News City
East End Physicians,1033 28th St,Newport News,VA,23607-4233,Newport News City
Franklin Community Health Center,1357 Armory Dr,Franklin,VA,23851-2419,Franklin City
Main Street Physicians,157 N Main St STE A,Suffolk,VA,23434-4565,Suffolk City
Southeastern Virginia Health System @ Four Oak...,7401 Warwick Blvd,Newport News,VA,23607-1515,Newport News City
Southeastern Virginia Health System @ Hampton ...,300 Medical Dr,Hampton,VA,23666-1765,Hampton City
STONEYBROOK PHYSICIANS,15425 Warwick Blvd STE H,Newport News,VA,23608-1579,Newport News City
Virginia Beach Family Medical Center,940 General Booth Blvd,Virginia Beach,VA,23451-4861,Virginia Beach City
Virginia Beach Family Medical Center,936 General Booth Blvd,Virginia Beach,VA,23451-4862,Virginia Beach City
Virginia Beach Housing Resource Center Health ...,104 N Witchduck Rd,Virginia Beach,VA,23462-6506,Virginia Beach City
Warwick Boulevard Physicians,9294 Warwick Blvd,Newport News,VA,23607-1535,Newport News City
CRAIG COUNTY DENTAL CENTER,230 Market St,New Castle,VA,24127-6080,Craig
CRAIG COUNTY HEALTH CENTER,226 Market St,New Castle,VA,24127-6080,Craig
CRAIG COUNTY WELLNESS CENTER,25239 Craigs Creek Rd,New Castle,VA,24127-6223,Craig
Health Centers of the Piedmont - Chatham,30 S Main St,Chatham,VA,24531-5436,Pittsylvania
PATHS Community Dental Center - Danville,501 Rison St STE 110,Danville,VA,24541-2426,Danville City
PATHS Community Medical Center - Boydton,380 Washington St,Boydton,VA,23917-3415,Mecklenburg
PATHS Community Medical Center - Danville,705 Main St,Danville,VA,24541-1803,Danville City
PATHS Community Medical Center - South Boston,1627 Seymour Dr,South Boston,VA,24592-3447,Halifax
PATHS Community Medical Center – Danville Rive...,336 Old Riverside Dr,Danville,VA,24541-3454,Danville City
PATHS Community Medical Center- Martinsville,287 Commonwealth Blvd W,Martinsville,VA,24112-1820,Martinsville City
PATHS Community Pharmacy,1049 Brookdale St STE A,Martinsville,VA,24112-3972,Martinsville City
PATHS Community Pharmacy - Danville,133 S Ridge St Bldg,Danville,VA,24541-1313,Danville City
PATHS George Washington High School Based Heal...,701 Broad St,Danville,VA,24541-2627,Danville City
PATHS SBSS Mobile Unit,705 Main St,Danville,VA,24541-1803,Danville City
"Piedmont Access To Health Services, Inc. Admin...",116 S Ridge St,Danville,VA,24541-1314,Danville City
