Site Name,Site Address,Site City,Site State,Site Zip Code,County
Battenkill Valley Health Center Inc.,9 Church St,Arlington,VT,05250-4457,Bennington
"Battenkill Valley Health Center, Inc.",18 Church St,Arlington,VT,05250-4457,Bennington
Allen Pond Community Health Center,71 Allen St STE 403,Rutland,VT,05701-4570,Rutland
Brandon Medical Center,420 Grove St,Brandon,VT,05733-9062,Rutland
Castleton Family Health Center/CHCRR Admin,275 Route 30 N,Bomoseen,VT,05732-9647,Rutland
CHCRR Administration,71 Allen St,Rutland,VT,05701-4570,Rutland
CHCRR Financial Services,71 Allen St STE 402,Rutland,VT,05701-4570,Rutland
CHCRR Pediatric Dental,69 Allen St STE 7,Rutland,VT,05701-4564,Rutland
CHCRR Pediatrics,1 General Wing Rd,Rutland,VT,05701-4681,Rutland
CHCRR Shoreham Family Health Center,2987 Vt Route 22A,Shoreham,VT,05770-9728,Addison
Community Dental,"69 Allen St, Ste 10",Rutland,VT,05701-4564,Rutland
Community Health North Main Street,231 N Main St,Rutland,VT,05701-2412,Rutland
Mettowee Valley Family Health Center,278 Vt Route 149,West Pawlet,VT,05775-9798,Rutland
Rutland Community Health Center,215 Stratton Rd,Rutland,VT,05701-4621,Rutland
Johnson Elementary School,57 College Hl,Johnson,VT,05656-9746,Lamoille
Lamoille Health Behavioral Health &amp; Wellness,607 Washington Hwy,Morrisville,VT,05661-8652,Lamoille
Lamoille Health Family Dentistry,66 Morrisville Plz,Morrisville,VT,05661-4482,Lamoille
Lamoille Health Family Medicine - Morrisville,609 Washington Hwy,Morrisville,VT,05661-8652,Lamoille
Lamoille Health Family Medicine - Stowe,1878 Mountain Rd STE 3,Stowe,VT,05672-4775,Lamoille
Chester Dental Center,55 VT-11,Chester,VT,05143-9280,Windsor
Dr. Delores Barbeau Mobile Unit,100 River St,Springfield,VT,05156-2930,Windsor
Edgar May Health and Recreation Center,140 Clinton St,Springfield,VT,05156-3304,Windsor
Elm Hill School Health Center,10 Hoover St,Springfield,VT,05156-2425,Windsor
Lane Eye Associates,441 River St,North Springfield,VT,05150-9756,Windsor
Ludlow Dental,8 Main St,Ludlow,VT,05149-1106,Windsor
Ludlow Health Center,1 Elm St,Ludlow,VT,05149-1301,Windsor
Mountain Valley Health Center,38 Vt Route 11,Londonderry,VT,05148-9555,Windham
Riverside Middle School Health Center,13 Fairground Rd,Springfield,VT,05156-2112,Windsor
Rockingham Health Center,1 Hospital Ct,Bellows Falls,VT,05101-1489,Windham
Springfield Health Center,100 River St,Springfield,VT,05156-2930,Windsor
Springfield High School Health Center,303 South St,Springfield,VT,05156-3226,Windsor
Union Street School Health Center,43 Union St,Springfield,VT,05156-3133,Windsor
Bethel Health Center,1823 Vt Rte 107 Uppr Level,Bethel,VT,05032-9324,Windsor
Braintree Elementary School,66 Bent Hill Rd Rm 118,Braintree,VT,05060-8810,Orange
Brookfield Elementary School,1728 Ridge Rd Rm 12,Brookfield,VT,05036-9778,Orange
Chelsea Health Center,356 Vt Rte 110,Chelsea,VT,05038-8993,Orange
Gifford Health Center at Berlin,2418 Airport Rd STE 1,Barre,VT,05641-8702,Washington
Gifford OB/GYN and Midwifery,44 S Main St STE 1,Randolph,VT,05060-1381,Orange
Gifford Pediatric and Adolescent Medicine,40 S Main St,Randolph,VT,05060-1377,Orange
