Site Name,Site Address,Site City,Site State,Site Zip Code,County
ICE - Tacoma Northwest Detention Center,1623 E J St Apt Su,Tacoma,WA,98421-1602,Pierce
Airway Heights Corrections Center,11919 W Sprague Ave,Airway Heights,WA,99001,Spokane
Special Committment Center,1715 Lafayette St,Steilacoom,WA,98388-1327,Pierce
Clallam Bay Corrections Center,1830 Eagle Crest Way,Clallam Bay,WA,98326-9724,Clallam
Coyote Ridge Corrections Center,1301 N Ephrata Ave,Connell,WA,99326-9601,Franklin
Stafford Creek Correctional Center,191 Constantine Way,Aberdeen,WA,98520-9504,Grays Harbor
Washington Corrections Center,2321 W Dayton Airport Rd,Shelton,WA,98584-6319,Mason
Washington Corrections Center for Women (WCCW),9601 Bujacich Rd NW,Gig Harbor,WA,98332-8300,Pierce
Washington State Penitentiary,1313 N 13th Ave,Walla Walla,WA,99362-8817,Walla Walla
SKYLINE MEDICAL CLINIC,212 NE Skyline Dr,White Salmon,WA,98672-1948,Klickitat
ASTRIA URGENT CARE CENTER,355 Chardonnay Ave,Prosser,WA,99350-9521,Benton
CONFLUENCE HEALTH BREWSTER,418 W Main Ave,Brewster,WA,98812,Okanogan
ASTRIA HEALTH CENTER,2705 E Lincoln Ave,Sunnyside,WA,98944-4006,Yakima
PROVIDENCE NORTHEAST WASHINGTON MEDICAL GROUP,1200 E Columbia Ave,Colville,WA,99114-3354,Stevens
CAROLYN DOWNS FAMILY MED CENTER,2101 E Yesler Way,Seattle,WA,98122-5959,King
COUNTRY DOCTOR COMMUNITY CLINIC,500 19th Ave E,Seattle,WA,98112-4007,King
Country Doctor Dental Clinic,510 19th Ave E,Seattle,WA,98112-4095,King
Meany Middle School - School Based Health Center,301 21st Ave E,Seattle,WA,98112-5318,King
Nova High School - School Based Health Center,2410 E Cherry St,Seattle,WA,98122-4832,King
Seattle STEP Clinic at the Hepatitis Education...,1621 S Jackson St STE 201,Seattle,WA,98144-2277,King
TCCH - Administration,800 W Court St,Pasco,WA,99301-4175,Franklin
TCCH - Mobile Unit #1,515 W Court St,Pasco,WA,99301-3737,Franklin
TCCH - Mobile Unit #2,515 W Court St,Pasco,WA,99301-3737,Franklin
TCCH Basin City - WIC,6950 Road 170,Mesa,WA,99343-9737,Franklin
TCCH Kennewick – Amistad Elementary SBHC,830 W Vineyard Dr,Kennewick,WA,99336-5579,Benton
TCCH Kennewick – Behavioral Health,3180 W Clearwater Ave STE E,Kennewick,WA,99336-2765,Benton
TCCH Kennewick – Medical &amp; Dental,3180 W Clearwater Ave STE A,Kennewick,WA,99336-2765,Benton
TCCH Kennewick – Pediatric Endocrinology &amp;...,721 S Auburn St,Kennewick,WA,99336-5629,Benton
"TCCH Pasco – Dental, Behavioral Health &amp; WIC",715 W Court St,Pasco,WA,99301-4153,Franklin
"TCCH Pasco – Medical, Pharmacy &amp; Optometry",515 W Court St,Pasco,WA,99301-3737,Franklin
TCCH Pasco – Ochoa Middle School SBHC,1801 E Sheppard St,Pasco,WA,99301-3567,Franklin
TCCH Richland - Medical,829 Goethals Dr,Richland,WA,99352-3529,Benton
TCCH Richland – Endocrinology &amp; Diabetes C...,915 Goethals Dr,Richland,WA,99352-3527,Benton
11th Avenue Family Medicine Clinic,314 S 11th Ave STE A,Yakima,WA,98902-3212,Yakima
Access Central Pharmacy,2601 Commerce Ln,Yakima,WA,98901-5801,Yakima
Behavioral Health Services,918 E Mead Ave,Yakima,WA,98903-3720,Yakima
Behavioral Health Services on 12th Avenue,307 S 12th Ave,Yakima,WA,98902-3100,Yakima
CHILDREN&#39;S VILLAGE-UPPER VALLEY,3801 Kern Way,Yakima,WA,98902-6340,Yakima
Columbia Basin Pediatric Dentistry,7501 W Deschutes Pl,Kennewick,WA,99336-7719,Benton
Community Dental Care,1721 E Lincoln Ave,Sunnyside,WA,98944-2478,Yakima
Dentistry for Kids,2611 S Quillan Pl,Kennewick,WA,99338-1899,Benton
FAMILY MEDICAL CENTER,1120 W Rose St,Walla Walla,WA,99362-1662,Walla Walla
Granger Family Medicine Clinic,115 Sunnyside Ave STE A,Granger,WA,98932-9348,Yakima
Immediate Care,2680 Yakima Valley Hwy STE B,Sunnyside,WA,98944-1242,Yakima
LINCOLN AVE Medical-Dental Clinic,2205 W Lincoln Ave,Yakima,WA,98902-2437,Yakima
MIRAMAR HEALTH CENTER,1608 Road 44,Pasco,WA,99301-2667,Franklin
Miramar Health Center Kennewick,6351 W Rio Grande Ave,Kennewick,WA,99336-7634,Benton
MOUNTAINVIEW WOMEN'S HEALTH CENTER,240 Division St,Grandview,WA,98930-1357,Yakima
Unify Community Health,120 W Mission Ave,Spokane,WA,99201-2358,Spokane
"Unify Community Health, Northeast",4001 N Cook St,Spokane,WA,99207-5879,Spokane
Valley Vista Medical Group,"820 Memorial St, Ste 1",Prosser,WA,99350-2504,Benton
Wapato Mid-Valley Clinic,620 W 1st St,Wapato,WA,98951-1108,Yakima
West Valley Family Health &amp; OB/GYN,5109 Summitview Ave,Yakima,WA,98908-2858,Yakima
"Yakima Administration, Terrace Heights",601 N Keys Rd,Yakima,WA,98901-1172,Yakima
Yakima Valley Farm Workers Dental Clinic at th...,1120 S 18th St RM 150,Yakima,WA,98901-3654,Yakima
YVFWC - TOPPENISH,510 W 1st Ave,Toppenish,WA,98948-1564,Yakima
YVFWC Dental Mobile Unit #3,601 N Keys Rd,Yakima,WA,98901-1172,Yakima
YVFWC GRANDVIEW CLINIC,1000 Wallace Way,Grandview,WA,98930-8805,Yakima
YVFWC MOBILE DENTAL UNIT #2,601 N Keys Rd,Yakima,WA,98901-1172,Yakima
YVFWC MOBILE DENTAL UNIT #4,601 N Keys Rd,Yakima,WA,98901-1172,Yakima
YVFWC MOBILE MEDICAL-DENTAL,601 N Keys Rd,Yakima,WA,98901-1172,Yakima
YVFWC Toppenish Data Center,603 W 4th Ave,Toppenish,WA,98948-1617,Yakima
YVFWC YAKIMA CLINIC,602 E Nob Hill Blvd,Yakima,WA,98901-3534,Yakima
CONFLUENCE HEALTH EAST WENATCHEE,100 Highline Dr,East Wenatchee,WA,98802-5341,Douglas
ACRS,3639 Martin Luther King Jr Way S,Seattle,WA,98144-6847,King
