Site Name,Site Address,Site City,Site State,Site Zip Code,County
Whole Hlth Clinical Group/Milwaukee Ctr for In...,932 S 60th St,Milwaukee,WI,53214-3369,Milwaukee
Access Clinic - Milwaukee County Behavioral He...,9455 Watertown Plank Rd,Milwaukee,WI,53226-3559,Milwaukee
FCI-Oxford,350 Elk Ave,Oxford,WI,53952-9611,Adams
Beloit Area Community Health Center,74 Eclipse Ctr,Beloit,WI,53511-3550,Rock
Beloit Area Community Health Center Behavioral...,55 Eclipse Ctr,Beloit,WI,53511-3550,Rock
Darlington Area Community Health Center,435 Main St,Darlington,WI,53530-1427,Lafayette
ELROY FAMILY MEDICAL CENTER,1515 Academy St,Elroy,WI,53929-1011,Juneau
ESSENTIA HEALTH HAYWARD CLINIC,11134 N State Road 77,Hayward,WI,54843-5325,Sawyer
ESSENTIA HEALTH SPOONER CLINIC,1180 Chandler Dr,Spooner,WI,54801-2204,Washburn
Family Health Center - Administration,1000 N Oak Ave,Marshfield,WI,54449-5703,Wood
FAMILY HEALTH CENTER - BLACK RIVER FALLS DENTA...,N6571 Lumberjack Guy Rd,Black River Falls,WI,54615-5405,Jackson
FAMILY HEALTH CENTER - DENTAL ADMINISTRATION,113 Miner Ave W,Ladysmith,WI,54848-1721,Rusk
Family Health Center - Ladysmith Alcohol and D...,200 W 5th St S,Ladysmith,WI,54848-1703,Rusk
Family Health Center - Marshfield Alcohol and ...,630 S Central Ave,Marshfield,WI,54449-4138,Wood
Family Health Center - Marshfield Primary Care...,630 S Central Ave STE 600B,Marshfield,WI,54449-4138,Wood
Family Health Center - Minocqua Alcohol & Drug...,9792 Sth 70,Minocqua,WI,54548-8747,Oneida
FAMILY HEALTH CENTER-CHIPPEWA FALLS DENTAL CENTER,850 Lakeland Dr,Chippewa Falls,WI,54729-1687,Chippewa
FAMILY HEALTH CENTER-LADYSMITH DENTAL CENTER,315 Miner Ave W,Ladysmith,WI,54848-1725,Rusk
FAMILY HEALTH CENTER-MARSHFIELD DENTAL CENTER,1307 N Saint Joseph Ave,Marshfield,WI,54449-1340,Wood
FAMILY HEALTH CENTER-MEDFORD DENTAL CENTER,843 W Broadway Ave,Medford,WI,54451-1307,Taylor
Family Health Center-Menomonie Dental Center,404 Red Cedar St,Menomonie,WI,54751-2332,Dunn
