Site Name,Site Address,Site City,Site State,Site Zip Code,County
FCI - Beckley,1600 Industrial Park Rd,Beaver,WV,25813-9529,Raleigh
FCI - Gilmer,201 Fci Ln,Glenville,WV,26351-9500,Gilmer
FCI - McDowell,101 Federal Dr,Welch,WV,24801-9756,McDowell
DENTAL CENTER OF TAYLOR COUNTY,711 N Pike St,Grafton,WV,26354-1221,Taylor
EGLON CLINIC,2604 Grange Hall Rd,Eglon,WV,26716-8774,Preston
Mountaintop Dental Center,132 Cortland Acres Ln,Thomas,WV,26292-8070,Tucker
Mountaintop Health Center,30 Cortland Acres Ln,Thomas,WV,26292-8066,Tucker
MT. STORM HEALTH CENTER,14311 George Washington Hwy,Mount Storm,WV,26739-8757,Grant
Newburg Clinic,PO BOX 159,Newburg,WV,26410-0159,Preston
PRESTON-TAYLOR COMMUNITY HEALTH,725 N Pike St,Grafton,WV,26354-1270,Taylor
Preston-Taylor Pharmacy,25 W Bluemont St,Grafton,WV,26354-1242,Taylor
Rowlesburg Clinic,83 Poplar St,Rowlesburg,WV,26425-1124,Preston
"William R. Sharpe, Jr. Hospital",936 Sharpe Hospital Rd,Weston,WV,26452-8550,Lewis
COMMUNITY HEALTH SYSTEMS,252 Rural Acres Dr,Beckley,WV,25801-3503,Raleigh
MONONGAHELA VALLEY ASSOCIATION OF HEALTH CENTE...,1322 Locust Ave,Fairmont,WV,26554-1436,Marion
VALLEY HEALTH - 10TH STREET,540 10th St,Huntington,WV,25701-2217,Cabell
VALLEY HEALTH - A WOMAN'S PLACE,1630 13th Ave,Huntington,WV,25701-3812,Cabell
VALLEY HEALTH - CABELL MIDLAND HIGH SCHOOL,2300 US Route 60,Ona,WV,25545-9712,Cabell
VALLEY HEALTH - CARL JOHNSON,307 5th Ave,Huntington,WV,25702-1815,Cabell
VALLEY HEALTH - EAST HUNTINGTON,3377 US Route 60,Huntington,WV,25705-2837,Cabell
VALLEY HEALTH - ENT,3 Stonecrest Dr,Huntington,WV,25701-9392,Cabell
Valley Health - FoodFair Route 60,6350 US Route 60 E,Barboursville,WV,25504-1232,Cabell
VALLEY HEALTH - FORT GAY,71 Wayne St,Fort Gay,WV,25514-8518,Wayne
VALLEY HEALTH - HARTS,22 Fleming Dr,Harts,WV,25524-9788,Lincoln
VALLEY HEALTH - HARTS INTERMEDIATE SCHOOL,1246 Mcclellan Hwy,Harts,WV,25524-9524,Lincoln
VALLEY HEALTH - HIGHLAWN,2585 3rd Ave,Huntington,WV,25703-1642,Cabell
VALLEY HEALTH - HUNTINGTON,1301 Hal Greer Blvd,Huntington,WV,25701-3803,Cabell
VALLEY HEALTH - HUNTINGTON HIGH SCHOOL,1 Highlander Way,Huntington,WV,25701-5261,Cabell
VALLEY HEALTH - HURRICANE,3729 Teays Valley Rd STE 100,Hurricane,WV,25526-9705,Putnam
VALLEY HEALTH - MILTON AT HARBOUR WAY,1 Harbour Way,Milton,WV,25541-1545,Cabell
Valley Health - Point Pleasant Fruth,2501 Jackson Ave,Point Pleasant,WV,25550-2035,Mason
VALLEY HEALTH - POINT PLEASANT PEDIATRICS,2801 Jackson Ave,Point Pleasant,WV,25550-1713,Mason
VALLEY HEALTH - SOUTHSIDE,723 9th Ave,Huntington,WV,25701-2718,Cabell
VALLEY HEALTH - SOUTHSIDE ELEMENTARY/HUNTINGTO...,10th Ave & 3rd St,Huntington,WV,25701,Cabell
VALLEY HEALTH - SPRING VALLEY HIGH SCHOOL,1 Timberwolf Ln,Huntington,WV,25704-9377,Wayne
VALLEY HEALTH - STEPPTOWN,3 Adena Dr,Kermit,WV,25674-8063,Wayne
VALLEY HEALTH - TEAYS VALLEY,1100 Hospital Dr,Hurricane,WV,25526-8712,Putnam
VALLEY HEALTH - UPPER KANAWHA,408 Alexander St,Cedar Grove,WV,25039,Kanawha
Valley Health - Wayne,42 Mcginnis Dr,Wayne,WV,25570-9553,Wayne
VALLEY HEALTH - WAYNE HIGH SCHOOL,100 Pioneer Rd,Wayne,WV,25570-9504,Wayne
VALLEY HEALTH - WESTMORELAND,2908 Auburn Rd,Huntington,WV,25704-2715,Wayne
Valley Health Mobile Unit,4270 US Route 60,Huntington,WV,25705-2936,Cabell
Valley Health Pea Ridge,4270 US Route 60,Huntington,WV,25705-2936,Cabell
Valley Health- KidCare,4407 Maccorkle Ave SE BLDG,Charleston,WV,25304-2541,Kanawha
VALLEY HEALTH- MILTON,1347 Hillview Dr,Milton,WV,25541-1513,Cabell
Valley Health- Oakwood Road,864 Oakwood Rd,Charleston,WV,25314-2010,Kanawha
Valley Health- Pea Ridge,5636 US Route 60,Huntington,WV,25705-2148,Cabell
Valley Health- Teays Pediatrics,111 Great Teays Blvd,Scott Depot,WV,25560-9548,Putnam
Valley Health- Woodruff &amp; Gonzales Dental,1319 Hal Greer Blvd,Huntington,WV,25701-3803,Cabell
WHEELING HEALTH RIGHT CENTER,61 29th St,Wheeling,WV,26003-4161,Ohio
ABU Wellness Center,101 College Hill Dr,Philippi,WV,26416-4600,Barbour
Belington Medical Clinic,70 N Sturmer St,Belington,WV,26250-7403,Barbour
Brandon Wellness Center,99 Horseshoe Dr,Philippi,WV,26416-0059,Barbour
Myers Clinic,116 McClellan Rd,Philippi,WV,26416-8076,Barbour
The Myers Clinic,3 Healthcare Dr,Philippi,WV,26416-9405,Barbour
BOONE MEMORIAL HOSPITAL MEDICAL CLINIC,660A S Main St,Madison,WV,25130-1245,Boone
Cabin Creek Health Administration,104 Alex Ln,Charleston,WV,25304-2952,Kanawha
"CABIN CREEK HEALTH CENTER, INC.",Route 79,Dawes,WV,25054-0070,Kanawha
CCHS Mobile Health Clinic,104 Alex Ln,Charleston,WV,25304-2952,Kanawha
Clendenin Health Center,107 Koontz Ave STE 200,Clendenin,WV,25045-9581,Kanawha
Cubs Wellness Center/Sharon Dawes Elementary,4933 Cabin Creek Rd,Miami,WV,25134-5000,Kanawha
Elk River Health Center,5120 Elk River Rd N,Elkview,WV,25071-9722,Kanawha
Herbert Hoover Health Center,275 Elk River Rd S,Clendenin,WV,25045-9716,Kanawha
Indian Health Center,6100 Sissonville Dr,Charleston,WV,25312-9444,Kanawha
Kanawha City Health Center,4602 Maccorkle Ave SE,Charleston,WV,25304-1848,Kanawha
Pioneer Health Center,1st Ave & Brannon St,East Bank,WV,25067,Kanawha
RIVERSIDE HEALTH CENTER,"1 Warrior Way, Ste 103",Belle,WV,25015-1356,Kanawha
Sissonville Health Center,6135 Sissonville Dr,Charleston,WV,25312-9444,Kanawha
Sunnyside Health Center,108 Lee St E STE 129,Charleston,WV,25301-1506,Kanawha
CHC OF NORTHEASTERN WETZEL CTY,60 May Ln STE 102,Burton,WV,26562-9669,Wetzel
CLAY-BATTELLE COMMUNITY HEALTH CENTER,5861 Mason Dixon Hwy,Blacksville,WV,26521-8300,Monongalia
Community Health Center of Northeastern Wetzel...,1855 Hornet Hwy,Burton,WV,26562,Wetzel
Bobcat Health Center,8130 Court Ave,Hamlin,WV,25523-1434,Lincoln
CRHS Tiger Center for Health,506 Crawley Creek Rd,Chapmanville,WV,25508-7002,Logan
Dennis' Pharmacy,6 1st St,Hamlin,WV,25523-1179,Lincoln
Downtown Brewer Building,339 Walnut St,Hamlin,WV,25523-1405,Lincoln
Downtown Hamlin Old Town Hall Rental,361 Walnut St,Hamlin,WV,25523-1405,Lincoln
Downtown Turley Building,351 Walnut St,Hamlin,WV,25523-1405,Lincoln
Duval Middle School Health Center,5304 Straight Frk,Griffithsville,WV,25521-9504,Lincoln
Guyan Valley Wellness Center,5322 Mcclellan Hwy,Branchland,WV,25506-8725,Lincoln
