Site Name,Site Address,Site City,Site State,Site Zip Code,County
Community Health Center of Central Wyoming,5000 Blackmore Rd,Casper,WY,82609-3345,Natrona
Community Health Center of Central Wyoming - R...,1035 Rose Ln BLDG,Riverton,WY,82501-2286,Fremont
DUBOIS MEDICAL CLINIC,5647 US Highway 26,Dubois,WY,82513-9607,Fremont
Fremont County Pediatrics and Community Health,8185 State Highway 789,Lander,WY,82520-2942,Fremont
Evanston Community Health Center,75 Yellow Creek Rd STE 102,Evanston,WY,82930-5205,Uinta
Rock Springs Community Health Center,2620 Commercial Way,Rock Springs,WY,82901-4671,Sweetwater
Ag Worker Health &amp; Services,212 E 6th St,Powell,WY,82435-1909,Park
Cheyenne Health and Wellness  Center 1C,2508 E Fox Farm Rd # 1C,Cheyenne,WY,82007-2559,Laramie
CHEYENNE HEALTH AND WELLNESS CENTER,2508 E Fox Farm Rd STE 1-1A,Cheyenne,WY,82007-2559,Laramie
Mobile Van1F550,2508 E Fox Farm Rd STE 1A,Cheyenne,WY,82007-2559,Laramie
MobileVan2-Mercedes,2508 E Fox Farm Rd STE 1A,Cheyenne,WY,82007-2559,Laramie
MobileVan3E350,2508 E Fox Farm Rd STE 1A,Cheyenne,WY,82007-2559,Laramie
Community Action of Laramie County,1920 Evans Ave,Cheyenne,WY,82001-3716,Laramie
Crossroads Healthcare Clinic,100 Central Ave STE 173,Cheyenne,WY,82007-1330,Laramie
Crossroads Healthcare Mobile Clinic,100 Central Ave,Cheyenne,WY,82007-1330,Laramie
WIND RVR FAM & COMM HLTH CARE,14 Great Plains Rd,Arapahoe,WY,82510-9144,Fremont
Wind River Cares-Ethete,510 Ethete Rd,Lander,WY,82520,Fremont
One Health - Greybull,444 Greybull Ave,Greybull,WY,82426-2037,Big Horn
One Health - Lovell,229 E Main St,Lovell,WY,82431-2101,Big Horn
One Health - Mobile Medical Van,128 N Bent St,Powell,WY,82435-2712,Park
One Health - Powell,128 N Bent St,Powell,WY,82435-2712,Park
One Health - Powell BH,130 N Bent St STE B,Powell,WY,82435-2742,Park
One Health - Powell Viral,126 N Bent St,Powell,WY,82435-2712,Park
One Health - Sheridan,201 E 5th St,Sheridan,WY,82801-3658,Sheridan
CASTLE ROCK HOSPITAL DISTRICT,1400 Uinta Dr,Green River,WY,82935-5060,Sweetwater
GLENROCK HEALTH CENTER,PO BOX 786,Glenrock,WY,82637-0786,Converse
BIG HORN CLINIC,156 S 6th St,Basin,WY,82410-9535,Big Horn
Central Wyoming Rescue Mission,230 N Park St,Casper,WY,82601-2042,Natrona
Community Action Partnership of Natrona County,606 S David St,Casper,WY,82601-3191,Natrona
HEALTH CARE FOR THE HOMELESS,1514 E 12th St UNIT 201,Casper,WY,82601-4080,Natrona
Healthcare for the Homeless - Mobile,1514 E 12th St UNIT 201,Casper,WY,82601-4080,Natrona
Albany Community Health Clinic,1174 N 22nd St,Laramie,WY,82072-5401,Albany
University of Wyoming Family Medicine Residenc...,1522 E A St,Casper,WY,82601-2254,Natrona
University of Wyoming Family Medicine Residenc...,821 E 18th St,Cheyenne,WY,82001-4775,Laramie
Wind River Cares-Riverton,511 N 12th St E,Riverton,WY,82501-3809,Fremont
"HOT SPRINGS HEALTH, RRFP-WORLAND",1125 Charles Ave,Worland,WY,82401-4021,Washakie
RAWHIDE RURAL HEALTH CLINIC,921 Ballancee Ave,Lusk,WY,82225-5245,Niobrara
Fort Washakie Health Center,29 Black Coal Dr,Fort Washakie,WY,82514,Fremont
RED ROCK FAMILY PRACTICE,120 N C Ave,Thermopolis,WY,82443-2410,Hot Springs
HULETT CLINIC,122 Main St,Hulett,WY,82720-5019,Crook
MOORCROFT CLINIC,208 N Bighorn Ave,Moorcroft,WY,82721-6201,Crook
SUNDANCE CLINIC,713 E Oak St,Sundance,WY,82729-5172,Crook
