,Age Chart-alias,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Psychosis Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,ATTR(State Population)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,39,44,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),578803,88.64,6.738043859482415,6.7,0.34
1,True,Wisconsin,450,513,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),5895908,87.72,7.632412174681152,7.6,0.64
2,True,West Virginia,148,160,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),1782959,92.50,8.300807814425346,8.3,0.8
3,True,Washington,643,709,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),7738692,90.69,8.30889767934943,8.3,0.82
4,True,Virginia,603,700,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),8642274,86.14,6.9773302721019945,7.0,0.46
5,True,Vermont,60,64,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),645570,93.75,9.294112179934013,9.3,0.96
6,True,Utah,253,282,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),3337975,89.72,7.579445621971405,7.6,0.62
7,True,Texas,2119,2357,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),29527941,89.90,7.17625384038799,7.2,0.5
8,True,Tennessee,459,519,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),6975218,88.44,6.580439493073908,6.6,0.22
9,True,South Dakota,59,68,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),895376,86.76,6.589410482300174,6.6,0.24
10,True,South Carolina,360,396,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),5190705,90.91,6.935474083000287,6.9,0.42
11,True,Rhode Island,51,61,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),1095610,83.61,4.654941083049626,4.7,0.02
12,True,Pennsylvania,933,1030,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),12964056,90.58,7.196821735419841,7.2,0.52
13,True,Oregon,367,408,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),4246155,89.95,8.643113593356814,8.6,0.86
14,True,Oklahoma,305,342,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),3986639,89.18,7.650554765555647,7.7,0.66
15,True,Ohio,910,1013,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),11780017,89.83,7.724946407123182,7.7,0.68
16,True,North Dakota,48,52,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),774948,92.31,6.193963982099444,6.2,0.16
17,True,North Carolina,727,823,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),10551162,88.34,6.890236355009997,6.9,0.4
18,True,New York,1188,1365,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),19835913,87.03,5.989136975948624,6.0,0.14
19,True,New Mexico,138,150,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),2115877,92.00,6.52211825167531,6.5,0.2
