,Age Chart-alias,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Psychosis Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,ATTR(State Population)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,57,66,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),578803,86.36,9.847910256166607,9.8,0.44
1,True,Wisconsin,583,768,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),5895908,75.91,9.888213995198026,9.9,0.46
2,True,West Virginia,242,305,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),1782959,79.34,13.572942507371174,13.6,0.96
3,True,Washington,780,1038,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),7738692,75.14,10.079222690346121,10.1,0.58
4,True,Virginia,774,1046,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),8642274,74.00,8.95597617016077,9.0,0.36
5,True,Vermont,68,91,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),645570,74.73,10.533327137258548,10.5,0.64
6,True,Utah,353,474,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),3337975,74.47,10.575273931051012,10.6,0.66
7,True,Texas,2404,3217,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),29527941,74.73,8.141441355494445,8.1,0.22
8,True,Tennessee,838,1090,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),6975218,76.88,12.013961427442124,12.0,0.84
9,True,South Dakota,93,115,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),895376,80.87,10.386697878879934,10.4,0.6
10,True,South Carolina,545,714,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),5190705,76.33,10.499537153430989,10.5,0.62
11,True,Rhode Island,70,103,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),1095610,67.96,6.389134819872035,6.4,0.06
12,True,Pennsylvania,1133,1539,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),12964056,73.62,8.739548795531276,8.7,0.32
13,True,Oregon,544,699,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),4246155,77.83,12.811590721488027,12.8,0.92
14,True,Oklahoma,566,743,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),3986639,76.18,14.197422941981955,14.2,1
15,True,Ohio,1308,1721,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),11780017,76.00,11.103549341227607,11.1,0.74
16,True,North Dakota,85,103,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),774948,82.52,10.968477884967765,11.0,0.72
17,True,North Carolina,887,1189,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),10551162,74.60,8.40665701085814,8.4,0.28
18,True,New York,1284,1856,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),19835913,69.18,6.473107640671745,6.5,0.08
19,True,New Mexico,176,232,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),2115877,75.86,8.318063857209092,8.3,0.26
20,True,New Jersey,553,790,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),9267130,70.00,5.96732753290393,6.0,0
21,True,New Hampshire,139,175,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),1388992,79.43,10.007257061235775,10.0,0.56
22,True,Nevada,278,369,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),3143991,75.34,8.842264497576489,8.8,0.34
23,True,Nebraska,195,256,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),1963692,76.17,9.930274197786618,9.9,0.48
24,True,Montana,118,151,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),1104271,78.15,10.685782747169853,10.7,0.68
25,True,Missouri,685,901,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),6168187,76.03,11.105370184140007,11.1,0.76
26,True,Mississippi,295,396,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),2949965,74.49,10.000118645475455,10.0,0.54
27,True,Minnesota,494,657,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),5707390,75.19,8.655444958203312,8.7,0.3
28,True,Michigan,1000,1327,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),10050811,75.36,9.94944587058696,9.9,0.5
29,True,Massachusetts,473,666,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),6984723,71.02,6.7719220934029885,6.8,0.1
30,True,Maryland,385,535,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),6165129,71.96,6.244800392660073,6.2,0.02
31,True,Maine,175,227,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),1372247,77.09,12.752806163904895,12.8,0.9
32,True,Louisiana,371,487,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),4624047,76.18,8.02327484993124,8.0,0.2
33,True,Kentucky,564,736,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),4509394,76.63,12.507223808786724,12.5,0.88
34,True,Kansas,350,460,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),2934582,76.09,11.92674118494559,11.9,0.82
35,True,Iowa,350,447,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),3193079,78.30,10.961207035591666,11.0,0.7
36,True,Indiana,825,1065,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),6805985,77.46,12.121684076588473,12.1,0.86
37,True,Illinois,967,1349,40,40.00,-89.25,-89.25,%null%,Breakdown by County (All Years),12671469,71.68,7.631317252956228,7.6,0.16
38,True,Idaho,181,250,44.0739,44.07,-114.542,-114.54,%null%,Breakdown by County (All Years),1900923,72.40,9.5216902525773,9.5,0.4
39,True,Hawaii,92,126,20.79,20.79,-156.34,-156.34,%null%,Breakdown by County (All Years),1441553,73.02,6.382006072617517,6.4,0.04
40,True,Georgia,986,1322,32.1598,32.16,-83.4715,-83.47,%null%,Breakdown by County (All Years),10799566,74.58,9.129996520230534,9.1,0.38
41,True,Florida,1799,2442,28.42,28.42,-81.55,-81.55,%null%,Breakdown by County (All Years),21781128,73.67,8.259443679868186,8.3,0.24
42,True,District of Columbia,67,94,38.91,38.91,-77,-77.00,%null%,Breakdown by County (All Years),670050,71.28,9.999253787030819,10.0,0.52
43,True,Delaware,80,135,38.6716,38.67,-75.4165,-75.42,%null%,Breakdown by County (All Years),1003384,59.26,7.973019302679732,8.0,0.18
44,True,Connecticut,265,410,41.6227,41.62,-72.7028,-72.70,%null%,Breakdown by County (All Years),3605597,64.63,7.349684393458283,7.3,0.14
45,True,Colorado,678,937,39,39.00,-105.5,-105.50,%null%,Breakdown by County (All Years),5812069,72.36,11.665381123314262,11.7,0.8
46,True,California,2663,3786,37.25,37.25,-119.75,-119.75,%null%,Breakdown by County (All Years),39237836,70.34,6.786816683774304,6.8,0.12
47,True,Arkansas,408,519,34.75,34.75,-92.5,-92.50,%null%,Breakdown by County (All Years),3025891,78.61,13.483631763338467,13.5,0.94
48,True,Arizona,697,928,34.5,34.50,-111.5,-111.50,%null%,Breakdown by County (All Years),7276316,75.11,9.57902323098667,9.6,0.42
49,True,Alaska,104,147,64,64.00,-150,-150.00,%null%,Breakdown by County (All Years),732673,70.75,14.194599773705322,14.2,0.98
50,True,Alabama,579,765,32.75,32.75,-86.75,-86.75,%null%,Breakdown by County (All Years),5039877,75.69,11.488375609166653,11.5,0.78
