,Age Chart-alias,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Psychosis Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,ATTR(State Population)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,403,525,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),578803,76.76,69.62645321465162,69.6,0.68
1,True,Wisconsin,3518,4703,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),5895908,74.80,59.66850229006287,59.7,0.42
2,True,West Virginia,1622,2027,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),1782959,80.02,90.97236672295887,91.0,0.98
3,True,Washington,5118,6916,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),7738692,74.00,66.13520734511724,66.1,0.58
4,True,Virginia,5121,6896,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),8642274,74.26,59.25523768397068,59.3,0.38
5,True,Vermont,405,542,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),645570,74.72,62.73525721455457,62.7,0.5
6,True,Utah,2476,3254,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),3337975,76.09,74.17670893281107,74.2,0.8
7,True,Texas,15985,21125,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),29527941,75.67,54.13516641746203,54.1,0.22
8,True,Tennessee,5292,6791,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),6975218,77.93,75.86859650838153,75.9,0.82
9,True,South Dakota,593,779,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),895376,76.12,66.22915959328817,66.2,0.6
10,True,South Carolina,3164,4169,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),5190705,75.89,60.95511110725807,61.0,0.46
11,True,Rhode Island,512,707,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),1095610,72.42,46.73195753963545,46.7,0.08
12,True,Pennsylvania,7422,10138,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),12964056,73.21,57.25060120073533,57.3,0.32
13,True,Oregon,3321,4315,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),4246155,76.96,78.21193526849585,78.2,0.84
14,True,Oklahoma,3559,4588,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),3986639,77.57,89.2731947888936,89.3,0.96
15,True,Ohio,8091,10625,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),11780017,76.15,68.68411140663041,68.7,0.64
16,True,North Dakota,468,640,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),774948,73.13,60.391148825469585,60.4,0.44
17,True,North Carolina,5739,7692,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),10551162,74.61,54.392113399453066,54.4,0.24
18,True,New York,8682,12575,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),19835913,69.04,43.76909699089727,43.8,0.04
19,True,New Mexico,1163,1585,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),2115877,73.38,54.965387874625975,55.0,0.3
20,True,New Jersey,3615,5173,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),9267130,69.88,39.00884092486023,39.0,0
21,True,New Hampshire,889,1161,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),1388992,76.57,64.00324839883886,64.0,0.54
22,True,Nevada,1831,2479,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),3143991,73.86,58.238080198066726,58.2,0.36
23,True,Nebraska,1171,1601,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),1963692,73.14,59.63256966978528,59.6,0.4
24,True,Montana,809,1061,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),1104271,76.25,73.26100205474924,73.3,0.78
25,True,Missouri,4379,5741,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),6168187,76.28,70.99330808226145,71.0,0.72
26,True,Mississippi,1938,2574,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),2949965,75.29,65.69569469468283,65.7,0.56
27,True,Minnesota,3132,4235,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),5707390,73.96,54.876221880754606,54.9,0.28
28,True,Michigan,6357,8506,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),10050811,74.74,63.248627399321315,63.2,0.52
29,True,Massachusetts,3374,4717,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),6984723,71.53,48.3054231356061,48.3,0.12
30,True,Maryland,2725,3788,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),6165129,71.94,44.20021057142519,44.2,0.06
31,True,Maine,1186,1573,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),1372247,75.40,86.42758920223545,86.4,0.92
32,True,Louisiana,2520,3281,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),4624047,76.81,54.497715961797105,54.5,0.26
33,True,Kentucky,3667,4870,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),4509394,75.30,81.31913068585268,81.3,0.9
34,True,Kansas,2121,2779,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),2934582,76.32,72.27605158077027,72.3,0.74
35,True,Iowa,2237,2930,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),3193079,76.35,70.05777182462445,70.1,0.7
36,True,Indiana,5481,7220,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),6805985,75.91,80.53206111973505,80.5,0.88
37,True,Illinois,6510,8958,40,40.00,-89.25,-89.25,%null%,Breakdown by County (All Years),12671469,72.67,51.37525885909518,51.4,0.2
38,True,Idaho,1318,1731,44.0739,44.07,-114.542,-114.54,%null%,Breakdown by County (All Years),1900923,76.14,69.33473896628112,69.3,0.66
39,True,Hawaii,588,842,20.79,20.79,-156.34,-156.34,%null%,Breakdown by County (All Years),1441553,69.83,40.789343159772834,40.8,0.02
40,True,Georgia,6252,8331,32.1598,32.16,-83.4715,-83.47,%null%,Breakdown by County (All Years),10799566,75.05,57.89121525809463,57.9,0.34
41,True,Florida,11043,14993,28.42,28.42,-81.55,-81.55,%null%,Breakdown by County (All Years),21781128,73.65,50.699853561303165,50.7,0.14
42,True,District of Columbia,344,524,38.91,38.91,-77,-77.00,%null%,Breakdown by County (All Years),670050,65.65,51.33945227968062,51.3,0.16
43,True,Delaware,620,912,38.6716,38.67,-75.4165,-75.42,%null%,Breakdown by County (All Years),1003384,67.98,61.79089959576792,61.8,0.48
