,Age Chart-alias,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Psychosis Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,ATTR(State Population)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,213,230,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),578803,92.609,36.80008569409626,36.8,0.8
1,True,Wisconsin,1855,2085,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),5895908,88.969,31.462499075630078,31.5,0.46
2,True,West Virginia,661,728,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),1782959,90.797,37.073202468480766,37.1,0.84
3,True,Washington,2563,2840,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),7738692,90.246,33.11929199404757,33.1,0.62
4,True,Virginia,2617,2954,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),8642274,88.592,30.28138196034979,30.3,0.34
5,True,Vermont,241,266,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),645570,90.602,37.331350589401616,37.3,0.86
6,True,Utah,1212,1350,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),3337975,89.778,36.309439106044834,36.3,0.76
7,True,Texas,9095,10032,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),29527941,90.660,30.801334911905982,30.8,0.4
8,True,Tennessee,2124,2340,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),6975218,90.769,30.450661183636125,30.5,0.36
9,True,South Dakota,274,306,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),895376,89.542,30.601669019495723,30.6,0.38
10,True,South Carolina,1561,1705,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),5190705,91.554,30.072986232120687,30.1,0.32
11,True,Rhode Island,251,284,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),1095610,88.380,22.909611996969723,22.9,0.04
12,True,Pennsylvania,3795,4208,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),12964056,90.185,29.273245965614468,29.3,0.24
13,True,Oregon,1497,1676,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),4246155,89.320,35.25542520233011,35.3,0.7
14,True,Oklahoma,1437,1577,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),3986639,91.122,36.04540064951956,36.0,0.74
15,True,Ohio,3958,4376,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),11780017,90.448,33.59927239493797,33.6,0.64
16,True,North Dakota,250,272,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),774948,91.912,32.26022907343461,32.3,0.5
17,True,North Carolina,3100,3423,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),10551162,90.564,29.380650207057762,29.4,0.28
18,True,New York,4925,5565,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),19835913,88.500,24.828703372514287,24.8,0.12
