,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Arkansas,Arkansas,39,466227,50,%null%,466227,8.365023904664467,8.37,8.365023904664467,8.365023904664467,8.4
1,%null%,%null%,True,True,Mississippi,Mississippi,112,1107951,134,%null%,1107951,10.108750296718897,10.11,10.108750296718897,10.108750296718897,10.1
2,%null%,%null%,True,True,Florida,Florida,359,3386309,471,%null%,3386309,10.601513329114384,10.60,10.601513329114384,10.601513329114384,10.6
3,%null%,%null%,True,True,North Carolina,North Carolina,246,2248971,312,%null%,2248971,10.938335798905367,10.94,10.938335798905367,10.938335798905367,10.9
4,%null%,%null%,True,True,South Carolina,South Carolina,153,1352562,186,%null%,1352562,11.311865925554615,11.31,11.311865925554615,11.311865925554615,11.3
5,%null%,%null%,True,True,Alabama,Alabama,152,1336172,199,%null%,1336172,11.375780962331197,11.38,11.375780962331197,11.375780962331197,11.4
6,%null%,%null%,True,True,Louisiana,Louisiana,171,1499002,203,%null%,1499002,11.407589849780054,11.41,11.407589849780054,11.407589849780054,11.4
7,%null%,%null%,True,True,Rhode Island,Rhode Island,8,68125,13,%null%,68125,11.743119266055047,11.74,11.743119266055047,11.743119266055047,11.7
8,%null%,%null%,True,True,New York,New York,340,2857575,461,%null%,2857575,11.898200397189925,11.90,11.898200397189925,11.898200397189925,11.9
9,%null%,%null%,True,True,Tennessee,Tennessee,138,1158262,169,%null%,1158262,11.914402786243526,11.91,11.914402786243526,11.914402786243526,11.9
10,%null%,%null%,True,True,District of Columbia,District of Columbia,38,295889,56,%null%,295889,12.842653833025224,12.84,12.842653833025224,12.842653833025224,12.8
11,%null%,%null%,True,True,Missouri,Missouri,94,711459,115,%null%,711459,13.212286301810785,13.21,13.212286301810785,13.212286301810785,13.2
12,%null%,%null%,True,True,Ohio,Ohio,200,1510741,265,%null%,1510741,13.238536585688745,13.24,13.238536585688745,13.238536585688745,13.2
13,%null%,%null%,True,True,Illinois,Illinois,240,1791229,283,%null%,1791229,13.398621840088564,13.40,13.398621840088564,13.398621840088564,13.4
14,%null%,%null%,True,True,Maryland,Maryland,252,1862521,344,%null%,1862521,13.530048788711643,13.53,13.530048788711643,13.530048788711643,13.5
15,%null%,%null%,True,True,New Jersey,New Jersey,165,1205848,210,%null%,1205848,13.683316636922731,13.68,13.683316636922731,13.683316636922731,13.7
16,%null%,%null%,True,True,Kentucky,Kentucky,53,377275,61,%null%,377275,14.048108143926845,14.05,14.048108143926845,14.048108143926845,14.0
17,%null%,%null%,True,True,Indiana,Indiana,94,667291,121,%null%,667291,14.086807704584656,14.09,14.086807704584656,14.086807704584656,14.1
18,%null%,%null%,True,True,Georgia,Georgia,487,3451256,605,%null%,3451256,14.110804877992244,14.11,14.110804877992244,14.110804877992244,14.1
19,%null%,%null%,True,True,Texas,Texas,520,3630643,663,%null%,3630643,14.322531849041617,14.32,14.322531849041617,14.322531849041617,14.3
20,%null%,%null%,True,True,Wisconsin,Wisconsin,57,378263,69,%null%,378263,15.06888064653429,15.07,15.06888064653429,15.06888064653429,15.1
21,%null%,%null%,True,True,Pennsylvania,Pennsylvania,222,1416684,284,%null%,1416684,15.670396503383957,15.67,15.670396503383957,15.670396503383957,15.7
22,%null%,%null%,True,True,Virginia,Virginia,261,1657724,330,%null%,1657724,15.744478574237931,15.74,15.744478574237931,15.744478574237931,15.7
23,%null%,%null%,True,True,Minnesota,Minnesota,65,409602,86,%null%,409602,15.869063139340138,15.87,15.869063139340138,15.869063139340138,15.9
24,%null%,%null%,True,True,Delaware,Delaware,36,223935,49,%null%,223935,16.076093509277246,16.08,16.076093509277246,16.076093509277246,16.1
25,%null%,%null%,True,True,Michigan,Michigan,223,1383769,280,%null%,1383769,16.115406545456647,16.12,16.115406545456647,16.115406545456647,16.1
26,%null%,%null%,True,True,Massachusetts,Massachusetts,85,522609,105,%null%,522609,16.26454959635215,16.26,16.26454959635215,16.26454959635215,16.3
27,%null%,%null%,True,True,Kansas,Kansas,29,168790,37,%null%,168790,17.181112625155517,17.18,17.181112625155517,17.181112625155517,17.2
28,%null%,%null%,True,True,Oklahoma,Oklahoma,52,296154,66,%null%,296154,17.558432437177956,17.56,17.558432437177956,17.558432437177956,17.6
29,%null%,%null%,True,True,Connecticut,Connecticut,68,382977,91,%null%,382977,17.755635455915108,17.76,17.755635455915108,17.755635455915108,17.8
30,%null%,%null%,True,True,California,California,400,2200126,539,%null%,2200126,18.180776919140083,18.18,18.180776919140083,18.180776919140083,18.2
31,%null%,%null%,True,True,Iowa,Iowa,24,131303,33,%null%,131303,18.278333320640048,18.28,18.278333320640048,18.278333320640048,18.3
32,%null%,%null%,True,True,Nevada,Nevada,56,301273,68,%null%,301273,18.587792467297103,18.59,18.587792467297103,18.587792467297103,18.6
33,%null%,%null%,True,True,North Dakota,North Dakota,5,25870,7,%null%,25870,19.327406262079627,19.33,19.327406262079627,19.327406262079627,19.3
34,%null%,%null%,True,True,Nebraska,Nebraska,20,97729,26,%null%,97729,20.464754576430742,20.46,20.464754576430742,20.464754576430742,20.5
35,%null%,%null%,True,True,Colorado,Colorado,57,237929,75,%null%,237929,23.956726586502697,23.96,23.956726586502697,23.956726586502697,24.0
36,%null%,%null%,True,True,New Mexico,New Mexico,10,41152,11,%null%,41152,24.300155520995336,24.30,24.300155520995336,24.300155520995336,24.3
37,%null%,%null%,True,True,Oregon,Oregon,21,84565,25,%null%,84565,24.832968722284633,24.83,24.832968722284633,24.832968722284633,24.8
38,%null%,%null%,True,True,Hawaii,Hawaii,7,27691,9,%null%,27691,25.278971506987833,25.28,25.278971506987833,25.278971506987833,25.3
39,%null%,%null%,True,True,Washington,Washington,83,316727,99,%null%,316727,26.205533472043747,26.21,26.205533472043747,26.205533472043747,26.2
