,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Mexico,New Mexico,37,186151,46,%null%,186151,19.876336952259187,19.9,19.876336952259187,19.876336952259187,19.9
1,%null%,%null%,True,True,Arizona,Arizona,83,279130,101,%null%,279130,29.73524880879877,29.7,29.73524880879877,29.73524880879877,29.7
2,%null%,%null%,True,True,South Dakota,South Dakota,29,73258,31,%null%,73258,39.586120287204125,39.6,39.586120287204125,39.586120287204125,39.6
3,%null%,%null%,True,True,North Carolina,North Carolina,52,115825,60,%null%,115825,44.89531620979927,44.9,44.89531620979927,44.89531620979927,44.9
4,%null%,%null%,True,True,Alaska,Alaska,50,109039,62,%null%,109039,45.85515274351379,45.9,45.85515274351379,45.85515274351379,45.9
5,%null%,%null%,True,True,Louisiana,Louisiana,14,30358,16,%null%,30358,46.11634495026023,46.1,46.11634495026023,46.11634495026023,46.1
6,%null%,%null%,True,True,Montana,Montana,32,66192,36,%null%,66192,48.344210780759006,48.3,48.344210780759006,48.344210780759006,48.3
7,%null%,%null%,True,True,Utah,Utah,15,31014,21,%null%,31014,48.365254401238154,48.4,48.365254401238154,48.365254401238154,48.4
8,%null%,%null%,True,True,Oklahoma,Oklahoma,190,339826,225,%null%,339826,55.910966200349584,55.9,55.910966200349584,55.910966200349584,55.9
9,%null%,%null%,True,True,North Dakota,North Dakota,24,40207,28,%null%,40207,59.691098564926506,59.7,59.691098564926506,59.691098564926506,59.7
10,%null%,%null%,True,True,New Jersey,New Jersey,9,14320,10,%null%,14320,62.849162011173185,62.8,62.849162011173185,62.849162011173185,62.8
11,%null%,%null%,True,True,Washington,Washington,62,95740,79,%null%,95740,64.75872153749738,64.8,64.75872153749738,64.75872153749738,64.8
12,%null%,%null%,True,True,Maryland,Maryland,10,14865,12,%null%,14865,67.27211570803902,67.3,67.27211570803902,67.27211570803902,67.3
13,%null%,%null%,True,True,Nebraska,Nebraska,12,16418,13,%null%,16418,73.09051041539773,73.1,73.09051041539773,73.09051041539773,73.1
14,%null%,%null%,True,True,New York,New York,45,60197,56,%null%,60197,74.75455587487748,74.8,74.75455587487748,74.75455587487748,74.8
15,%null%,%null%,True,True,Nevada,Nevada,20,26502,27,%null%,26502,75.46600256584408,75.5,75.46600256584408,75.46600256584408,75.5
16,%null%,%null%,True,True,Massachusetts,Massachusetts,10,12835,13,%null%,12835,77.91195948578107,77.9,77.91195948578107,77.91195948578107,77.9
17,%null%,%null%,True,True,Wyoming,Wyoming,10,12146,11,%null%,12146,82.33163181294253,82.3,82.33163181294253,82.33163181294253,82.3
18,%null%,%null%,True,True,Minnesota,Minnesota,50,60687,62,%null%,60687,82.38996819747229,82.4,82.38996819747229,82.38996819747229,82.4
19,%null%,%null%,True,True,Oregon,Oregon,40,46873,47,%null%,46873,85.33697437757344,85.3,85.33697437757344,85.33697437757344,85.3
20,%null%,%null%,True,True,Virginia,Virginia,20,23140,26,%null%,23140,86.4304235090752,86.4,86.4304235090752,86.4304235090752,86.4
21,%null%,%null%,True,True,Mississippi,Mississippi,13,14992,16,%null%,14992,86.7129135538954,86.7,86.7129135538954,86.7129135538954,86.7
22,%null%,%null%,True,True,Wisconsin,Wisconsin,46,52520,54,%null%,52520,87.58568164508758,87.6,87.58568164508758,87.58568164508758,87.6
23,%null%,%null%,True,True,Idaho,Idaho,18,20059,21,%null%,20059,89.73528092128223,89.7,89.73528092128223,89.73528092128223,89.7
24,%null%,%null%,True,True,Michigan,Michigan,53,57651,61,%null%,57651,91.93249032974276,91.9,91.93249032974276,91.93249032974276,91.9
25,%null%,%null%,True,True,South Carolina,South Carolina,18,19363,20,%null%,19363,92.96080152868873,93.0,92.96080152868873,92.96080152868873,93.0
26,%null%,%null%,True,True,Texas,Texas,99,96976,116,%null%,96976,102.08711433756805,102.1,102.08711433756805,102.08711433756805,102.1
27,%null%,%null%,True,True,California,California,168,160861,212,%null%,160861,104.43799304990023,104.4,104.43799304990023,104.43799304990023,104.4
28,%null%,%null%,True,True,Colorado,Colorado,40,37197,48,%null%,37197,107.53555394252224,107.5,107.53555394252224,107.53555394252224,107.5
29,%null%,%null%,True,True,Georgia,Georgia,27,24975,34,%null%,24975,108.10810810810811,108.1,108.10810810810811,108.10810810810811,108.1
30,%null%,%null%,True,True,Florida,Florida,60,55453,69,%null%,55453,108.19973671397399,108.2,108.19973671397399,108.19973671397399,108.2
31,%null%,%null%,True,True,Kansas,Kansas,31,23301,36,%null%,23301,133.04150036479123,133.0,133.04150036479123,133.04150036479123,133.0
32,%null%,%null%,True,True,Pennsylvania,Pennsylvania,26,19021,37,%null%,19021,136.69102570842753,136.7,136.69102570842753,136.69102570842753,136.7
33,%null%,%null%,True,True,Arkansas,Arkansas,35,23903,36,%null%,23903,146.4251349203029,146.4,146.4251349203029,146.4251349203029,146.4
34,%null%,%null%,True,True,Missouri,Missouri,41,27135,45,%null%,27135,151.09637000184264,151.1,151.09637000184264,151.09637000184264,151.1
35,%null%,%null%,True,True,West Virginia,West Virginia,6,3860,7,%null%,3860,155.440414507772,155.4,155.440414507772,155.440414507772,155.4
36,%null%,%null%,True,True,Alabama,Alabama,45,28165,52,%null%,28165,159.77276761938575,159.8,159.77276761938575,159.77276761938575,159.8
37,%null%,%null%,True,True,Connecticut,Connecticut,13,8111,16,%null%,8111,160.2761681666872,160.3,160.2761681666872,160.2761681666872,160.3
38,%null%,%null%,True,True,Hawaii,Hawaii,5,3099,10,%null%,3099,161.34236850596966,161.3,161.34236850596966,161.34236850596966,161.3
39,%null%,%null%,True,True,Iowa,Iowa,17,9836,25,%null%,9836,172.83448556323708,172.8,172.83448556323708,172.83448556323708,172.8
40,%null%,%null%,True,True,Maine,Maine,16,8892,20,%null%,8892,179.9370220422852,179.9,179.9370220422852,179.9370220422852,179.9
41,%null%,%null%,True,True,Tennessee,Tennessee,37,19841,39,%null%,19841,186.4825361624918,186.5,186.4825361624918,186.4825361624918,186.5
42,%null%,%null%,True,True,New Hampshire,New Hampshire,6,2960,6,%null%,2960,202.7027027027027,202.7,202.7027027027027,202.7027027027027,202.7
43,%null%,%null%,True,True,Illinois,Illinois,41,19819,46,%null%,19819,206.87219334981586,206.9,206.87219334981586,206.87219334981586,206.9
44,%null%,%null%,True,True,Ohio,Ohio,49,22944,56,%null%,22944,213.56345885634587,213.6,213.56345885634587,213.56345885634587,213.6
45,%null%,%null%,True,True,Kentucky,Kentucky,20,9313,26,%null%,9313,214.75357027810588,214.8,214.75357027810588,214.75357027810588,214.8
46,%null%,%null%,True,True,Indiana,Indiana,39,15815,44,%null%,15815,246.60132785330381,246.6,246.60132785330381,246.60132785330381,246.6
