,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Hawaii,Hawaii,16,160134,23,%null%,160134,9.99163200819314,9.99,9.99163200819314,9.99163200819314,10.0
1,%null%,%null%,True,True,Maryland,Maryland,109,684437,135,%null%,684437,15.925497890967321,15.93,15.925497890967321,15.925497890967321,15.9
2,%null%,%null%,True,True,District of Columbia,District of Columbia,13,76919,16,%null%,76919,16.900895747474618,16.90,16.900895747474618,16.900895747474618,16.9
3,%null%,%null%,True,True,New Jersey,New Jersey,340,1991638,424,%null%,1991638,17.071375420633668,17.07,17.071375420633668,17.071375420633668,17.1
4,%null%,%null%,True,True,North Dakota,North Dakota,6,34335,10,%null%,34335,17.47487986020096,17.47,17.47487986020096,17.47487986020096,17.5
5,%null%,%null%,True,True,California,California,2840,15754605,3758,%null%,15754605,18.026475433690656,18.03,18.026475433690656,18.026475433690656,18.0
6,%null%,%null%,True,True,New York,New York,706,3868268,944,%null%,3868268,18.251062232503024,18.25,18.251062232503024,18.251062232503024,18.3
7,%null%,%null%,True,True,Georgia,Georgia,206,1104836,271,%null%,1104836,18.645301203074485,18.65,18.645301203074485,18.645301203074485,18.6
8,%null%,%null%,True,True,Illinois,Illinois,432,2282133,561,%null%,2282133,18.92965922669713,18.93,18.92965922669713,18.92965922669713,18.9
9,%null%,%null%,True,True,Rhode Island,Rhode Island,36,187776,45,%null%,187776,19.171779141104295,19.17,19.171779141104295,19.171779141104295,19.2
10,%null%,%null%,True,True,Nevada,Nevada,182,940757,224,%null%,940757,19.346122324893674,19.35,19.346122324893674,19.346122324893674,19.3
11,%null%,%null%,True,True,Idaho,Idaho,49,251919,62,%null%,251919,19.45069645401895,19.45,19.45069645401895,19.45069645401895,19.5
12,%null%,%null%,True,True,Florida,Florida,1141,5830908,1435,%null%,5830908,19.5681358718059,19.57,19.5681358718059,19.5681358718059,19.6
13,%null%,%null%,True,True,North Carolina,North Carolina,220,1078224,266,%null%,1078224,20.403923488996718,20.40,20.403923488996718,20.403923488996718,20.4
14,%null%,%null%,True,True,Texas,Texas,2425,11857401,3019,%null%,11857401,20.45136198058917,20.45,20.45136198058917,20.45136198058917,20.5
15,%null%,%null%,True,True,South Carolina,South Carolina,68,330096,85,%null%,330096,20.600067859047066,20.60,20.600067859047066,20.600067859047066,20.6
16,%null%,%null%,True,True,New Mexico,New Mexico,224,1059242,295,%null%,1059242,21.14719771308162,21.15,21.14719771308162,21.14719771308162,21.1
17,%null%,%null%,True,True,Washington,Washington,224,1059156,279,%null%,1059156,21.148914796309516,21.15,21.148914796309516,21.148914796309516,21.1
18,%null%,%null%,True,True,Minnesota,Minnesota,71,333474,95,%null%,333474,21.29101519158915,21.29,21.29101519158915,21.29101519158915,21.3
19,%null%,%null%,True,True,Connecticut,Connecticut,141,637112,174,%null%,637112,22.131116663946056,22.13,22.131116663946056,22.131116663946056,22.1
20,%null%,%null%,True,True,Massachusetts,Massachusetts,199,897349,241,%null%,897349,22.176433026615065,22.18,22.176433026615065,22.176433026615065,22.2
21,%null%,%null%,True,True,Mississippi,Mississippi,23,102936,26,%null%,102936,22.343980725887928,22.34,22.343980725887928,22.343980725887928,22.3
22,%null%,%null%,True,True,Pennsylvania,Pennsylvania,248,1084634,288,%null%,1084634,22.864855794673595,22.86,22.864855794673595,22.864855794673595,22.9
23,%null%,%null%,True,True,Oklahoma,Oklahoma,107,467249,128,%null%,467249,22.89999550560836,22.90,22.89999550560836,22.89999550560836,22.9
24,%null%,%null%,True,True,Nebraska,Nebraska,54,235669,68,%null%,235669,22.913493077154822,22.91,22.913493077154822,22.913493077154822,22.9
25,%null%,%null%,True,True,Wyoming,Wyoming,14,61087,16,%null%,61087,22.918133154353626,22.92,22.918133154353626,22.918133154353626,22.9
26,%null%,%null%,True,True,Louisiana,Louisiana,60,258338,69,%null%,258338,23.225386896236714,23.23,23.225386896236714,23.225386896236714,23.2
27,%null%,%null%,True,True,West Virginia,West Virginia,8,33684,12,%null%,33684,23.75014843842774,23.75,23.75014843842774,23.75014843842774,23.8
28,%null%,%null%,True,True,South Dakota,South Dakota,10,41288,11,%null%,41288,24.22011238132145,24.22,24.22011238132145,24.22011238132145,24.2
29,%null%,%null%,True,True,New Hampshire,New Hampshire,15,60873,17,%null%,60873,24.64146666009561,24.64,24.64146666009561,24.64146666009561,24.6
30,%null%,%null%,True,True,Arizona,Arizona,580,2351122,709,%null%,2351122,24.669072893707767,24.67,24.669072893707767,24.669072893707767,24.7
31,%null%,%null%,True,True,Michigan,Michigan,139,561587,177,%null%,561587,24.75128519712885,24.75,24.75128519712885,24.75128519712885,24.8
32,%null%,%null%,True,True,Oregon,Oregon,148,596517,191,%null%,596517,24.810692738010818,24.81,24.810692738010818,24.810692738010818,24.8
33,%null%,%null%,True,True,Virginia,Virginia,220,882402,259,%null%,882402,24.931947117073623,24.93,24.931947117073623,24.931947117073623,24.9
34,%null%,%null%,True,True,Missouri,Missouri,72,287125,98,%null%,287125,25.07618632999565,25.08,25.07618632999565,25.07618632999565,25.1
35,%null%,%null%,True,True,Tennessee,Tennessee,108,425839,129,%null%,425839,25.361697730832542,25.36,25.361697730832542,25.361697730832542,25.4
36,%null%,%null%,True,True,Iowa,Iowa,56,215119,73,%null%,215119,26.032103161505958,26.03,26.032103161505958,26.032103161505958,26.0
37,%null%,%null%,True,True,Utah,Utah,129,493636,155,%null%,493636,26.13261593562868,26.13,26.13261593562868,26.13261593562868,26.1
38,%null%,%null%,True,True,Colorado,Colorado,340,1293214,406,%null%,1293214,26.29108562078666,26.29,26.29108562078666,26.29108562078666,26.3
39,%null%,%null%,True,True,Kansas,Kansas,101,374093,117,%null%,374093,26.99863402950603,27.00,26.99863402950603,26.99863402950603,27.0
40,%null%,%null%,True,True,Arkansas,Arkansas,69,251277,87,%null%,251277,27.459735670196636,27.46,27.459735670196636,27.459735670196636,27.5
41,%null%,%null%,True,True,Ohio,Ohio,143,508643,177,%null%,508643,28.114021032433357,28.11,28.114021032433357,28.114021032433357,28.1
42,%null%,%null%,True,True,Kentucky,Kentucky,53,187984,63,%null%,187984,28.193888841603542,28.19,28.193888841603542,28.193888841603542,28.2
43,%null%,%null%,True,True,Indiana,Indiana,151,522944,173,%null%,522944,28.87498470199486,28.87,28.87498470199486,28.87498470199486,28.9
44,%null%,%null%,True,True,Wisconsin,Wisconsin,130,442517,158,%null%,442517,29.377402450075365,29.38,29.377402450075365,29.377402450075365,29.4
45,%null%,%null%,True,True,Alabama,Alabama,72,241168,89,%null%,241168,29.85470709215153,29.85,29.85470709215153,29.85470709215153,29.9
46,%null%,%null%,True,True,Maine,Maine,9,27037,12,%null%,27037,33.28771683248881,33.29,33.28771683248881,33.28771683248881,33.3
47,%null%,%null%,True,True,Delaware,Delaware,34,101213,44,%null%,101213,33.59252269965321,33.59,33.59252269965321,33.59252269965321,33.6
48,%null%,%null%,True,True,Montana,Montana,18,48014,21,%null%,48014,37.48906568917399,37.49,37.48906568917399,37.48906568917399,37.5
49,%null%,%null%,True,True,Alaska,Alaska,23,54732,34,%null%,54732,42.02294818387781,42.02,42.02294818387781,42.02294818387781,42.0
50,%null%,%null%,True,True,Vermont,Vermont,10,14384,10,%null%,14384,69.52169076751947,69.52,69.52169076751947,69.52169076751947,69.5
