,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Hawaii,Hawaii,54,291001,62,%null%,291001,18.556637262414906,18.6,18.556637262414906,18.556637262414906,18.6
1,%null%,%null%,True,True,Alaska,Alaska,26,52262,29,%null%,52262,49.74933986452872,49.7,49.74933986452872,49.74933986452872,49.7
2,%null%,%null%,True,True,South Dakota,South Dakota,11,20807,15,%null%,20807,52.866823665112705,52.9,52.866823665112705,52.866823665112705,52.9
3,%null%,%null%,True,True,Washington,Washington,191,342530,218,%null%,342530,55.76153913525823,55.8,55.76153913525823,55.76153913525823,55.8
4,%null%,%null%,True,True,Vermont,Vermont,7,12316,7,%null%,12316,56.83663527119194,56.8,56.83663527119194,56.83663527119194,56.8
5,%null%,%null%,True,True,Oregon,Oregon,88,148706,109,%null%,148706,59.17716837249337,59.2,59.17716837249337,59.17716837249337,59.2
6,%null%,%null%,True,True,District of Columbia,District of Columbia,11,16480,14,%null%,16480,66.74757281553399,66.7,66.74757281553399,66.74757281553399,66.7
7,%null%,%null%,True,True,Virginia,Virginia,168,250775,205,%null%,250775,66.99232379623169,67.0,66.99232379623169,66.99232379623169,67.0
8,%null%,%null%,True,True,West Virginia,West Virginia,23,33519,27,%null%,33519,68.61779886034786,68.6,68.61779886034786,68.61779886034786,68.6
9,%null%,%null%,True,True,Oklahoma,Oklahoma,162,235733,183,%null%,235733,68.72181663152804,68.7,68.72181663152804,68.72181663152804,68.7
10,%null%,%null%,True,True,Utah,Utah,53,76033,61,%null%,76033,69.70657477674168,69.7,69.70657477674168,69.70657477674168,69.7
11,%null%,%null%,True,True,New York,New York,269,378698,328,%null%,378698,71.03285467575746,71.0,71.03285467575746,71.03285467575746,71.0
12,%null%,%null%,True,True,Missouri,Missouri,104,143689,120,%null%,143689,72.37853976296029,72.4,72.37853976296029,72.37853976296029,72.4
13,%null%,%null%,True,True,Michigan,Michigan,177,243379,208,%null%,243379,72.7260774347828,72.7,72.7260774347828,72.7260774347828,72.7
14,%null%,%null%,True,True,California,California,855,1170491,1036,%null%,1170491,73.04626861718715,73.0,73.04626861718715,73.04626861718715,73.0
15,%null%,%null%,True,True,Massachusetts,Massachusetts,103,137083,120,%null%,137083,75.13696081935761,75.1,75.13696081935761,75.13696081935761,75.1
16,%null%,%null%,True,True,Tennessee,Tennessee,101,134263,108,%null%,134263,75.22549026909871,75.2,75.22549026909871,75.22549026909871,75.2
17,%null%,%null%,True,True,Minnesota,Minnesota,106,139747,120,%null%,139747,75.85135995763773,75.9,75.85135995763773,75.85135995763773,75.9
18,%null%,%null%,True,True,Ohio,Ohio,213,274463,242,%null%,274463,77.6060889810284,77.6,77.6060889810284,77.6060889810284,77.6
19,%null%,%null%,True,True,Rhode Island,Rhode Island,19,24311,22,%null%,24311,78.15392209287977,78.2,78.15392209287977,78.15392209287977,78.2
20,%null%,%null%,True,True,Nevada,Nevada,93,118795,111,%null%,118795,78.28612315333137,78.3,78.28612315333137,78.28612315333137,78.3
21,%null%,%null%,True,True,New Jersey,New Jersey,123,152237,152,%null%,152237,80.79507609845176,80.8,80.79507609845176,80.79507609845176,80.8
22,%null%,%null%,True,True,Kansas,Kansas,67,81605,78,%null%,81605,82.102812327676,82.1,82.102812327676,82.102812327676,82.1
23,%null%,%null%,True,True,Louisiana,Louisiana,61,74216,68,%null%,74216,82.19251913334053,82.2,82.19251913334053,82.19251913334053,82.2
24,%null%,%null%,True,True,Montana,Montana,24,28810,29,%null%,28810,83.30440819160013,83.3,83.30440819160013,83.30440819160013,83.3
25,%null%,%null%,True,True,Maryland,Maryland,136,161497,155,%null%,161497,84.21209062707048,84.2,84.21209062707048,84.21209062707048,84.2
26,%null%,%null%,True,True,Illinois,Illinois,190,224432,221,%null%,224432,84.65815926427604,84.7,84.65815926427604,84.65815926427604,84.7
27,%null%,%null%,True,True,Georgia,Georgia,185,217873,216,%null%,217873,84.91185231763458,84.9,84.91185231763458,84.91185231763458,84.9
28,%null%,%null%,True,True,Pennsylvania,Pennsylvania,204,238808,229,%null%,238808,85.42427389367191,85.4,85.42427389367191,85.42427389367191,85.4
29,%null%,%null%,True,True,North Dakota,North Dakota,15,16837,16,%null%,16837,89.08950525628082,89.1,89.08950525628082,89.08950525628082,89.1
30,%null%,%null%,True,True,Wisconsin,Wisconsin,98,109888,111,%null%,109888,89.18171228887594,89.2,89.18171228887594,89.18171228887594,89.2
31,%null%,%null%,True,True,North Carolina,North Carolina,204,225732,233,%null%,225732,90.37265429801712,90.4,90.37265429801712,90.37265429801712,90.4
32,%null%,%null%,True,True,Kentucky,Kentucky,82,90573,91,%null%,90573,90.53470681108057,90.5,90.53470681108057,90.53470681108057,90.5
33,%null%,%null%,True,True,Arkansas,Arkansas,58,63545,61,%null%,63545,91.27390038555355,91.3,91.27390038555355,91.27390038555355,91.3
34,%null%,%null%,True,True,Mississippi,Mississippi,36,37834,45,%null%,37834,95.15250832584448,95.2,95.15250832584448,95.15250832584448,95.2
35,%null%,%null%,True,True,Alabama,Alabama,83,86070,92,%null%,86070,96.43313581968165,96.4,96.43313581968165,96.43313581968165,96.4
36,%null%,%null%,True,True,Maine,Maine,24,24338,30,%null%,24338,98.61122524447367,98.6,98.61122524447367,98.61122524447367,98.6
37,%null%,%null%,True,True,Delaware,Delaware,25,25193,29,%null%,25193,99.23391418251101,99.2,99.23391418251101,99.23391418251101,99.2
38,%null%,%null%,True,True,Florida,Florida,396,390375,471,%null%,390375,101.44092219020173,101.4,101.44092219020173,101.44092219020173,101.4
39,%null%,%null%,True,True,Connecticut,Connecticut,69,68017,82,%null%,68017,101.44522692856198,101.4,101.44522692856198,101.44522692856198,101.4
40,%null%,%null%,True,True,Iowa,Iowa,62,59427,68,%null%,59427,104.32968179447052,104.3,104.32968179447052,104.32968179447052,104.3
41,%null%,%null%,True,True,South Carolina,South Carolina,103,98263,114,%null%,98263,104.82073618757823,104.8,104.82073618757823,104.82073618757823,104.8
42,%null%,%null%,True,True,Idaho,Idaho,44,41056,47,%null%,41056,107.17069368667187,107.2,107.17069368667187,107.17069368667187,107.2
43,%null%,%null%,True,True,Indiana,Indiana,152,139946,174,%null%,139946,108.61332228145142,108.6,108.61332228145142,108.61332228145142,108.6
44,%null%,%null%,True,True,New Hampshire,New Hampshire,25,22716,28,%null%,22716,110.0545870751893,110.1,110.0545870751893,110.0545870751893,110.1
45,%null%,%null%,True,True,Arizona,Arizona,184,163394,218,%null%,163394,112.61123419464609,112.6,112.61123419464609,112.61123419464609,112.6
46,%null%,%null%,True,True,Nebraska,Nebraska,46,40407,56,%null%,40407,113.84166109832455,113.8,113.84166109832455,113.84166109832455,113.8
47,%null%,%null%,True,True,Texas,Texas,542,473467,631,%null%,473467,114.47471523886564,114.5,114.47471523886564,114.47471523886564,114.5
48,%null%,%null%,True,True,Colorado,Colorado,180,144152,202,%null%,144152,124.86819468338975,124.9,124.86819468338975,124.86819468338975,124.9
49,%null%,%null%,True,True,New Mexico,New Mexico,45,33832,49,%null%,33832,133.0101678883897,133.0,133.0101678883897,133.0101678883897,133.0
50,%null%,%null%,True,True,Wyoming,Wyoming,15,11050,15,%null%,11050,135.74660633484163,135.7,135.74660633484163,135.74660633484163,135.7
