,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Massachusetts,Massachusetts,20,520119,26,%null%,520119,3.8452738700182074,3.85,3.8452738700182074,3.8452738700182074,3.8
1,%null%,%null%,True,True,Missouri,Missouri,7,144420,10,%null%,144420,4.84697410330979,4.85,4.84697410330979,4.84697410330979,4.8
2,%null%,%null%,True,True,Illinois,Illinois,42,756590,60,%null%,756590,5.551223251695106,5.55,5.551223251695106,5.551223251695106,5.6
3,%null%,%null%,True,True,Nevada,Nevada,17,292101,22,%null%,292101,5.819904758970356,5.82,5.819904758970356,5.819904758970356,5.8
4,%null%,%null%,True,True,New Jersey,New Jersey,55,942292,73,%null%,942292,5.836831894996456,5.84,5.836831894996456,5.836831894996456,5.8
5,%null%,%null%,True,True,Virginia,Virginia,36,614516,47,%null%,614516,5.858268946618152,5.86,5.858268946618152,5.858268946618152,5.9
6,%null%,%null%,True,True,New York,New York,120,1812286,161,%null%,1812286,6.621471445456181,6.62,6.621471445456181,6.621471445456181,6.6
7,%null%,%null%,True,True,Maryland,Maryland,28,421227,40,%null%,421227,6.647247208749676,6.65,6.647247208749676,6.647247208749676,6.6
8,%null%,%null%,True,True,Texas,Texas,115,1584396,148,%null%,1584396,7.258286438491387,7.26,7.258286438491387,7.258286438491387,7.3
9,%null%,%null%,True,True,North Carolina,North Carolina,26,353832,38,%null%,353832,7.348120011756992,7.35,7.348120011756992,7.348120011756992,7.3
10,%null%,%null%,True,True,Iowa,Iowa,7,91780,7,%null%,91780,7.626933972543037,7.63,7.626933972543037,7.626933972543037,7.6
11,%null%,%null%,True,True,Ohio,Ohio,24,313413,32,%null%,313413,7.6576274755673825,7.66,7.6576274755673825,7.6576274755673825,7.7
12,%null%,%null%,True,True,California,California,478,6136428,654,%null%,6136428,7.789547925926939,7.79,7.789547925926939,7.789547925926939,7.8
13,%null%,%null%,True,True,Tennessee,Tennessee,11,139839,17,%null%,139839,7.86618897446349,7.87,7.86618897446349,7.86618897446349,7.9
14,%null%,%null%,True,True,Louisiana,Louisiana,7,85860,8,%null%,85860,8.152806894945261,8.15,8.152806894945261,8.152806894945261,8.2
15,%null%,%null%,True,True,Michigan,Michigan,28,341843,35,%null%,341843,8.190894650468199,8.19,8.190894650468199,8.190894650468199,8.2
16,%null%,%null%,True,True,Pennsylvania,Pennsylvania,42,503783,54,%null%,503783,8.3369228417791,8.34,8.3369228417791,8.3369228417791,8.3
