,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Jersey,New Jersey,424,4960795,588,%null%,4960795,8.547017161563822,8.55,8.547017161563822,8.547017161563822,8.5
1,%null%,%null%,True,True,Rhode Island,Rhode Island,69,771405,94,%null%,771405,8.944717755264744,8.94,8.944717755264744,8.944717755264744,8.9
2,%null%,%null%,True,True,New York,New York,1090,10858889,1462,%null%,10858889,10.037859305864531,10.04,10.037859305864531,10.037859305864531,10.0
3,%null%,%null%,True,True,Massachusetts,Massachusetts,493,4894728,673,%null%,4894728,10.072061205443898,10.07,10.072061205443898,10.072061205443898,10.1
4,%null%,%null%,True,True,California,California,1565,13815325,2102,%null%,13815325,11.327999884186582,11.33,11.327999884186582,11.327999884186582,11.3
5,%null%,%null%,True,True,Maryland,Maryland,355,3020582,449,%null%,3020582,11.752701962734335,11.75,11.752701962734335,11.752701962734335,11.8
6,%null%,%null%,True,True,Connecticut,Connecticut,280,2330326,388,%null%,2330326,12.01548624527212,12.02,12.01548624527212,12.01548624527212,12.0
7,%null%,%null%,True,True,Illinois,Illinois,936,7597266,1222,%null%,7597266,12.32022151126471,12.32,12.32022151126471,12.32022151126471,12.3
8,%null%,%null%,True,True,Louisiana,Louisiana,343,2676273,434,%null%,2676273,12.816330770440832,12.82,12.816330770440832,12.816330770440832,12.8
9,%null%,%null%,True,True,Minnesota,Minnesota,573,4458035,715,%null%,4458035,12.853196531655762,12.85,12.853196531655762,12.853196531655762,12.9
10,%null%,%null%,True,True,New Mexico,New Mexico,98,759740,128,%null%,759740,12.899149709111013,12.90,12.899149709111013,12.899149709111013,12.9
11,%null%,%null%,True,True,Pennsylvania,Pennsylvania,1256,9701126,1604,%null%,9701126,12.946950694177149,12.95,12.946950694177149,12.946950694177149,12.9
12,%null%,%null%,True,True,Florida,Florida,1511,11467951,1933,%null%,11467951,13.175849809612895,13.18,13.175849809612895,13.175849809612895,13.2
13,%null%,%null%,True,True,New Hampshire,New Hampshire,165,1238184,200,%null%,1238184,13.325967707545889,13.33,13.325967707545889,13.325967707545889,13.3
14,%null%,%null%,True,True,District of Columbia,District of Columbia,34,249751,48,%null%,249751,13.613559104868449,13.61,13.613559104868449,13.613559104868449,13.6
15,%null%,%null%,True,True,South Dakota,South Dakota,100,723678,119,%null%,723678,13.81830040432347,13.82,13.81830040432347,13.81830040432347,13.8
16,%null%,%null%,True,True,Wisconsin,Wisconsin,655,4727246,838,%null%,4727246,13.855847569599721,13.86,13.855847569599721,13.855847569599721,13.9
17,%null%,%null%,True,True,Hawaii,Hawaii,43,308195,62,%null%,308195,13.952205584126933,13.95,13.952205584126933,13.952205584126933,14.0
18,%null%,%null%,True,True,Virginia,Virginia,739,5213717,954,%null%,5213717,14.174148692765643,14.17,14.174148692765643,14.174148692765643,14.2
19,%null%,%null%,True,True,Nebraska,Nebraska,218,1519341,276,%null%,1519341,14.348326017661606,14.35,14.348326017661606,14.348326017661606,14.3
20,%null%,%null%,True,True,Michigan,Michigan,1071,7462582,1353,%null%,7462582,14.351601094634539,14.35,14.351601094634539,14.351601094634539,14.4
21,%null%,%null%,True,True,North Carolina,North Carolina,937,6528578,1176,%null%,6528578,14.352283146498365,14.35,14.352283146498365,14.352283146498365,14.4
22,%null%,%null%,True,True,Vermont,Vermont,86,595151,107,%null%,595151,14.450114340730334,14.45,14.450114340730334,14.450114340730334,14.5
23,%null%,%null%,True,True,Nevada,Nevada,213,1464563,268,%null%,1464563,14.543587404570511,14.54,14.543587404570511,14.543587404570511,14.5
24,%null%,%null%,True,True,Montana,Montana,138,943656,168,%null%,943656,14.62397314275541,14.62,14.62397314275541,14.62397314275541,14.6
25,%null%,%null%,True,True,Wyoming,Wyoming,71,482320,81,%null%,482320,14.720517498756013,14.72,14.720517498756013,14.720517498756013,14.7
26,%null%,%null%,True,True,Idaho,Idaho,227,1541463,294,%null%,1541463,14.726269783964973,14.73,14.726269783964973,14.726269783964973,14.7
27,%null%,%null%,True,True,Iowa,Iowa,404,2685614,504,%null%,2685614,15.043114907801344,15.04,15.043114907801344,15.043114907801344,15.0
28,%null%,%null%,True,True,Texas,Texas,1821,11885058,2295,%null%,11885058,15.321759473113216,15.32,15.321759473113216,15.321759473113216,15.3
29,%null%,%null%,True,True,North Dakota,North Dakota,100,644623,118,%null%,644623,15.512943224179095,15.51,15.512943224179095,15.512943224179095,15.5
30,%null%,%null%,True,True,Delaware,Delaware,95,608053,144,%null%,608053,15.623638071023414,15.62,15.623638071023414,15.623638071023414,15.6
31,%null%,%null%,True,True,Washington,Washington,799,5111255,1004,%null%,5111255,15.632168616122657,15.63,15.632168616122657,15.632168616122657,15.6
32,%null%,%null%,True,True,Arizona,Arizona,608,3872615,762,%null%,3872615,15.699985668598607,15.70,15.699985668598607,15.699985668598607,15.7
