,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Rhode Island,Rhode Island,103,1095610,139,%null%,1095610,9.401155520668851,9.40,9.401155520668851,9.401155520668851,9.4
1,%null%,%null%,True,True,New Jersey,New Jersey,889,9267130,1174,%null%,9267130,9.593045527579736,9.59,9.593045527579736,9.593045527579736,9.6
2,%null%,%null%,True,True,New York,New York,2102,19835913,2776,%null%,19835913,10.596941013000007,10.60,10.596941013000007,10.596941013000007,10.6
3,%null%,%null%,True,True,Massachusetts,Massachusetts,764,6984723,994,%null%,6984723,10.938157461648801,10.94,10.938157461648801,10.938157461648801,10.9
4,%null%,%null%,True,True,California,California,4538,39237836,5920,%null%,39237836,11.565367672162145,11.57,11.565367672162145,11.565367672162145,11.6
5,%null%,%null%,True,True,Maryland,Maryland,722,6165129,918,%null%,6165129,11.711028268832656,11.71,11.711028268832656,11.711028268832656,11.7
6,%null%,%null%,True,True,Louisiana,Louisiana,549,4624047,682,%null%,4624047,11.872716691677224,11.87,11.872716691677224,11.872716691677224,11.9
7,%null%,%null%,True,True,Hawaii,Hawaii,173,1441553,215,%null%,1441553,12.000946201769898,12.00,12.000946201769898,12.000946201769898,12.0
8,%null%,%null%,True,True,Illinois,Illinois,1522,12671469,1976,%null%,12671469,12.011235634952822,12.01,12.011235634952822,12.011235634952822,12.0
9,%null%,%null%,True,True,New Mexico,New Mexico,268,2115877,330,%null%,2115877,12.666142691659298,12.67,12.666142691659298,12.666142691659298,12.7
10,%null%,%null%,True,True,Florida,Florida,2850,21781128,3592,%null%,21781128,13.084721783004076,13.08,13.084721783004076,13.084721783004076,13.1
11,%null%,%null%,True,True,Connecticut,Connecticut,478,3605597,645,%null%,3605597,13.25716656631343,13.26,13.25716656631343,13.25716656631343,13.3
12,%null%,%null%,True,True,North Carolina,North Carolina,1413,10551162,1772,%null%,10551162,13.39188991695891,13.39,13.39188991695891,13.39188991695891,13.4
13,%null%,%null%,True,True,Mississippi,Mississippi,400,2949965,513,%null%,2949965,13.559482909119259,13.56,13.559482909119259,13.559482909119259,13.6
14,%null%,%null%,True,True,Texas,Texas,4041,29527941,5029,%null%,29527941,13.685342977351517,13.69,13.685342977351517,13.685342977351517,13.7
15,%null%,%null%,True,True,Pennsylvania,Pennsylvania,1785,12964056,2245,%null%,12964056,13.768839011494551,13.77,13.768839011494551,13.768839011494551,13.8
16,%null%,%null%,True,True,District of Columbia,District of Columbia,94,670050,124,%null%,670050,14.028803820610403,14.03,14.028803820610403,14.028803820610403,14.0
17,%null%,%null%,True,True,Minnesota,Minnesota,812,5707390,1006,%null%,5707390,14.227168635751191,14.23,14.227168635751191,14.227168635751191,14.2
18,%null%,%null%,True,True,Virginia,Virginia,1231,8642274,1558,%null%,8642274,14.243936260294456,14.24,14.243936260294456,14.243936260294456,14.2
19,%null%,%null%,True,True,Nevada,Nevada,448,3143991,561,%null%,3143991,14.249404657964988,14.25,14.249404657964988,14.249404657964988,14.2
