,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Mexico,New Mexico,118,186151,138,%null%,186151,63.389398928826594,63.4,63.389398928826594,63.389398928826594,63.4
1,%null%,%null%,True,True,Arizona,Arizona,246,279130,301,%null%,279130,88.13097839716262,88.1,88.13097839716262,88.13097839716262,88.1
2,%null%,%null%,True,True,South Dakota,South Dakota,96,73258,118,%null%,73258,131.04370853695158,131.0,131.04370853695158,131.04370853695158,131.0
3,%null%,%null%,True,True,Montana,Montana,88,66192,108,%null%,66192,132.94657964708728,132.9,132.94657964708728,132.94657964708728,132.9
4,%null%,%null%,True,True,North Carolina,North Carolina,156,115825,183,%null%,115825,134.68594862939779,134.7,134.68594862939779,134.68594862939779,134.7
5,%null%,%null%,True,True,Alaska,Alaska,147,109039,184,%null%,109039,134.81414906593054,134.8,134.81414906593054,134.81414906593054,134.8
6,%null%,%null%,True,True,Oklahoma,Oklahoma,592,339826,725,%null%,339826,174.20679995056295,174.2,174.20679995056295,174.20679995056295,174.2
7,%null%,%null%,True,True,Utah,Utah,60,31014,71,%null%,31014,193.46101760495262,193.5,193.46101760495262,193.46101760495262,193.5
8,%null%,%null%,True,True,North Dakota,North Dakota,84,40207,96,%null%,40207,208.91884497724277,208.9,208.91884497724277,208.91884497724277,208.9
9,%null%,%null%,True,True,Washington,Washington,210,95740,256,%null%,95740,219.3440568205557,219.3,219.3440568205557,219.3440568205557,219.3
10,%null%,%null%,True,True,Wyoming,Wyoming,28,12146,32,%null%,12146,230.5285690762391,230.5,230.5285690762391,230.5285690762391,230.5
11,%null%,%null%,True,True,Louisiana,Louisiana,70,30358,80,%null%,30358,230.58172475130112,230.6,230.58172475130112,230.58172475130112,230.6
12,%null%,%null%,True,True,New Jersey,New Jersey,34,14320,37,%null%,14320,237.43016759776538,237.4,237.43016759776538,237.43016759776538,237.4
13,%null%,%null%,True,True,Massachusetts,Massachusetts,31,12835,44,%null%,12835,241.52707440592133,241.5,241.52707440592133,241.52707440592133,241.5
14,%null%,%null%,True,True,New York,New York,146,60197,183,%null%,60197,242.53700350515805,242.5,242.53700350515805,242.53700350515805,242.5
15,%null%,%null%,True,True,Mississippi,Mississippi,38,14992,43,%null%,14992,253.4685165421558,253.5,253.4685165421558,253.4685165421558,253.5
16,%null%,%null%,True,True,Minnesota,Minnesota,159,60687,191,%null%,60687,262.00009886796187,262.0,262.00009886796187,262.00009886796187,262.0
17,%null%,%null%,True,True,Wisconsin,Wisconsin,141,52520,161,%null%,52520,268.4691546077685,268.5,268.4691546077685,268.4691546077685,268.5
18,%null%,%null%,True,True,Virginia,Virginia,63,23140,81,%null%,23140,272.25583405358685,272.3,272.25583405358685,272.25583405358685,272.3
19,%null%,%null%,True,True,Rhode Island,Rhode Island,13,4633,17,%null%,4633,280.5957263112454,280.6,280.5957263112454,280.5957263112454,280.6
20,%null%,%null%,True,True,Idaho,Idaho,57,20059,71,%null%,20059,284.1617229173937,284.2,284.1617229173937,284.1617229173937,284.2
21,%null%,%null%,True,True,Nebraska,Nebraska,47,16418,50,%null%,16418,286.2711657936411,286.3,286.2711657936411,286.2711657936411,286.3
22,%null%,%null%,True,True,Nevada,Nevada,77,26502,91,%null%,26502,290.54410987849974,290.5,290.54410987849974,290.54410987849974,290.5
23,%null%,%null%,True,True,California,California,483,160861,609,%null%,160861,300.25923001846314,300.3,300.25923001846314,300.25923001846314,300.3
24,%null%,%null%,True,True,South Carolina,South Carolina,60,19363,67,%null%,19363,309.86933842896246,309.9,309.86933842896246,309.86933842896246,309.9
25,%null%,%null%,True,True,Michigan,Michigan,190,57651,220,%null%,57651,329.56930495568156,329.6,329.56930495568156,329.56930495568156,329.6
26,%null%,%null%,True,True,Delaware,Delaware,10,3033,15,%null%,3033,329.7065611605671,329.7,329.7065611605671,329.7065611605671,329.7
27,%null%,%null%,True,True,Oregon,Oregon,157,46873,180,%null%,46873,334.9476244319758,334.9,334.9476244319758,334.9476244319758,334.9
28,%null%,%null%,True,True,Texas,Texas,328,96976,389,%null%,96976,338.22801517901337,338.2,338.22801517901337,338.22801517901337,338.2
29,%null%,%null%,True,True,Maryland,Maryland,51,14865,58,%null%,14865,343.087790110999,343.1,343.087790110999,343.087790110999,343.1
30,%null%,%null%,True,True,Georgia,Georgia,86,24975,102,%null%,24975,344.34434434434434,344.3,344.34434434434434,344.34434434434434,344.3
31,%null%,%null%,True,True,Florida,Florida,197,55453,231,%null%,55453,355.2558022108813,355.3,355.2558022108813,355.2558022108813,355.3
32,%null%,%null%,True,True,Colorado,Colorado,133,37197,153,%null%,37197,357.55571685888646,357.6,357.55571685888646,357.55571685888646,357.6
33,%null%,%null%,True,True,Arkansas,Arkansas,91,23903,103,%null%,23903,380.7053507927875,380.7,380.7053507927875,380.7053507927875,380.7
