,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Jersey,New Jersey,303,942292,426,%null%,942292,32.155637530616836,32.2,32.155637530616836,32.155637530616836,32.2
1,%null%,%null%,True,True,Massachusetts,Massachusetts,170,520119,258,%null%,520119,32.68482789515477,32.7,32.68482789515477,32.68482789515477,32.7
2,%null%,%null%,True,True,California,California,2629,6136428,3768,%null%,6136428,42.842513592598166,42.8,42.842513592598166,42.842513592598166,42.8
3,%null%,%null%,True,True,New York,New York,777,1812286,1079,%null%,1812286,42.87402760932877,42.9,42.87402760932877,42.87402760932877,42.9
4,%null%,%null%,True,True,Illinois,Illinois,334,756590,455,%null%,756590,44.145442049194415,44.1,44.145442049194415,44.145442049194415,44.1
5,%null%,%null%,True,True,Maryland,Maryland,191,421227,253,%null%,421227,45.34372203111386,45.3,45.34372203111386,45.34372203111386,45.3
6,%null%,%null%,True,True,Texas,Texas,736,1584396,990,%null%,1584396,46.45303320634488,46.5,46.45303320634488,46.45303320634488,46.5
7,%null%,%null%,True,True,Pennsylvania,Pennsylvania,241,503783,343,%null%,503783,47.838057258780076,47.8,47.838057258780076,47.838057258780076,47.8
8,%null%,%null%,True,True,Virginia,Virginia,296,614516,401,%null%,614516,48.16798911663813,48.2,48.16798911663813,48.16798911663813,48.2
9,%null%,%null%,True,True,North Carolina,North Carolina,176,353832,235,%null%,353832,49.74112007958579,49.7,49.74112007958579,49.74112007958579,49.7
10,%null%,%null%,True,True,Georgia,Georgia,254,490433,332,%null%,490433,51.790968389158145,51.8,51.790968389158145,51.790968389158145,51.8
11,%null%,%null%,True,True,Louisiana,Louisiana,45,85860,62,%null%,85860,52.41090146750524,52.4,52.41090146750524,52.41090146750524,52.4
12,%null%,%null%,True,True,Washington,Washington,432,813284,602,%null%,813284,53.11797600838084,53.1,53.11797600838084,53.11797600838084,53.1
13,%null%,%null%,True,True,Missouri,Missouri,77,144420,100,%null%,144420,53.316715136407694,53.3,53.316715136407694,53.316715136407694,53.3
14,%null%,%null%,True,True,Hawaii,Hawaii,349,651433,458,%null%,651433,53.57419719295768,53.6,53.57419719295768,53.57419719295768,53.6
