,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Louisiana,Louisiana,661,1499002,830,%null%,1499002,44.09600520879892,44.1,44.09600520879892,44.09600520879892,44.1
1,%null%,%null%,True,True,Mississippi,Mississippi,510,1107951,679,%null%,1107951,46.030916529702125,46.0,46.030916529702125,46.030916529702125,46.0
2,%null%,%null%,True,True,Alabama,Alabama,654,1336172,852,%null%,1336172,48.94579440371449,48.9,48.94579440371449,48.94579440371449,48.9
3,%null%,%null%,True,True,South Carolina,South Carolina,676,1352562,846,%null%,1352562,49.97922461225438,50.0,49.97922461225438,49.97922461225438,50.0
4,%null%,%null%,True,True,Florida,Florida,1693,3386309,2208,%null%,3386309,49.99543751028037,50.0,49.99543751028037,49.99543751028037,50.0
5,%null%,%null%,True,True,North Carolina,North Carolina,1166,2248971,1519,%null%,2248971,51.84593309562462,51.8,51.84593309562462,51.84593309562462,51.8
6,%null%,%null%,True,True,Arkansas,Arkansas,242,466227,303,%null%,466227,51.906045767405146,51.9,51.906045767405146,51.906045767405146,51.9
7,%null%,%null%,True,True,Tennessee,Tennessee,622,1158262,774,%null%,1158262,53.7011487901701,53.7,53.7011487901701,53.7011487901701,53.7
8,%null%,%null%,True,True,New Jersey,New Jersey,651,1205848,845,%null%,1205848,53.98690382204059,54.0,53.98690382204059,53.98690382204059,54.0
9,%null%,%null%,True,True,District of Columbia,District of Columbia,162,295889,230,%null%,295889,54.750261077633844,54.8,54.750261077633844,54.750261077633844,54.8
10,%null%,%null%,True,True,Illinois,Illinois,981,1791229,1254,%null%,1791229,54.76686677136201,54.8,54.76686677136201,54.76686677136201,54.8
11,%null%,%null%,True,True,New York,New York,1598,2857575,2194,%null%,2857575,55.921541866792644,55.9,55.921541866792644,55.921541866792644,55.9
12,%null%,%null%,True,True,Maryland,Maryland,1067,1862521,1425,%null%,1862521,57.28794467283859,57.3,57.28794467283859,57.28794467283859,57.3
13,%null%,%null%,True,True,Georgia,Georgia,2008,3451256,2586,%null%,3451256,58.18171703287151,58.2,58.18171703287151,58.18171703287151,58.2
14,%null%,%null%,True,True,Massachusetts,Massachusetts,316,522609,413,%null%,522609,60.465854969967985,60.5,60.465854969967985,60.465854969967985,60.5
15,%null%,%null%,True,True,Texas,Texas,2227,3630643,2827,%null%,3630643,61.338996976568616,61.3,61.338996976568616,61.338996976568616,61.3
16,%null%,%null%,True,True,Missouri,Missouri,440,711459,553,%null%,711459,61.84474439145474,61.8,61.84474439145474,61.84474439145474,61.8
17,%null%,%null%,True,True,Kentucky,Kentucky,236,377275,306,%null%,377275,62.553840037108216,62.6,62.553840037108216,62.553840037108216,62.6
18,%null%,%null%,True,True,Virginia,Virginia,1046,1657724,1367,%null%,1657724,63.09856164234819,63.1,63.09856164234819,63.09856164234819,63.1
19,%null%,%null%,True,True,Michigan,Michigan,874,1383769,1113,%null%,1383769,63.160831034659694,63.2,63.160831034659694,63.160831034659694,63.2
20,%null%,%null%,True,True,Ohio,Ohio,958,1510741,1234,%null%,1510741,63.41259024544908,63.4,63.41259024544908,63.41259024544908,63.4
21,%null%,%null%,True,True,Pennsylvania,Pennsylvania,910,1416684,1174,%null%,1416684,64.23450818954686,64.2,64.23450818954686,64.23450818954686,64.2
22,%null%,%null%,True,True,Wisconsin,Wisconsin,249,378263,303,%null%,378263,65.82721545591295,65.8,65.82721545591295,65.82721545591295,65.8
23,%null%,%null%,True,True,Connecticut,Connecticut,255,382977,341,%null%,382977,66.58363295968165,66.6,66.58363295968165,66.58363295968165,66.6
24,%null%,%null%,True,True,Minnesota,Minnesota,274,409602,356,%null%,409602,66.89420461814152,66.9,66.89420461814152,66.89420461814152,66.9
25,%null%,%null%,True,True,Delaware,Delaware,150,223935,204,%null%,223935,66.98372295532187,67.0,66.98372295532187,66.98372295532187,67.0
26,%null%,%null%,True,True,Indiana,Indiana,454,667291,578,%null%,667291,68.03628402001524,68.0,68.03628402001524,68.03628402001524,68.0
27,%null%,%null%,True,True,North Dakota,North Dakota,19,25870,23,%null%,25870,73.44414379590259,73.4,73.44414379590259,73.44414379590259,73.4
28,%null%,%null%,True,True,New Hampshire,New Hampshire,16,21519,21,%null%,21519,74.3528974394721,74.4,74.3528974394721,74.3528974394721,74.4
29,%null%,%null%,True,True,California,California,1694,2200126,2285,%null%,2200126,76.99559025255826,77.0,76.99559025255826,76.99559025255826,77.0
30,%null%,%null%,True,True,Rhode Island,Rhode Island,53,68125,65,%null%,68125,77.79816513761467,77.8,77.79816513761467,77.79816513761467,77.8
31,%null%,%null%,True,True,Kansas,Kansas,144,168790,185,%null%,168790,85.31311096628947,85.3,85.31311096628947,85.31311096628947,85.3
32,%null%,%null%,True,True,Nevada,Nevada,268,301273,329,%null%,301273,88.95586395063613,89.0,88.95586395063613,88.95586395063613,89.0
33,%null%,%null%,True,True,Oklahoma,Oklahoma,265,296154,338,%null%,296154,89.4804729971569,89.5,89.4804729971569,89.4804729971569,89.5
34,%null%,%null%,True,True,Vermont,Vermont,8,8685,12,%null%,8685,92.11283822682786,92.1,92.11283822682786,92.11283822682786,92.1
35,%null%,%null%,True,True,Nebraska,Nebraska,94,97729,113,%null%,97729,96.18434650922448,96.2,96.18434650922448,96.18434650922448,96.2
36,%null%,%null%,True,True,Iowa,Iowa,127,131303,160,%null%,131303,96.72284715505359,96.7,96.72284715505359,96.72284715505359,96.7
