,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Hawaii,Hawaii,57,160134,78,%null%,160134,35.595189029188056,35.6,35.595189029188056,35.595189029188056,35.6
1,%null%,%null%,True,True,North Dakota,North Dakota,17,34335,21,%null%,34335,49.512159603902724,49.5,49.512159603902724,49.512159603902724,49.5
2,%null%,%null%,True,True,New Jersey,New Jersey,1062,1991638,1363,%null%,1991638,53.32294322562634,53.3,53.32294322562634,53.32294322562634,53.3
3,%null%,%null%,True,True,Maryland,Maryland,370,684437,468,%null%,684437,54.05902953814595,54.1,54.05902953814595,54.05902953814595,54.1
4,%null%,%null%,True,True,New York,New York,2098,3868268,2771,%null%,3868268,54.236159438797934,54.2,54.236159438797934,54.236159438797934,54.2
5,%null%,%null%,True,True,Mississippi,Mississippi,58,102936,71,%null%,102936,56.34569052615217,56.3,56.34569052615217,56.34569052615217,56.3
6,%null%,%null%,True,True,Rhode Island,Rhode Island,106,187776,130,%null%,187776,56.45023858214043,56.5,56.45023858214043,56.45023858214043,56.5
7,%null%,%null%,True,True,District of Columbia,District of Columbia,44,76919,59,%null%,76919,57.20303176068332,57.2,57.20303176068332,57.20303176068332,57.2
8,%null%,%null%,True,True,California,California,9125,15754605,11826,%null%,15754605,57.91957335648846,57.9,57.91957335648846,57.91957335648846,57.9
9,%null%,%null%,True,True,Florida,Florida,3584,5830908,4542,%null%,5830908,61.46555562186884,61.5,61.46555562186884,61.46555562186884,61.5
10,%null%,%null%,True,True,Nevada,Nevada,581,940757,717,%null%,940757,61.758775114083655,61.8,61.758775114083655,61.758775114083655,61.8
11,%null%,%null%,True,True,North Carolina,North Carolina,671,1078224,823,%null%,1078224,62.231966641439996,62.2,62.231966641439996,62.231966641439996,62.2
12,%null%,%null%,True,True,New Mexico,New Mexico,662,1059242,854,%null%,1059242,62.49752181276801,62.5,62.49752181276801,62.49752181276801,62.5
13,%null%,%null%,True,True,Illinois,Illinois,1461,2282133,1863,%null%,2282133,64.01905585695488,64.0,64.01905585695488,64.01905585695488,64.0
14,%null%,%null%,True,True,Connecticut,Connecticut,409,637112,524,%null%,637112,64.19593415286481,64.2,64.19593415286481,64.19593415286481,64.2
15,%null%,%null%,True,True,Texas,Texas,7643,11857401,9457,%null%,11857401,64.45763283201774,64.5,64.45763283201774,64.45763283201774,64.5
16,%null%,%null%,True,True,Massachusetts,Massachusetts,591,897349,713,%null%,897349,65.86066290818844,65.9,65.86066290818844,65.86066290818844,65.9
17,%null%,%null%,True,True,Georgia,Georgia,734,1104836,921,%null%,1104836,66.43519943231394,66.4,66.43519943231394,66.43519943231394,66.4
18,%null%,%null%,True,True,Louisiana,Louisiana,175,258338,206,%null%,258338,67.7407117806904,67.7,67.7407117806904,67.7407117806904,67.7
19,%null%,%null%,True,True,South Carolina,South Carolina,228,330096,280,%null%,330096,69.07081576268722,69.1,69.07081576268722,69.07081576268722,69.1
20,%null%,%null%,True,True,Washington,Washington,735,1059156,888,%null%,1059156,69.39487667539059,69.4,69.39487667539059,69.39487667539059,69.4
21,%null%,%null%,True,True,Idaho,Idaho,177,251919,219,%null%,251919,70.26067902778274,70.3,70.26067902778274,70.26067902778274,70.3
