,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,Hawaii,Hawaii,160,291001,193,%null%,291001,54.982628925673794,55.0,54.982628925673794,54.982628925673794,55.0
1,%null%,%null%,True,True,Alaska,Alaska,95,52262,113,%null%,52262,181.7764341203934,181.8,181.7764341203934,181.7764341203934,181.8
2,%null%,%null%,True,True,Oklahoma,Oklahoma,472,235733,545,%null%,235733,200.22652746963723,200.2,200.22652746963723,200.22652746963723,200.2
3,%null%,%null%,True,True,Rhode Island,Rhode Island,50,24311,58,%null%,24311,205.6682160338941,205.7,205.6682160338941,205.6682160338941,205.7
4,%null%,%null%,True,True,Washington,Washington,721,342530,839,%null%,342530,210.49251160482294,210.5,210.49251160482294,210.49251160482294,210.5
5,%null%,%null%,True,True,District of Columbia,District of Columbia,35,16480,40,%null%,16480,212.37864077669903,212.4,212.37864077669903,212.37864077669903,212.4
6,%null%,%null%,True,True,Montana,Montana,69,28810,78,%null%,28810,239.50017355085038,239.5,239.50017355085038,239.50017355085038,239.5
7,%null%,%null%,True,True,Missouri,Missouri,348,143689,402,%null%,143689,242.18972920682864,242.2,242.18972920682864,242.18972920682864,242.2
8,%null%,%null%,True,True,Massachusetts,Massachusetts,335,137083,389,%null%,137083,244.3774939270369,244.4,244.3774939270369,244.3774939270369,244.4
9,%null%,%null%,True,True,Oregon,Oregon,367,148706,441,%null%,148706,246.79569082619395,246.8,246.79569082619395,246.79569082619395,246.8
10,%null%,%null%,True,True,Maryland,Maryland,402,161497,464,%null%,161497,248.92103258884066,248.9,248.92103258884066,248.92103258884066,248.9
11,%null%,%null%,True,True,Michigan,Michigan,612,243379,703,%null%,243379,251.45965757111338,251.5,251.45965757111338,251.45965757111338,251.5
12,%null%,%null%,True,True,Vermont,Vermont,31,12316,34,%null%,12316,251.70509905813577,251.7,251.70509905813577,251.70509905813577,251.7
13,%null%,%null%,True,True,Virginia,Virginia,632,250775,741,%null%,250775,252.01874190010966,252.0,252.01874190010966,252.01874190010966,252.0
14,%null%,%null%,True,True,Minnesota,Minnesota,356,139747,414,%null%,139747,254.7460768388588,254.7,254.7460768388588,254.7460768388588,254.7
15,%null%,%null%,True,True,North Dakota,North Dakota,43,16837,50,%null%,16837,255.38991506800497,255.4,255.38991506800497,255.38991506800497,255.4
16,%null%,%null%,True,True,New York,New York,991,378698,1178,%null%,378698,261.68609287611764,261.7,261.68609287611764,261.68609287611764,261.7
17,%null%,%null%,True,True,South Dakota,South Dakota,55,20807,67,%null%,20807,264.3341183255635,264.3,264.3341183255635,264.3341183255635,264.3
18,%null%,%null%,True,True,California,California,3114,1170491,3721,%null%,1170491,266.04219938470266,266.0,266.04219938470266,266.04219938470266,266.0
19,%null%,%null%,True,True,Kansas,Kansas,218,81605,252,%null%,81605,267.14049384228906,267.1,267.14049384228906,267.14049384228906,267.1
20,%null%,%null%,True,True,Utah,Utah,213,76033,244,%null%,76033,280.1415174989807,280.1,280.1415174989807,280.1415174989807,280.1
21,%null%,%null%,True,True,Tennessee,Tennessee,389,134263,443,%null%,134263,289.72985856118214,289.7,289.72985856118214,289.72985856118214,289.7
22,%null%,%null%,True,True,Pennsylvania,Pennsylvania,701,238808,797,%null%,238808,293.54125489933335,293.5,293.54125489933335,293.54125489933335,293.5
23,%null%,%null%,True,True,Illinois,Illinois,659,224432,795,%null%,224432,293.63014186925216,293.6,293.63014186925216,293.63014186925216,293.6
24,%null%,%null%,True,True,Nevada,Nevada,349,118795,416,%null%,118795,293.7834083926091,293.8,293.7834083926091,293.7834083926091,293.8
25,%null%,%null%,True,True,Ohio,Ohio,810,274463,912,%null%,274463,295.1217468292629,295.1,295.1217468292629,295.1217468292629,295.1
26,%null%,%null%,True,True,West Virginia,West Virginia,99,33519,114,%null%,33519,295.35487335541035,295.4,295.35487335541035,295.35487335541035,295.4
27,%null%,%null%,True,True,North Carolina,North Carolina,667,225732,756,%null%,225732,295.4831392979285,295.5,295.4831392979285,295.4831392979285,295.5
28,%null%,%null%,True,True,Mississippi,Mississippi,112,37834,131,%null%,37834,296.03002590262724,296.0,296.03002590262724,296.03002590262724,296.0
29,%null%,%null%,True,True,Louisiana,Louisiana,227,74216,251,%null%,74216,305.8639646437426,305.9,305.8639646437426,305.8639646437426,305.9
30,%null%,%null%,True,True,Georgia,Georgia,667,217873,772,%null%,217873,306.14165132898523,306.1,306.14165132898523,306.14165132898523,306.1
31,%null%,%null%,True,True,Kentucky,Kentucky,282,90573,320,%null%,90573,311.35106488688683,311.4,311.35106488688683,311.35106488688683,311.4
32,%null%,%null%,True,True,New Jersey,New Jersey,474,152237,554,%null%,152237,311.35663472086287,311.4,311.35663472086287,311.35663472086287,311.4
33,%null%,%null%,True,True,Connecticut,Connecticut,214,68017,254,%null%,68017,314.62722554655454,314.6,314.62722554655454,314.62722554655454,314.6
34,%null%,%null%,True,True,Arkansas,Arkansas,201,63545,224,%null%,63545,316.31127547407345,316.3,316.31127547407345,316.31127547407345,316.3
35,%null%,%null%,True,True,Delaware,Delaware,80,25193,102,%null%,25193,317.54852538403526,317.5,317.54852538403526,317.54852538403526,317.5
36,%null%,%null%,True,True,Wisconsin,Wisconsin,353,109888,395,%null%,109888,321.2361677344205,321.2,321.2361677344205,321.2361677344205,321.2
37,%null%,%null%,True,True,Nebraska,Nebraska,132,40407,155,%null%,40407,326.67607097780086,326.7,326.67607097780086,326.67607097780086,326.7
38,%null%,%null%,True,True,South Carolina,South Carolina,325,98263,377,%null%,98263,330.7450413685721,330.7,330.7450413685721,330.7450413685721,330.7
39,%null%,%null%,True,True,Iowa,Iowa,197,59427,217,%null%,59427,331.4991502179144,331.5,331.4991502179144,331.4991502179144,331.5
40,%null%,%null%,True,True,Indiana,Indiana,481,139946,567,%null%,139946,343.7040001143298,343.7,343.7040001143298,343.7040001143298,343.7
41,%null%,%null%,True,True,New Hampshire,New Hampshire,79,22716,92,%null%,22716,347.7724951575982,347.8,347.7724951575982,347.7724951575982,347.8
42,%null%,%null%,True,True,Idaho,Idaho,143,41056,157,%null%,41056,348.3047544816836,348.3,348.3047544816836,348.3047544816836,348.3
43,%null%,%null%,True,True,Alabama,Alabama,301,86070,349,%null%,86070,349.71534797258045,349.7,349.71534797258045,349.71534797258045,349.7
44,%null%,%null%,True,True,Florida,Florida,1395,390375,1614,%null%,390375,357.3487031700288,357.3,357.3487031700288,357.3487031700288,357.3
45,%null%,%null%,True,True,Wyoming,Wyoming,43,11050,48,%null%,11050,389.14027149321265,389.1,389.14027149321265,389.14027149321265,389.1
46,%null%,%null%,True,True,Maine,Maine,95,24338,111,%null%,24338,390.3360999260416,390.3,390.3360999260416,390.3360999260416,390.3
47,%null%,%null%,True,True,Colorado,Colorado,566,144152,661,%null%,144152,392.64110105999225,392.6,392.64110105999225,392.64110105999225,392.6
48,%null%,%null%,True,True,Arizona,Arizona,667,163394,770,%null%,163394,408.21572395559195,408.2,408.21572395559195,408.21572395559195,408.2
49,%null%,%null%,True,True,Texas,Texas,1955,473467,2248,%null%,473467,412.91156511435855,412.9,412.91156511435855,412.91156511435855,412.9
50,%null%,%null%,True,True,New Mexico,New Mexico,164,33832,186,%null%,33832,484.7481674154647,484.7,484.7481674154647,484.7481674154647,484.7
