,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,True,True,New Jersey,New Jersey,2965,4960795,4053,%null%,4960795,59.76864595291683,59.8,59.76864595291683,59.76864595291683,59.8
1,%null%,%null%,True,True,Rhode Island,Rhode Island,483,771405,643,%null%,771405,62.613024286853204,62.6,62.613024286853204,62.613024286853204,62.6
2,%null%,%null%,True,True,New York,New York,7381,10858889,9902,%null%,10858889,67.97196287760194,68.0,67.97196287760194,67.97196287760194,68.0
3,%null%,%null%,True,True,District of Columbia,District of Columbia,172,249751,253,%null%,249751,68.86859311874628,68.9,68.86859311874628,68.86859311874628,68.9
4,%null%,%null%,True,True,Massachusetts,Massachusetts,3440,4894728,4564,%null%,4894728,70.27969684934484,70.3,70.27969684934484,70.27969684934484,70.3
5,%null%,%null%,True,True,Maryland,Maryland,2301,3020582,2957,%null%,3020582,76.17737244014565,76.2,76.17737244014565,76.17737244014565,76.2
6,%null%,%null%,True,True,California,California,10789,13815325,14461,%null%,13815325,78.09443498433805,78.1,78.09443498433805,78.09443498433805,78.1
7,%null%,%null%,True,True,Minnesota,Minnesota,3502,4458035,4494,%null%,4458035,78.55478927374953,78.6,78.55478927374953,78.55478927374953,78.6
8,%null%,%null%,True,True,Connecticut,Connecticut,1833,2330326,2460,%null%,2330326,78.65852245565642,78.7,78.65852245565642,78.65852245565642,78.7
9,%null%,%null%,True,True,North Dakota,North Dakota,514,644623,674,%null%,644623,79.73652817228054,79.7,79.73652817228054,79.73652817228054,79.7
10,%null%,%null%,True,True,Illinois,Illinois,6083,7597266,7916,%null%,7597266,80.06827719340089,80.1,80.06827719340089,80.06827719340089,80.1
11,%null%,%null%,True,True,Florida,Florida,9379,11467951,12005,%null%,11467951,81.78444431790822,81.8,81.78444431790822,81.78444431790822,81.8
12,%null%,%null%,True,True,Pennsylvania,Pennsylvania,8158,9701126,10544,%null%,9701126,84.0933310215742,84.1,84.0933310215742,84.0933310215742,84.1
13,%null%,%null%,True,True,New Mexico,New Mexico,640,759740,841,%null%,759740,84.23934503909233,84.2,84.23934503909233,84.23934503909233,84.2
14,%null%,%null%,True,True,South Dakota,South Dakota,614,723678,774,%null%,723678,84.84436448254611,84.8,84.84436448254611,84.84436448254611,84.8
15,%null%,%null%,True,True,Wisconsin,Wisconsin,4034,4727246,5183,%null%,4727246,85.33509785613019,85.3,85.33509785613019,85.33509785613019,85.3
16,%null%,%null%,True,True,Nebraska,Nebraska,1297,1519341,1697,%null%,1519341,85.36595800416102,85.4,85.36595800416102,85.36595800416102,85.4
17,%null%,%null%,True,True,Louisiana,Louisiana,2354,2676273,2953,%null%,2676273,87.95814178897295,88.0,87.95814178897295,87.95814178897295,88.0
18,%null%,%null%,True,True,North Carolina,North Carolina,5779,6528578,7323,%null%,6528578,88.51851046276846,88.5,88.51851046276846,88.51851046276846,88.5
19,%null%,%null%,True,True,New Hampshire,New Hampshire,1105,1238184,1385,%null%,1238184,89.24360192023157,89.2,89.24360192023157,89.24360192023157,89.2
20,%null%,%null%,True,True,Vermont,Vermont,534,595151,677,%null%,595151,89.72512858081394,89.7,89.72512858081394,89.72512858081394,89.7
21,%null%,%null%,True,True,Nevada,Nevada,1315,1464563,1698,%null%,1464563,89.7878752911278,89.8,89.7878752911278,89.7878752911278,89.8
22,%null%,%null%,True,True,Michigan,Michigan,6868,7462582,8724,%null%,7462582,92.0324895592437,92.0,92.0324895592437,92.0324895592437,92.0
23,%null%,%null%,True,True,Virginia,Virginia,4799,5213717,6136,%null%,5213717,92.04565571932655,92.0,92.04565571932655,92.04565571932655,92.0
24,%null%,%null%,True,True,Wyoming,Wyoming,455,482320,568,%null%,482320,94.33571073146459,94.3,94.33571073146459,94.33571073146459,94.3
25,%null%,%null%,True,True,Iowa,Iowa,2544,2685614,3209,%null%,2685614,94.72694139962034,94.7,94.72694139962034,94.72694139962034,94.7
26,%null%,%null%,True,True,Montana,Montana,907,943656,1135,%null%,943656,96.11553362666056,96.1,96.11553362666056,96.11553362666056,96.1
27,%null%,%null%,True,True,Texas,Texas,11451,11885058,14347,%null%,11885058,96.34786805415673,96.3,96.34786805415673,96.34786805415673,96.3
28,%null%,%null%,True,True,Idaho,Idaho,1492,1541463,1882,%null%,1541463,96.79116527610458,96.8,96.79116527610458,96.79116527610458,96.8
29,%null%,%null%,True,True,Hawaii,Hawaii,300,308195,405,%null%,308195,97.34096919158326,97.3,97.34096919158326,97.34096919158326,97.3
