,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%null%,%null%,False,False,New Jersey,New Jersey,5799,9267130,7697,%null%,9267130,62.576007890252974,62.6,62.576007890252974,62.576007890252974,62.6
1,%null%,%null%,False,False,Hawaii,Hawaii,987,1441553,1298,%null%,1441553,68.46782601819011,68.5,68.46782601819011,68.46782601819011,68.5
2,%null%,%null%,False,False,New York,New York,13751,19835913,18354,%null%,19835913,69.32375636049623,69.3,69.32375636049623,69.32375636049623,69.3
3,%null%,%null%,False,False,Rhode Island,Rhode Island,771,1095610,1000,%null%,1095610,70.37175637316199,70.4,70.37175637316199,70.37175637316199,70.4
4,%null%,%null%,False,False,District of Columbia,District of Columbia,483,670050,692,%null%,670050,72.08417282292366,72.1,72.08417282292366,72.08417282292366,72.1
5,%null%,%null%,False,False,Massachusetts,Massachusetts,5113,6984723,6676,%null%,6984723,73.20261662488262,73.2,73.20261662488262,73.20261662488262,73.2
6,%null%,%null%,False,False,Maryland,Maryland,4573,6165129,5879,%null%,6165129,74.17525245619353,74.2,74.17525245619353,74.17525245619353,74.2
7,%null%,%null%,False,False,California,California,29687,39237836,39188,%null%,39237836,75.65911636921058,75.7,75.65911636921058,75.65911636921058,75.7
8,%null%,%null%,False,False,Illinois,Illinois,10024,12671469,12931,%null%,12671469,79.10685020024118,79.1,79.10685020024118,79.10685020024118,79.1
9,%null%,%null%,False,False,Louisiana,Louisiana,3667,4624047,4547,%null%,4624047,79.30282715551984,79.3,79.30282715551984,79.30282715551984,79.3
10,%null%,%null%,False,False,Florida,Florida,17511,21781128,22227,%null%,21781128,80.39528531304714,80.4,80.39528531304714,80.39528531304714,80.4
11,%null%,%null%,False,False,New Mexico,New Mexico,1751,2115877,2238,%null%,2115877,82.75528303393817,82.8,82.75528303393817,82.75528303393817,82.8
12,%null%,%null%,False,False,Connecticut,Connecticut,2999,3605597,3975,%null%,3605597,83.17623960747693,83.2,83.17623960747693,83.17623960747693,83.2
13,%null%,%null%,False,False,North Carolina,North Carolina,8931,10551162,11230,%null%,10551162,84.64470548362351,84.6,84.64470548362351,84.64470548362351,84.6
14,%null%,%null%,False,False,Minnesota,Minnesota,4889,5707390,6205,%null%,5707390,85.66087125638865,85.7,85.66087125638865,85.66087125638865,85.7
15,%null%,%null%,False,False,Texas,Texas,25296,29527941,31446,%null%,29527941,85.66801186713289,85.7,85.66801186713289,85.66801186713289,85.7
16,%null%,%null%,False,False,Pennsylvania,Pennsylvania,11314,12964056,14480,%null%,12964056,87.27206979050383,87.3,87.27206979050383,87.27206979050383,87.3
17,%null%,%null%,False,False,Virginia,Virginia,7810,8642274,9954,%null%,8642274,90.36973370666101,90.4,90.36973370666101,90.36973370666101,90.4
18,%null%,%null%,False,False,Mississippi,Mississippi,2683,2949965,3403,%null%,2949965,90.95023161291745,91.0,90.95023161291745,90.95023161291745,91.0
19,%null%,%null%,False,False,Georgia,Georgia,9854,10799566,12350,%null%,10799566,91.24440741414979,91.2,91.24440741414979,91.24440741414979,91.2
20,%null%,%null%,False,False,Nevada,Nevada,2879,3143991,3651,%null%,3143991,91.57150895152054,91.6,91.57150895152054,91.57150895152054,91.6
21,%null%,%null%,False,False,South Carolina,South Carolina,4758,5190705,5921,%null%,5190705,91.66384913032044,91.7,91.66384913032044,91.66384913032044,91.7
22,%null%,%null%,False,False,Wisconsin,Wisconsin,5423,5895908,6860,%null%,5895908,91.97904716287975,92.0,91.97904716287975,91.97904716287975,92.0
23,%null%,%null%,False,False,North Dakota,North Dakota,723,774948,918,%null%,774948,93.29658248037288,93.3,93.29658248037288,93.29658248037288,93.3
24,%null%,%null%,False,False,Nebraska,Nebraska,1834,1963692,2354,%null%,1963692,93.39550194225978,93.4,93.39550194225978,93.39550194225978,93.4
25,%null%,%null%,False,False,Michigan,Michigan,9601,10050811,12102,%null%,10050811,95.5246298035054,95.5,95.5246298035054,95.5246298035054,95.5
26,%null%,%null%,False,False,New Hampshire,New Hampshire,1352,1388992,1679,%null%,1388992,97.33677371791919,97.3,97.33677371791919,97.33677371791919,97.3
27,%null%,%null%,False,False,South Dakota,South Dakota,875,895376,1094,%null%,895376,97.72430800021442,97.7,97.72430800021442,97.72430800021442,97.7
28,%null%,%null%,False,False,Washington,Washington,7768,7738692,9862,%null%,7738692,100.37872033154956,100.4,100.37872033154956,100.37872033154956,100.4
29,%null%,%null%,False,False,Vermont,Vermont,651,645570,814,%null%,645570,100.84111715228403,100.8,100.84111715228403,100.84111715228403,100.8
30,%null%,%null%,False,False,Iowa,Iowa,3288,3193079,4106,%null%,3193079,102.97271066578685,103.0,102.97271066578685,102.97271066578685,103.0
31,%null%,%null%,False,False,Ohio,Ohio,12156,11780017,15157,%null%,11780017,103.19170167581252,103.2,103.19170167581252,103.19170167581252,103.2
32,%null%,%null%,False,False,Missouri,Missouri,6447,6168187,8033,%null%,6168187,104.52017748489143,104.5,104.52017748489143,104.52017748489143,104.5
33,%null%,%null%,False,False,Delaware,Delaware,1055,1003384,1432,%null%,1003384,105.14419205408896,105.1,105.14419205408896,105.14419205408896,105.1
34,%null%,%null%,False,False,Arizona,Arizona,7697,7276316,9704,%null%,7276316,105.78155209311966,105.8,105.78155209311966,105.78155209311966,105.8
35,%null%,%null%,False,False,Idaho,Idaho,2030,1900923,2529,%null%,1900923,106.79022769465149,106.8,106.79022769465149,106.79022769465149,106.8
36,%null%,%null%,False,False,Kansas,Kansas,3136,2934582,3915,%null%,2934582,106.8636010171125,106.9,106.8636010171125,106.8636010171125,106.9
37,%null%,%null%,False,False,Tennessee,Tennessee,7480,6975218,9217,%null%,6975218,107.23679173898222,107.2,107.23679173898222,107.23679173898222,107.2
