,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Alaska,Alaska,31,58213,53,%,58213,58.490566037735846,58.49,58.490566037735846,58.490566037735846,58.49
1,%,%,True,True,Indiana,Indiana,53,183573,89,%,183573,59.55056179775281,59.55,59.55056179775281,59.55056179775281,59.55
2,%,%,True,True,Louisiana,Louisiana,6,85860,10,%,85860,60,60.00,60,60,60.00
3,%,%,True,True,Alabama,Alabama,55,78576,86,%,78576,63.95348837209303,63.95,63.95348837209303,63.95348837209303,63.95
4,%,%,True,True,Nevada,Nevada,39,292101,58,%,292101,67.24137931034483,67.24,67.24137931034483,67.24137931034483,67.24
5,%,%,True,True,New York,New York,172,1812286,248,%,1812286,69.35483870967742,69.35,69.35483870967742,69.35483870967742,69.35
6,%,%,True,True,West Virginia,West Virginia,14,15762,20,%,15762,70,70.00,70,70,70.00
7,%,%,True,True,District of Columbia,District of Columbia,7,29628,10,%,29628,70,70.00,70,70,70.00
8,%,%,True,True,California,California,645,6136428,919,%,6136428,70.18498367791078,70.18,70.18498367791078,70.18498367791078,70.18
9,%,%,True,True,Wisconsin,Wisconsin,27,185474,38,%,185474,71.05263157894737,71.05,71.05263157894737,71.05263157894737,71.05
10,%,%,True,True,New Jersey,New Jersey,72,942292,101,%,942292,71.28712871287128,71.29,71.28712871287128,71.28712871287128,71.29
11,%,%,True,True,Arkansas,Arkansas,15,64245,21,%,64245,71.42857142857143,71.43,71.42857142857143,71.42857142857143,71.43
12,%,%,True,True,Massachusetts,Massachusetts,41,520119,57,%,520119,71.9298245614035,71.93,71.9298245614035,71.9298245614035,71.93
13,%,%,True,True,Pennsylvania,Pennsylvania,61,503783,84,%,503783,72.61904761904762,72.62,72.61904761904762,72.61904761904762,72.62
