,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Delaware,Delaware,7,101213,15,%,101213,46.666666666666664,46.67,46.666666666666664,46.666666666666664,46.67
1,%,%,True,True,Mississippi,Mississippi,9,102936,13,%,102936,69.23076923076923,69.23,69.23076923076923,69.23076923076923,69.23
2,%,%,True,True,District of Columbia,District of Columbia,9,76919,13,%,76919,69.23076923076923,69.23,69.23076923076923,69.23076923076923,69.23
3,%,%,True,True,Alaska,Alaska,27,54732,37,%,54732,72.97297297297297,72.97,72.97297297297297,72.97297297297297,72.97
4,%,%,True,True,New York,New York,468,3868268,631,%,3868268,74.16798732171156,74.17,74.16798732171156,74.16798732171156,74.17
5,%,%,True,True,Maryland,Maryland,75,684437,100,%,684437,75,75.00,75,75,75.00
6,%,%,True,True,New Jersey,New Jersey,243,1991638,323,%,1991638,75.23219814241486,75.23,75.23219814241486,75.23219814241486,75.23
7,%,%,True,True,New Mexico,New Mexico,151,1059242,198,%,1059242,76.26262626262627,76.26,76.26262626262627,76.26262626262627,76.26
8,%,%,True,True,Nebraska,Nebraska,43,235669,56,%,235669,76.78571428571429,76.79,76.78571428571429,76.78571428571429,76.79
9,%,%,True,True,West Virginia,West Virginia,10,33684,13,%,33684,76.92307692307693,76.92,76.92307692307693,76.92307692307693,76.92
10,%,%,True,True,South Dakota,South Dakota,10,41288,13,%,41288,76.92307692307693,76.92,76.92307692307693,76.92307692307693,76.92
11,%,%,True,True,Indiana,Indiana,91,522944,118,%,522944,77.11864406779661,77.12,77.11864406779661,77.11864406779661,77.12
12,%,%,True,True,Alabama,Alabama,64,241168,82,%,241168,78.04878048780488,78.05,78.04878048780488,78.04878048780488,78.05
13,%,%,True,True,Missouri,Missouri,57,287125,73,%,287125,78.08219178082192,78.08,78.08219178082192,78.08219178082192,78.08
14,%,%,True,True,Wisconsin,Wisconsin,82,442517,105,%,442517,78.0952380952381,78.10,78.0952380952381,78.0952380952381,78.10
15,%,%,True,True,Arkansas,Arkansas,40,251277,51,%,251277,78.43137254901961,78.43,78.43137254901961,78.43137254901961,78.43
16,%,%,True,True,Michigan,Michigan,91,561587,116,%,561587,78.44827586206897,78.45,78.44827586206897,78.44827586206897,78.45
17,%,%,True,True,California,California,2276,15754605,2901,%,15754605,78.45570492933471,78.46,78.45570492933471,78.45570492933471,78.46
18,%,%,True,True,Colorado,Colorado,237,1293214,301,%,1293214,78.7375415282392,78.74,78.7375415282392,78.7375415282392,78.74
19,%,%,True,True,Utah,Utah,75,493636,95,%,493636,78.94736842105263,78.95,78.94736842105263,78.94736842105263,78.95
20,%,%,True,True,Minnesota,Minnesota,64,333474,81,%,333474,79.01234567901234,79.01,79.01234567901234,79.01234567901234,79.01
21,%,%,True,True,Kentucky,Kentucky,38,187984,48,%,187984,79.16666666666666,79.17,79.16666666666666,79.16666666666666,79.17
22,%,%,True,True,Virginia,Virginia,124,882402,156,%,882402,79.48717948717949,79.49,79.48717948717949,79.48717948717949,79.49
23,%,%,True,True,Illinois,Illinois,353,2282133,444,%,2282133,79.5045045045045,79.50,79.5045045045045,79.5045045045045,79.50
24,%,%,True,True,Georgia,Georgia,173,1104836,217,%,1104836,79.72350230414746,79.72,79.72350230414746,79.72350230414746,79.72
25,%,%,True,True,Louisiana,Louisiana,32,258338,40,%,258338,80,80.00,80,80,80.00
26,%,%,True,True,Montana,Montana,8,48014,10,%,48014,80,80.00,80,80,80.00
27,%,%,True,True,North Carolina,North Carolina,133,1078224,166,%,1078224,80.12048192771084,80.12,80.12048192771084,80.12048192771084,80.12
28,%,%,True,True,Kansas,Kansas,69,374093,86,%,374093,80.23255813953489,80.23,80.23255813953489,80.23255813953489,80.23
29,%,%,True,True,Pennsylvania,Pennsylvania,179,1084634,223,%,1084634,80.26905829596413,80.27,80.26905829596413,80.26905829596413,80.27
30,%,%,True,True,Massachusetts,Massachusetts,125,897349,155,%,897349,80.64516129032258,80.65,80.64516129032258,80.64516129032258,80.65
31,%,%,True,True,Idaho,Idaho,38,251919,47,%,251919,80.85106382978722,80.85,80.85106382978722,80.85106382978722,80.85
32,%,%,True,True,Washington,Washington,190,1059156,235,%,1059156,80.85106382978722,80.85,80.85106382978722,80.85106382978722,80.85
33,%,%,True,True,Connecticut,Connecticut,85,637112,105,%,637112,80.95238095238095,80.95,80.95238095238095,80.95238095238095,80.95
34,%,%,True,True,Florida,Florida,836,5830908,1027,%,5830908,81.40214216163584,81.40,81.40214216163584,81.40214216163584,81.40
35,%,%,True,True,Texas,Texas,1763,11857401,2160,%,11857401,81.62037037037037,81.62,81.62037037037037,81.62037037037037,81.62
36,%,%,True,True,Wyoming,Wyoming,9,61087,11,%,61087,81.81818181818183,81.82,81.81818181818183,81.81818181818183,81.82
37,%,%,True,True,Maine,Maine,9,27037,11,%,27037,81.81818181818183,81.82,81.81818181818183,81.81818181818183,81.82
38,%,%,True,True,Nevada,Nevada,135,940757,165,%,940757,81.81818181818183,81.82,81.81818181818183,81.81818181818183,81.82
39,%,%,True,True,Arizona,Arizona,422,2351122,513,%,2351122,82.26120857699804,82.26,82.26120857699804,82.26120857699804,82.26
40,%,%,True,True,South Carolina,South Carolina,47,330096,57,%,330096,82.45614035087719,82.46,82.45614035087719,82.45614035087719,82.46
41,%,%,True,True,Tennessee,Tennessee,54,425839,65,%,425839,83.07692307692308,83.08,83.07692307692308,83.07692307692308,83.08
42,%,%,True,True,Oregon,Oregon,113,596517,136,%,596517,83.08823529411765,83.09,83.08823529411765,83.08823529411765,83.09
43,%,%,True,True,Rhode Island,Rhode Island,22,187776,26,%,187776,84.61538461538461,84.62,84.61538461538461,84.61538461538461,84.62
44,%,%,True,True,Oklahoma,Oklahoma,83,467249,98,%,467249,84.6938775510204,84.69,84.6938775510204,84.6938775510204,84.69
45,%,%,True,True,Iowa,Iowa,34,215119,40,%,215119,85,85.00,85,85,85.00
46,%,%,True,True,New Hampshire,New Hampshire,12,60873,14,%,60873,85.71428571428571,85.71,85.71428571428571,85.71428571428571,85.71
47,%,%,True,True,Hawaii,Hawaii,19,160134,22,%,160134,86.36363636363636,86.36,86.36363636363636,86.36363636363636,86.36
48,%,%,True,True,Ohio,Ohio,114,508643,130,%,508643,87.6923076923077,87.69,87.6923076923077,87.6923076923077,87.69
