,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Delaware,Delaware,12,25193,20,%,25193,60,60.00,60,60,60.00
1,%,%,True,True,Vermont,Vermont,6,12316,8,%,12316,75,75.00,75,75,75.00
2,%,%,True,True,Rhode Island,Rhode Island,7,24311,9,%,24311,77.77777777777779,77.78,77.77777777777779,77.77777777777779,77.78
3,%,%,True,True,Illinois,Illinois,149,224432,190,%,224432,78.42105263157895,78.42,78.42105263157895,78.42105263157895,78.42
4,%,%,True,True,New Mexico,New Mexico,34,33832,43,%,33832,79.06976744186046,79.07,79.06976744186046,79.06976744186046,79.07
5,%,%,True,True,Tennessee,Tennessee,86,134263,107,%,134263,80.37383177570094,80.37,80.37383177570094,80.37383177570094,80.37
6,%,%,True,True,Indiana,Indiana,92,139946,114,%,139946,80.7017543859649,80.70,80.7017543859649,80.7017543859649,80.70
7,%,%,True,True,Connecticut,Connecticut,38,68017,47,%,68017,80.85106382978722,80.85,80.85106382978722,80.85106382978722,80.85
8,%,%,True,True,New Hampshire,New Hampshire,17,22716,21,%,22716,80.95238095238095,80.95,80.95238095238095,80.95238095238095,80.95
9,%,%,True,True,Kansas,Kansas,43,81605,53,%,81605,81.13207547169812,81.13,81.13207547169812,81.13207547169812,81.13
10,%,%,True,True,Idaho,Idaho,29,41056,35,%,41056,82.85714285714286,82.86,82.85714285714286,82.85714285714286,82.86
11,%,%,True,True,Nevada,Nevada,86,118795,103,%,118795,83.49514563106796,83.50,83.49514563106796,83.49514563106796,83.50
12,%,%,True,True,Massachusetts,Massachusetts,61,137083,73,%,137083,83.56164383561644,83.56,83.56164383561644,83.56164383561644,83.56
13,%,%,True,True,Oregon,Oregon,89,148706,106,%,148706,83.9622641509434,83.96,83.9622641509434,83.9622641509434,83.96
14,%,%,True,True,New York,New York,233,378698,276,%,378698,84.42028985507247,84.42,84.42028985507247,84.42028985507247,84.42
15,%,%,True,True,Hawaii,Hawaii,28,291001,33,%,291001,84.84848484848484,84.85,84.84848484848484,84.84848484848484,84.85
16,%,%,True,True,California,California,773,1170491,911,%,1170491,84.85181119648738,84.85,84.85181119648738,84.85181119648738,84.85
17,%,%,True,True,Alaska,Alaska,29,52262,34,%,52262,85.29411764705883,85.29,85.29411764705883,85.29411764705883,85.29
18,%,%,True,True,Minnesota,Minnesota,89,139747,104,%,139747,85.57692307692307,85.58,85.57692307692307,85.57692307692307,85.58
19,%,%,True,True,Pennsylvania,Pennsylvania,150,238808,175,%,238808,85.71428571428571,85.71,85.71428571428571,85.71428571428571,85.71
20,%,%,True,True,North Dakota,North Dakota,6,16837,7,%,16837,85.71428571428571,85.71,85.71428571428571,85.71428571428571,85.71
21,%,%,True,True,District of Columbia,District of Columbia,6,16480,7,%,16480,85.71428571428571,85.71,85.71428571428571,85.71428571428571,85.71
22,%,%,True,True,Florida,Florida,302,390375,351,%,390375,86.03988603988604,86.04,86.03988603988604,86.03988603988604,86.04
23,%,%,True,True,South Carolina,South Carolina,69,98263,80,%,98263,86.25,86.25,86.25,86.25,86.25
24,%,%,True,True,Kentucky,Kentucky,63,90573,73,%,90573,86.3013698630137,86.30,86.3013698630137,86.3013698630137,86.30
25,%,%,True,True,Oklahoma,Oklahoma,82,235733,95,%,235733,86.31578947368422,86.32,86.31578947368422,86.31578947368422,86.32
26,%,%,True,True,Washington,Washington,158,342530,183,%,342530,86.33879781420765,86.34,86.33879781420765,86.33879781420765,86.34
27,%,%,True,True,Mississippi,Mississippi,19,37834,22,%,37834,86.36363636363636,86.36,86.36363636363636,86.36363636363636,86.36
28,%,%,True,True,Alabama,Alabama,70,86070,81,%,86070,86.41975308641975,86.42,86.41975308641975,86.41975308641975,86.42
29,%,%,True,True,Maryland,Maryland,79,161497,91,%,161497,86.81318681318682,86.81,86.81318681318682,86.81318681318682,86.81
30,%,%,True,True,Colorado,Colorado,119,144152,137,%,144152,86.86131386861314,86.86,86.86131386861314,86.86131386861314,86.86
