,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,52,249751,77,%,249751,67.53246753246754,67.53,67.53246753246754,67.53246753246754,67.53
1,%,%,True,True,North Dakota,North Dakota,152,644623,211,%,644623,72.03791469194313,72.04,72.03791469194313,72.03791469194313,72.04
2,%,%,True,True,Delaware,Delaware,206,608053,282,%,608053,73.04964539007092,73.05,73.04964539007092,73.04964539007092,73.05
3,%,%,True,True,Alaska,Alaska,299,434746,405,%,434746,73.82716049382717,73.83,73.82716049382717,73.82716049382717,73.83
4,%,%,True,True,Connecticut,Connecticut,613,2330326,821,%,2330326,74.66504263093789,74.67,74.66504263093789,74.66504263093789,74.67
5,%,%,True,True,California,California,3696,13815325,4935,%,13815325,74.8936170212766,74.89,74.8936170212766,74.8936170212766,74.89
6,%,%,True,True,South Dakota,South Dakota,183,723678,244,%,723678,75,75.00,75,75,75.00
7,%,%,True,True,New York,New York,2541,10858889,3378,%,10858889,75.22202486678508,75.22,75.22202486678508,75.22202486678508,75.22
8,%,%,True,True,New Jersey,New Jersey,1015,4960795,1349,%,4960795,75.24091919940696,75.24,75.24091919940696,75.24091919940696,75.24
9,%,%,True,True,Massachusetts,Massachusetts,1194,4894728,1572,%,4894728,75.95419847328245,75.95,75.95419847328245,75.95419847328245,75.95
10,%,%,True,True,Illinois,Illinois,1985,7597266,2610,%,7597266,76.0536398467433,76.05,76.0536398467433,76.0536398467433,76.05
11,%,%,True,True,Nebraska,Nebraska,439,1519341,577,%,1519341,76.08318890814559,76.08,76.08318890814559,76.08318890814559,76.08
12,%,%,True,True,Maryland,Maryland,708,3020582,928,%,3020582,76.29310344827587,76.29,76.29310344827587,76.29310344827587,76.29
13,%,%,True,True,Rhode Island,Rhode Island,158,771405,207,%,771405,76.32850241545893,76.33,76.32850241545893,76.32850241545893,76.33
14,%,%,True,True,Pennsylvania,Pennsylvania,2624,9701126,3430,%,9701126,76.50145772594752,76.50,76.50145772594752,76.50145772594752,76.50
15,%,%,True,True,New Hampshire,New Hampshire,361,1238184,470,%,1238184,76.80851063829788,76.81,76.80851063829788,76.80851063829788,76.81
16,%,%,True,True,Washington,Washington,1626,5111255,2112,%,5111255,76.98863636363636,76.99,76.98863636363636,76.98863636363636,76.99
17,%,%,True,True,Arizona,Arizona,1366,3872615,1771,%,3872615,77.13156408808582,77.13,77.13156408808582,77.13156408808582,77.13
18,%,%,True,True,Hawaii,Hawaii,112,308195,145,%,308195,77.24137931034483,77.24,77.24137931034483,77.24137931034483,77.24
19,%,%,True,True,Colorado,Colorado,1320,3893018,1696,%,3893018,77.83018867924528,77.83,77.83018867924528,77.83018867924528,77.83
20,%,%,True,True,Nevada,Nevada,446,1464563,573,%,1464563,77.83595113438045,77.84,77.83595113438045,77.83595113438045,77.84
21,%,%,True,True,New Mexico,New Mexico,211,759740,271,%,759740,77.85977859778598,77.86,77.85977859778598,77.85977859778598,77.86
22,%,%,True,True,Kansas,Kansas,739,2192217,949,%,2192217,77.87144362486829,77.87,77.87144362486829,77.87144362486829,77.87
23,%,%,True,True,Maine,Maine,487,1269535,623,%,1269535,78.1701444622793,78.17,78.1701444622793,78.1701444622793,78.17
24,%,%,True,True,Utah,Utah,880,2577888,1125,%,2577888,78.22222222222223,78.22,78.22222222222223,78.22222222222223,78.22
25,%,%,True,True,Minnesota,Minnesota,1140,4458035,1457,%,4458035,78.24296499656829,78.24,78.24296499656829,78.24296499656829,78.24
26,%,%,True,True,Montana,Montana,288,943656,366,%,943656,78.68852459016394,78.69,78.68852459016394,78.68852459016394,78.69
27,%,%,True,True,Michigan,Michigan,2270,7462582,2882,%,7462582,78.764746703678,78.76,78.764746703678,78.764746703678,78.76
28,%,%,True,True,South Carolina,South Carolina,1053,3290272,1336,%,3290272,78.81736526946108,78.82,78.81736526946108,78.81736526946108,78.82
29,%,%,True,True,Florida,Florida,3086,11467951,3914,%,11467951,78.84517118037813,78.85,78.84517118037813,78.84517118037813,78.85
30,%,%,True,True,Oregon,Oregon,1085,3148080,1373,%,3148080,79.02403495994173,79.02,79.02403495994173,79.02403495994173,79.02
31,%,%,True,True,Iowa,Iowa,868,2685614,1098,%,2685614,79.05282331511839,79.05,79.05282331511839,79.05282331511839,79.05
32,%,%,True,True,Wisconsin,Wisconsin,1306,4727246,1652,%,4727246,79.05569007263922,79.06,79.05569007263922,79.05569007263922,79.06
33,%,%,True,True,Idaho,Idaho,486,1541463,614,%,1541463,79.15309446254072,79.15,79.15309446254072,79.15309446254072,79.15
34,%,%,True,True,Kentucky,Kentucky,1441,3765843,1819,%,3765843,79.21935129191864,79.22,79.21935129191864,79.21935129191864,79.22
35,%,%,True,True,Arkansas,Arkansas,978,2156694,1234,%,2156694,79.2544570502431,79.25,79.2544570502431,79.2544570502431,79.25
36,%,%,True,True,Texas,Texas,3636,11885058,4581,%,11885058,79.3713163064833,79.37,79.3713163064833,79.3713163064833,79.37
37,%,%,True,True,Georgia,Georgia,1870,5510193,2352,%,5510193,79.50680272108843,79.51,79.50680272108843,79.50680272108843,79.51
38,%,%,True,True,Louisiana,Louisiana,773,2676273,971,%,2676273,79.6086508753862,79.61,79.6086508753862,79.6086508753862,79.61
39,%,%,True,True,North Carolina,North Carolina,1859,6528578,2334,%,6528578,79.64867180805484,79.65,79.64867180805484,79.64867180805484,79.65
40,%,%,True,True,Alabama,Alabama,1448,3269726,1816,%,3269726,79.73568281938326,79.74,79.73568281938326,79.73568281938326,79.74
41,%,%,True,True,Missouri,Missouri,1652,4854359,2071,%,4854359,79.7682279092226,79.77,79.7682279092226,79.7682279092226,79.77
42,%,%,True,True,Virginia,Virginia,1610,5213717,2018,%,5213717,79.78196233894946,79.78,79.78196233894946,79.78196233894946,79.78
43,%,%,True,True,Vermont,Vermont,159,595151,199,%,595151,79.89949748743719,79.90,79.89949748743719,79.89949748743719,79.90
44,%,%,True,True,Ohio,Ohio,3142,9149813,3932,%,9149813,79.90844354018311,79.91,79.90844354018311,79.90844354018311,79.91
45,%,%,True,True,Indiana,Indiana,2058,5276416,2572,%,5276416,80.01555209953344,80.02,80.01555209953344,80.01555209953344,80.02
46,%,%,True,True,Wyoming,Wyoming,165,482320,206,%,482320,80.09708737864078,80.10,80.09708737864078,80.09708737864078,80.10
47,%,%,True,True,Tennessee,Tennessee,1866,5097174,2323,%,5097174,80.32716315109771,80.33,80.32716315109771,80.32716315109771,80.33
48,%,%,True,True,Oklahoma,Oklahoma,1013,2544785,1261,%,2544785,80.3330689928628,80.33,80.3330689928628,80.3330689928628,80.33
49,%,%,True,True,Mississippi,Mississippi,600,1652517,740,%,1652517,81.08108108108108,81.08,81.08108108108108,81.08108108108108,81.08
50,%,%,True,True,West Virginia,West Virginia,657,1632071,792,%,1632071,82.95454545454545,82.95,82.95454545454545,82.95454545454545,82.95
